,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Solano Total,,,"21,654",,"19,754","6,499","21,933",,"21,329","6,960","23,604",,"22,892","7,786","24,516",,"23,810","8,464","23,371",
,Credit - Degree Applicable                         Total,,"21,267",,"19,423","6,384","21,308",,"20,876","6,856","22,910",,"22,651","7,729","24,116",,"23,572","8,381","23,036",
,,010900 - Horticulture                            ,55,,36,11,55,,43,,42,,60,11,61,,47,27,83,
,,030100 - Environmental Science                   ,83,,85,,66,,91,40,120,,122,52,124,,100,44,134,
,,"040100 - Biology, General                        ","1,332",,"1,245",285,"1,154",,"1,156",331,"1,323",,"1,410",349,"1,430",,"1,737",392,"1,560",
,,043000 - Biotechnology and Biomedical Technology ,231,,206,,184,,205,83,225,,240,20,281,,281,72,266,
,,049900 - Other Biological Sciences               ,28,,,,33,,,,34,,,,40,,,,42,
,,"050100 - Business and Commerce, General          ",377,,353,119,379,,381,164,442,,425,249,514,,446,295,497,
,,050200 - Accounting                              ,275,,262,99,336,,265,96,312,,310,114,309,,285,134,309,
,,050400 - Banking and Finance                     ,,,,,,,,,33,,33,,34,,39,,35,
,,050600 - Business Management                     ,67,,67,24,51,,38,21,85,,93,53,83,,95,56,82,
,,050900 - Marketing and Distribution              ,54,,48,17,66,,22,,60,,,32,68,,48,,52,
,,051000 - Logistics and Materials Transportation  ,,,29,,,,21,,,,21,,,,23,,,
,,051100 - Real Estate                             ,97,,150,64,136,,138,29,130,,147,31,136,,120,31,127,
,,051420 - Medical Office Technology               ,11,,,,,,3,,6,,12,,,,16,,,
,,051440 - Office Management                       ,48,,,,29,,27,,32,,,,,,,,41,
,,060200 - Journalism                              ,,,,,,,,,,,,,38,,44,,38,
,,060400 - Radio and Television                    ,9,,,,71,,19,,43,,27,,32,,57,,50,
,,060420 - Television (including combined TV/Film/V,,,12,,10,,17,,,,10,10,,,15,,15,
,,061200 - Film Studies                            ,432,,416,318,358,,414,324,436,,331,210,314,,261,211,209,
,,061220 - Film Production                         ,,,23,,15,,26,,20,,22,,16,,16,,14,
,,061400 - Digital Media                           ,,,,,,,,,,,12,,,,,,,
,,061430 - Website Design and Development          ,,,,,,,,,,,,,,,22,,21,
,,070700 - Computer Software Development           ,508,,577,206,537,,602,168,639,,628,119,500,,542,207,461,
,,"080100 - Education, General                      ",,,5,,6,,,,,,22,,28,,,,,
,,083500 - Physical Education                      ,75,,80,39,90,,88,27,140,,141,27,130,,182,31,182,
,,083510 - Physical Fitness and Body Movement      ,205,,117,42,134,,135,61,176,,143,71,185,,135,63,241,
,,083520 - Fitness Trainer                         ,172,,148,50,133,,159,32,176,,183,65,205,,166,59,146,
,,083550 - Intercollegiate Athletics               ,260,,233,34,239,,276,33,237,,265,57,269,,315,60,283,
,,083700 - Health Education                        ,93,,113,47,138,,138,35,142,,161,53,135,,166,64,159,
,,085010 - Sign Language Interpreting              ,372,,367,94,443,,454,89,520,,463,96,472,,548,137,566,
,,089900 - Other Education                         ,,,,,,,,,,,,,,,22,,22,
,,"090100 - Engineering, General (requires Calculus)",59,,42,,56,,36,,48,,60,28,86,,113,31,121,
,,093600 - Printing and Lithography                ,,,,,,,18,,16,,15,,,,16,,,
,,094800 - Automotive Technology                   ,143,,180,38,208,,226,16,227,,271,45,285,,299,53,287,
,,095000 - Aeronautical and Aviation Technology    ,19,,55,,19,,32,,40,,51,,24,,67,,23,
