,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Southwestern Total,,,"45,824",,"41,612","11,022","49,180",,"50,579","13,895","56,277",,"56,333","16,335","61,860",,"56,382","14,559","60,192",
,Credit - Degree Applicable                         Total,,"43,846",,"40,272","10,773","47,367",,"48,830","13,563","53,947",,"54,037","15,880","59,189",,"54,170","14,159","57,814",
,,010900 - Horticulture                            ,36,,8,,25,,29,10,,,16,,51,,31,,69,
,,010910 - Landscape Design and Maintenance        ,76,,84,,65,,52,,68,,73,,74,,120,,91,
,,010920 - Floriculture / Floristry                ,17,,18,,13,,18,,24,,28,,34,,41,,18,
,,020100 - Architecture and Architectural Technolog,260,,263,21,288,,338,32,325,,373,45,452,,456,41,381,
,,030300 - Environmental Technology                ,46,,45,,45,,74,,55,,117,,60,,42,,31,
,,"040100 - Biology, General                        ","2,986",,"2,561",769,"3,251",,"3,086",832,"3,527",,"3,331",920,"3,683",,"3,419",944,"3,503",
,,040300 - MicroBiology                            ,,,,,,,,,,,8,,,,8,,,
,,"040700 - Zoology, General                        ",119,,93,,93,,98,,96,,128,,132,,124,,130,
,,043000 - Biotechnology and Biomedical Technology ,267,,253,75,255,,239,90,247,,293,112,305,,300,97,295,
,,049900 - Other Biological Sciences               ,9,,,,,,,,,,,,,,,,,
,,"050100 - Business and Commerce, General          ",784,,756,279,931,,914,316,"1,189",,"1,235",433,"1,356",,"1,160",410,"1,624",
,,050200 - Accounting                              ,680,,668,233,823,,921,358,939,,"1,103",472,"1,081",,"1,062",340,"1,085",
,,050400 - Banking and Finance                     ,174,,229,57,231,,262,62,230,,337,103,318,,361,67,270,
,,050600 - Business Management                     ,54,,123,,89,,136,,92,,137,,99,,178,,103,
,,050630 - Management Development and Supervision  ,110,,38,45,132,,78,80,195,,86,82,210,,134,114,176,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,17,,,,9,,,
,,050800 - International Business and Trade        ,34,,42,,37,,44,,56,,45,,54,,57,,46,
,,050900 - Marketing and Distribution              ,13,,26,,21,,24,,23,,22,,19,,20,,29,
,,050940 - Sales and Salesmanship                  ,49,,56,,49,,65,,61,,54,,59,,57,,63,
,,051000 - Logistics and Materials Transportation  ,48,,42,,35,,39,,75,,58,,69,,62,,82,
,,051100 - Real Estate                             ,149,,152,34,183,,180,76,237,,255,82,251,,248,76,251,
,,051200 - Insurance                               ,6,,22,,5,,65,,33,,32,,31,,29,,28,
,,051400 - Office Technology/Office Computer Applic,503,,493,115,401,,626,156,579,,847,197,556,,835,186,571,
,,060200 - Journalism                              ,50,,31,9,42,,84,23,95,,141,10,84,,98,44,103,
,,060420 - Television (including combined TV/Film/V,377,,360,13,434,,455,33,518,,577,119,607,,656,90,469,
,,061000 - Mass Communications                     ,49,,34,,59,,51,,52,,47,,78,,23,,,
,,061220 - Film Production                         ,25,,76,9,39,,76,22,51,,91,32,100,,111,13,40,
,,061400 - Digital Media                           ,29,,16,,31,,27,,25,,44,,15,,17,,21,
,,061430 - Website Design and Development          ,83,,99,21,75,,106,19,110,,42,56,100,,82,22,97,
,,061440 - Animation                               ,,,,32,,,,43,,,28,12,,,,61,,
,,"070100 - Information Technology, General         ",445,,496,152,512,,615,169,623,,656,195,596,,537,158,560,
,,070200 - Computer Information Systems            ,116,,121,20,146,,154,26,200,,135,24,181,,129,22,195,
,,070700 - Computer Software Development           ,27,,16,,28,,58,,23,,29,,24,,29,,18,
,,070710 - Computer Programming                    ,74,,98,18,107,,89,28,127,,105,27,129,,134,29,134,
,,070730 - Computer Systems Analysis               ,154,,163,48,130,,176,50,160,,216,42,117,,199,52,122,
,,070800 - Computer Infrastructure and Support     ,49,,63,,68,,117,56,75,,168,31,96,,186,57,88,
,,070810 - Computer Networking                     ,20,,28,,36,,54,,46,,43,,35,,44,,42,
,,"080100 - Education, General                      ",56,,65,17,84,,95,26,119,,96,27,122,,80,,120,
,,080200 - Educational Aide (Teacher Assistant)    ,,,25,16,17,,25,18,21,,26,11,16,,19,,32,
,,083500 - Physical Education                      ,"1,391",,"1,194",573,"1,494",,"1,481",721,"1,722",,"1,565",915,"2,018",,"1,939",931,"2,004",
,,083510 - Physical Fitness and Body Movement      ,152,,146,72,158,,186,70,207,,240,70,225,,246,33,204,
,,083520 - Fitness Trainer                         ,108,,76,,117,,126,,141,,176,6,138,,188,22,199,
,,083550 - Intercollegiate Athletics               ,148,,20,,163,,22,,133,,27,,175,,26,,188,
,,083580 - Adapted Physical Education              ,6,,12,9,17,,21,10,23,,15,,11,,13,,16,
,,083700 - Health Education                        ,963,,969,531,"1,135",,"1,246",531,"1,147",,"1,331",694,"1,225",,"1,376",682,"1,301",
,,085000 - Sign Language                           ,303,,347,77,401,,357,99,361,,479,123,507,,546,85,498,
,,"090100 - Engineering, General (requires Calculus)",55,,47,,77,,84,,101,,112,18,83,,127,20,83,
,,093400 - Electronics and Electric Technology     ,25,,5,,33,,12,,32,,8,,29,,19,,30,
,,094610 - Energy Systems Technology               ,8,,,,23,,3,,,,,,,,,,,
,,094800 - Automotive Technology                   ,240,,194,31,261,,256,43,320,,343,106,394,,387,45,408,
,,094840 - Alternative Fuels and Advanced Transport,,,,,,,8,,,,,,,,,,,
,,095300 - Drafting Technology                     ,100,,79,10,97,,109,23,118,,105,34,123,,88,19,107,
,,095700 - Civil and Construction Management Techno,,,,,4,,,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",,,,,,,11,,,,18,,,,9,,,
,,100200 - Art                                     ,"1,652",,"1,653",441,"1,903",,"1,961",614,"2,250",,"2,220",725,"2,423",,"2,325",629,"2,340",
,,100210 - Painting and Drawing                    ,,,,,,,1,,1,,2,,,,,,,
,,100220 - Sculpture                               ,,,,,,,,,,,,,,,1,,,
,,100400 - Music                                   ,798,,677,123,881,,973,221,"1,174",,"1,223",225,"1,467",,"1,172",173,"1,349",
,,100500 - Commercial Music                        ,44,,36,,44,,60,,69,,55,,41,,85,,156,
,,100600 - Technical Theater                       ,7,,,,12,,,,14,,,,25,,12,,29,
,,100700 - Dramatic Arts                           ,191,,192,65,240,,291,80,304,,304,55,256,,228,61,305,
,,100800 - Dance                                   ,224,,229,,299,,263,20,362,,394,25,428,,358,60,462,
,,101200 - Applied Photography                     ,85,,82,,102,,131,11,128,,152,20,122,,135,,167,
,,101300 - Commercial Art                          ,40,,75,15,45,,54,18,64,,61,29,65,,53,,59,
,,103000 - Graphic Art and Design                  ,95,,114,20,108,,92,19,146,,135,48,172,,141,45,146,
,,109900 - Other Fine and Applied Arts             ,2,,,,1,,,,7,,,,4,,,,2,
,,"110100 - Foreign Languages, General              ",207,,227,29,232,,270,74,220,,246,77,299,,354,74,338,
,,110200 - French                                  ,137,,137,30,140,,158,31,163,,139,65,196,,148,31,184,
,,110400 - Italian                                 ,12,,3,,4,,1,,,,11,,,,12,,,
,,110500 - Spanish                                 ,599,,637,181,691,,701,269,825,,763,280,940,,798,310,966,
,,110700 - Chinese                                 ,19,,7,,13,,10,,25,,18,,26,,21,,26,
,,110800 - Japanese                                ,71,,110,19,79,,115,,134,,155,28,138,,169,30,153,
,,120500 - Medical Laboratory Technology           ,106,,36,27,141,,85,51,117,,45,24,72,,34,18,117,
,,120800 - Medical Assisting                       ,330,,316,81,286,,403,81,382,,442,88,479,,462,77,509,
,,120900 - Hospital Central Service Technician     ,,,,,,,17,,,,15,,10,,11,,,
,,121700 - Surgical Technician                     ,65,,60,,57,,55,18,39,,45,16,28,,41,12,37,
,,122310 - Health Information Coding               ,24,,8,,11,,3,,15,,43,2,5,,45,20,1,
,,123000 - Nursing                                 ,56,,,,62,,,,64,,,,65,,,,54,
,,123010 - Registered Nursing                      ,229,,275,19,264,,421,35,281,,439,39,272,,459,45,304,
,,123020 - Licensed Vocational Nursing             ,55,,54,,104,,60,,84,,104,,59,,84,,113,
,,124020 - Dental Hygienist                        ,365,,293,33,450,,380,30,392,,327,31,402,,325,,361,
,,125000 - Emergency Medical Services              ,260,,224,27,238,,336,55,423,,374,70,444,,377,121,472,
,,125100 - Paramedic                               ,108,,95,,161,,134,61,260,,197,74,261,,147,59,227,
,,130590 - Infants and Toddlers                    ,22,,30,12,7,,22,,15,,32,,26,,,,17,
,,130630 - Culinary Arts                           ,181,,156,65,204,,187,84,248,,210,92,239,,217,69,237,
,,130700 - Hospitality                             ,62,,93,,61,,98,,72,,99,,84,,111,,76,
,,130800 - Family Studies                          ,"1,306",,"1,080",348,"1,229",,"1,325",455,"1,479",,"1,415",483,"1,418",,"1,016",333,"1,281",
