,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Taft Total,,,"9,334",,"8,403","2,912","9,906",,"8,387","4,341","9,790",,"9,750","4,554","10,555",,"10,848","4,388","11,251",
,Credit - Degree Applicable                         Total,,"8,146",,"8,376","2,902","9,876",,"8,356","4,324","9,758",,"9,730","4,537","10,515",,"10,825","4,360","11,193",
,,030200 - Environmental Studies                   ,,,11,,,,4,,,,6,,,,8,,,
,,"040100 - Biology, General                        ",164,,177,96,157,,136,75,150,,185,83,149,,184,100,182,
,,"040200 - Botany, General                         ",,,15,,,,14,,,,17,,,,9,,,
,,040300 - MicroBiology                            ,54,,49,,68,,67,,87,,67,,76,,70,,95,
,,"040700 - Zoology, General                        ",20,,,,13,,,,17,,,,20,,,,16,
,,041000 - Anatomy and Physiology                  ,165,,146,,160,,162,,141,,174,,169,,173,,212,
,,049900 - Other Biological Sciences               ,64,,67,44,68,,51,52,45,,75,56,72,,71,55,56,
,,"050100 - Business and Commerce, General          ",28,,28,14,18,,10,5,19,,18,14,28,,20,10,32,
,,050200 - Accounting                              ,22,,12,,17,,12,,10,,13,,11,,18,,14,
,,050500 - Business Administration                 ,235,,187,28,246,,182,46,239,,177,50,263,,203,59,333,
,,050630 - Management Development and Supervision  ,70,,66,9,42,,102,10,110,,136,23,93,,65,15,83,
,,050640 - Small Business and Entrepreneurship     ,5,,,,10,,,,4,,,,3,,,,5,
,,051400 - Office Technology/Office Computer Applic,39,,57,12,32,,53,16,56,,54,18,38,,62,21,45,
,,051430 - Court Reporting                         ,16,,15,5,30,,32,12,24,,55,15,36,,48,12,45,
,,"060100 - Media and Communications, General       ",,,,,,,6,,,,,,,,,,,
,,060200 - Journalism                              ,14,,,,9,,,,,,,,,,,,,
,,061000 - Mass Communications                     ,,,,,,,,,10,,4,,5,,11,,16,
,,061200 - Film Studies                            ,16,,14,,14,,11,,11,,18,,23,,15,,11,
,,061460 - Computer Graphics and Digital Imagery   ,14,,14,15,13,,12,12,14,,15,10,10,,20,14,12,
,,"070100 - Information Technology, General         ",5,,17,,7,,9,,11,,10,,20,,9,,15,
,,070200 - Computer Information Systems            ,69,,49,27,33,,20,14,17,,19,12,14,,21,15,24,
,,"080100 - Education, General                      ",,,14,,15,,,,14,,,,24,,,,23,
,,083500 - Physical Education                      ,194,,126,21,222,,127,59,194,,169,61,247,,177,47,274,
,,083550 - Intercollegiate Athletics               ,134,,140,68,151,,152,36,161,,187,41,170,,171,32,166,
,,083600 - Recreation                              ,12,,15,,13,,,,,,,,,,,,,
,,083700 - Health Education                        ,299,,125,87,258,,118,83,299,,125,81,240,,122,106,193,
,,086000 - Educational Technology                  ,,,7,,,,,,,,6,,,,8,,,
,,"090100 - Engineering, General (requires Calculus)",68,,62,,31,,46,,58,,57,,63,,62,,51,
,,093400 - Electronics and Electric Technology     ,,,,,,,,,,,,,5,,,,7,
,,093500 - Electro-Mechanical Technology           ,,,,,,,,,,,,,,,,,7,
,,095430 - Petroleum Technology                    ,61,,106,25,64,,62,,18,,11,,4,,4,,,
,,095600 - Manufacturing and Industrial Technology ,,,3,,,,13,,,,13,,,,23,,,
,,095650 - Welding Technology                      ,20,,19,8,32,,31,7,37,,40,17,82,,50,23,63,
,,095670 - Industrial and Occupational Safety and H,673,,"2,269",822,"2,284",,"2,550","1,745","2,087",,"2,787","1,488","2,267",,"3,222","1,154","2,347",
,,100200 - Art                                     ,239,,211,65,253,,171,82,247,,207,123,283,,222,140,312,
,,100210 - Painting and Drawing                    ,7,,13,,10,,10,,12,,14,,12,,14,,10,
,,100400 - Music                                   ,57,,32,34,72,,32,32,68,,67,36,89,,76,32,94,
,,100700 - Dramatic Arts                           ,87,,42,,91,,38,,64,,34,,42,,31,,28,
,,103000 - Graphic Art and Design                  ,4,,1,,1,,1,,1,,5,,1,,,,10,
,,109900 - Other Fine and Applied Arts             ,,,2,,,,2,,,,2,,,,,,,
,,110500 - Spanish                                 ,205,,175,146,206,,199,146,251,,264,161,292,,235,196,199,
,,120800 - Medical Assisting                       ,,,,,,,,,,,,,,,,,22,
,,124020 - Dental Hygienist                        ,190,,155,,214,,134,,185,,160,,233,,190,,257,
,,125000 - Emergency Medical Services              ,919,,516,154,"1,179",,691,378,809,,800,449,871,,947,398,"1,064",
,,127000 - Kinesiology                             ,,,27,,,,24,,,,36,,15,,33,,47,
,,130500 - Child Development/Early Care and Educati,318,,271,143,229,,192,135,335,,309,125,386,,366,155,341,
,,130520 - Children with Special Needs             ,12,,6,14,,,13,6,8,,,7,7,,,,62,
,,130580 - Child Development Administration and Man,9,,6,,,,,,,,,,,,3,,2,
,,130590 - Infants and Toddlers                    ,9,,10,,10,,7,,,,11,,20,,7,7,,
,,150100 - English                                 ,563,,481,154,552,,417,161,767,,575,232,696,,819,218,668,
,,150600 - Speech Communication                    ,217,,191,121,237,,188,145,276,,256,177,312,,274,161,475,
,,150700 - Creative Writing                        ,12,,,,18,,,13,18,,17,5,13,,6,11,19,
,,150900 - Philosophy                              ,37,,71,,42,,39,,44,,55,,46,,51,,31,
,,151000 - Religious Studies                       ,16,,,,,,,,,,,,,,,,,
,,159900 - Other Humanities                        ,44,,27,17,22,,18,24,14,,23,17,19,,20,18,24,
,,"160100 - Library Science, General                ",92,,94,39,113,,85,48,89,,74,37,34,,27,16,9,
,,"170100 - Mathematics, General                    ",533,,403,194,547,,397,198,480,,504,249,540,,504,216,594,
,,"190100 - Physical Sciences, General              ",,,19,,,,13,,,,20,,,,18,,,
,,"190200 - Physics, General                        ",25,,28,,29,,18,,23,,27,,27,,36,,26,
,,"190500 - Chemistry, General                      ",160,,149,,157,,161,,155,,168,,161,,176,,187,
,,191100 - Astronomy                               ,13,,33,,29,,33,,39,,36,,37,,42,,51,
,,191400 - Geology                                 ,19,,18,,17,,10,,16,,15,,15,,14,,22,
,,193000 - Earth Science                           ,21,,,,21,,,,23,,,,24,,,,22,
,,"200100 - Psychology, General                     ",520,,335,110,460,,312,112,406,,350,92,503,,475,172,530,
,,210450 - Disability Services                     ,15,,46,,27,,29,,21,,39,,35,,43,,18,
,,210500 - Administration of Justice               ,132,,144,24,96,,63,40,116,,105,50,115,,112,58,115,
,,210510 - Corrections                             ,8,,4,,10,,8,,,,,,3,,,,,
,,220300 - Ethnic Studies                          ,,,,,106,,185,124,262,,212,128,330,,284,187,357,
,,220400 - Economics                               ,102,,125,64,142,,117,104,142,,122,157,122,,116,145,207,
,,220500 - History                                 ,309,,308,100,281,,275,116,303,,321,156,370,,330,187,342,
,,220600 - Geography                               ,110,,85,34,97,,95,44,100,,68,55,67,,72,57,66,
,,220700 - Political Science                       ,229,,187,64,206,,172,125,218,,192,183,273,,204,194,258,
,,220800 - Sociology                               ,219,,201,85,155,,118,61,142,,110,60,164,,162,78,230,
,,493010 - Career Guidance and Orientation         ,21,,13,11,26,,14,11,33,,4,,8,,,,,
,,493013 - Academic Guidance                       ,115,,112,48,129,,76,47,135,,83,69,116,,63,51,70,
,,493014 - Study Skills                            ,95,,19,,85,,17,,123,,7,,77,,7,,83,
,,493200 - General Work Experience                 ,2,,6,,,,,,,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,,,,,,,,,,,,,25,,,,14,
,Credit - Not Degree Applicable                     Total,,"1,188",,27,10,30,,31,17,32,,20,17,40,,23,28,58,
,,051430 - Court Reporting                         ,20,,17,10,10,,20,17,20,,20,17,23,,23,28,31,
,,095670 - Industrial and Occupational Safety and H,"1,138",,,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",6,,10,,13,,11,,,,,,,,,,20,
,,210450 - Disability Services                     ,,,,,7,,,,12,,,,17,,,,7,
,,493013 - Academic Guidance                       ,24,,,,,,,,,,,,,,,,,
