,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Ventura Total,,,"28,049",,"24,359","8,711","27,536",,"25,005","10,459","29,781",,"27,251","11,574","29,688",,"28,206","10,630","30,287",
,Credit - Degree Applicable                         Total,,"27,633",,"24,092","8,711","27,057",,"24,555","10,434","29,182",,"26,807","11,550","29,170",,"27,604","10,607","29,618",
,,"010100 - Agriculture Technology and Sciences, Gen",18,,,,37,,,,43,,34,,60,,23,,72,
,,010200 - Animal Science                          ,90,,71,,69,,58,,69,,58,,64,,61,,67,
,,010210 - Veterinary Technician (Licensed)        ,51,,105,16,120,,114,23,115,,87,15,120,,114,18,155,
,,010300 - Plant Science                           ,57,,55,,36,,70,,58,,111,,70,,93,,71,
,,010310 - Agricultural Pest Control Adviser and Op,,,,,,,,,7,,,,11,,,,11,
,,"011200 - Agriculture Business, Sales and Service ",65,,28,,32,,14,,42,,13,,58,,20,5,26,
,,011300 - Food Processing and Related Technologies,,,,,14,,,,14,,6,,15,,27,,22,
,,011500 - Natural Resources                       ,,,,,,,,,,,,,,,,,20,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,,,,,,,9,,,6,,
,,030100 - Environmental Science                   ,104,,132,,121,,115,,176,,144,,170,,147,,161,
,,"040100 - Biology, General                        ","1,067",,990,206,"1,002",,953,302,"1,090",,"1,026",335,"1,077",,958,342,971,
,,040300 - MicroBiology                            ,140,,182,94,210,,166,65,161,,119,61,162,,182,50,173,
,,041000 - Anatomy and Physiology                  ,722,,667,252,555,,410,268,516,,538,240,530,,533,189,546,
,,050200 - Accounting                              ,504,,447,186,550,,468,158,595,,531,219,639,,560,210,713,
,,050400 - Banking and Finance                     ,,,,,,,,,,,17,,,,23,,,
,,050600 - Business Management                     ,850,,918,415,972,,756,538,"1,014",,889,505,969,,794,479,973,
,,050900 - Marketing and Distribution              ,162,,181,48,147,,143,32,223,,168,95,226,,190,63,132,
,,050970 - E-Commerce (Business emphasis)          ,,,,,,,,,,,,,,,,,23,
,,051400 - Office Technology/Office Computer Applic,58,,29,,51,,42,,63,,38,,33,,59,39,60,
,,051420 - Medical Office Technology               ,248,,175,68,252,,242,38,333,,322,37,313,,321,70,382,
,,061200 - Film Studies                            ,156,,112,102,223,,148,110,189,,132,102,184,,104,95,179,
,,061210 - Film History and Criticism              ,,,,,,,,,,,,,,,,,9,
,,061220 - Film Production                         ,,,42,29,,,23,36,,,54,34,,,48,34,,
