,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Coalinga College Total,,,"7,139",,"6,201","1,959","6,570",,"6,249","2,209","7,512",,"7,633","2,683","8,341",,"8,458","2,717","8,822",
,Credit - Degree Applicable                         Total,,"7,121",,"6,168","1,959","6,525",,"6,212","2,209","7,476",,"7,589","2,683","8,297",,"8,411","2,717","8,784",
,,"010100 - Agriculture Technology and Sciences, Gen",99,,55,68,85,,44,81,135,,34,55,64,,76,62,65,
,,010240 - Equine Science                          ,26,,28,,33,,26,,31,,29,,27,,36,,,
,,010300 - Plant Science                           ,99,,80,72,90,,139,76,79,,214,52,63,,271,,115,
,,010310 - Agricultural Pest Control Adviser and Op,30,,64,,28,,50,,35,,74,,22,,24,,29,
,,"011200 - Agriculture Business, Sales and Service ",83,,127,,73,,149,51,207,,79,,254,,30,,245,
,,011300 - Food Processing and Related Technologies,,,8,,10,,13,,17,,,,15,,,,,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,34,,,,54,,12,,105,,12,
,,"040100 - Biology, General                        ",203,,191,67,245,,159,85,222,,284,87,221,,253,100,277,
,,040300 - MicroBiology                            ,23,,28,,21,,31,,23,,32,,22,,39,,24,
,,041000 - Anatomy and Physiology                  ,81,,76,,98,,85,,111,,99,10,102,,141,21,134,
,,"050100 - Business and Commerce, General          ",,,1,,,,,,,,,,,,,,,
,,050200 - Accounting                              ,44,,26,,81,,29,,117,,101,,60,,68,,83,
,,050600 - Business Management                     ,221,,131,73,127,,145,112,179,,173,94,286,,299,117,267,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,12,,,,,,,,,,
,,051400 - Office Technology/Office Computer Applic,186,,,,48,,71,70,73,,62,29,48,,,57,70,
,,061400 - Digital Media                           ,340,,,,16,,,8,,,,,,,6,,,
,,061420 - Electronic Game Design                  ,35,,,,,,,,,,,,,,,,,
,,061440 - Animation                               ,,,10,,,,,,,,,,,,,,,
,,061450 - Desktop Publishing                      ,,,13,,,,,,,,,,,,,,,
,,"070100 - Information Technology, General         ",75,,67,41,90,,81,44,74,,65,24,29,,43,43,38,
,,070210 - Software Applications                   ,249,,53,,48,,,,9,,14,,10,,29,,24,
,,070710 - Computer Programming                    ,,,11,,,,,,,,,,,,,,,
,,080200 - Educational Aide (Teacher Assistant)    ,8,,,,42,,12,,40,,20,,42,,64,,70,
,,083500 - Physical Education                      ,65,,35,,70,,17,35,79,,49,58,80,,123,57,140,
,,083510 - Physical Fitness and Body Movement      ,2,,2,,3,,,,,,,,1,,2,,3,
,,083550 - Intercollegiate Athletics               ,132,,111,,190,,155,,190,,122,54,157,,185,,178,
,,083700 - Health Education                        ,392,,239,37,354,,172,77,223,,296,20,229,,283,32,69,
,,094500 - Industrial Systems Technology and Mainte,46,,38,,62,,51,,98,,40,,96,,34,,101,
