,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Lemoore College Total,,,"9,203",,"8,811","2,612","10,096",,"9,837","3,100","10,979",,"10,502","3,845","11,551",,"11,287","4,336","12,171",
,Credit - Degree Applicable                         Total,,"8,974",,"8,627","2,612","9,814",,"9,613","3,100","10,690",,"10,242","3,845","11,233",,"11,072","4,336","11,943",
,,"010100 - Agriculture Technology and Sciences, Gen",2,,2,1,1,,1,1,4,,3,3,3,,4,1,4,
,,010200 - Animal Science                          ,,,,,,,20,,5,,,,,,15,,16,
,,010300 - Plant Science                           ,,,,,,,,,,,,,,,,,8,
,,"011200 - Agriculture Business, Sales and Service ",25,,18,,21,,36,,27,,37,,9,,22,,22,
,,"040100 - Biology, General                        ",229,,247,96,225,,260,105,246,,281,144,239,,265,196,258,
,,040300 - MicroBiology                            ,77,,66,17,91,,61,12,92,,46,13,108,,78,42,104,
,,041000 - Anatomy and Physiology                  ,277,,262,48,284,,285,52,298,,310,77,310,,302,77,334,
,,"050100 - Business and Commerce, General          ",4,,4,,8,,11,2,5,,13,2,6,,6,,6,
,,050200 - Accounting                              ,104,,105,,111,,126,,140,,130,,145,,153,,137,
,,050600 - Business Management                     ,247,,289,57,332,,318,62,325,,276,104,309,,419,109,326,
,,050640 - Small Business and Entrepreneurship     ,,,36,,,,27,,,,27,,,,19,,,
,,051400 - Office Technology/Office Computer Applic,35,,71,,46,,74,,41,,76,,53,,69,,58,
,,"060100 - Media and Communications, General       ",,,4,,12,,5,,12,,,,17,,,,,
,,060200 - Journalism                              ,,,,,,,9,,,,8,,,,,,,
,,061460 - Computer Graphics and Digital Imagery   ,8,,15,,7,,16,,9,,17,,11,,18,,,
,,"070100 - Information Technology, General         ",103,,118,,149,,126,,151,,154,49,160,,148,43,169,
,,070210 - Software Applications                   ,14,,,,22,,53,,61,,62,,40,,26,,96,
,,070710 - Computer Programming                    ,13,,,,22,,32,,34,,38,,80,,43,,30,
,,070720 - Database Design and Administration      ,,,,,,,10,,,,20,,,,27,,,
,,070730 - Computer Systems Analysis               ,16,,,10,38,,,13,45,,,15,51,,,29,72,
,,070800 - Computer Infrastructure and Support     ,,,22,,,,36,,,,57,,,,53,,,
,,070810 - Computer Networking                     ,27,,9,,26,,14,,55,,28,,67,,22,,78,
,,070820 - Computer Support                        ,,,8,,,,19,,,,23,,,,21,,,
,,"080100 - Education, General                      ",13,,50,,21,,62,,83,,90,,80,,133,,71,
,,080200 - Educational Aide (Teacher Assistant)    ,55,,27,,77,,7,,1,,,,,,,,,
,,083500 - Physical Education                      ,162,,69,,170,,96,,206,,100,,175,,82,,218,
,,083510 - Physical Fitness and Body Movement      ,,,30,,,,21,,,,31,,,,16,,,
,,083520 - Fitness Trainer                         ,146,,154,53,100,,150,50,137,,124,,,,,,,
,,083550 - Intercollegiate Athletics               ,114,,80,105,125,,73,91,113,,99,131,131,,83,153,165,
,,083700 - Health Education                        ,215,,267,99,233,,220,36,209,,202,,194,,194,,222,
,,085000 - Sign Language                           ,133,,133,108,156,,86,138,164,,140,134,157,,112,156,139,
,,"090100 - Engineering, General (requires Calculus)",46,,18,4,46,,14,5,63,,13,8,65,,32,,36,
,,093400 - Electronics and Electric Technology     ,17,,26,,2,,14,,45,,51,,35,,37,,48,
,,094500 - Industrial Systems Technology and Mainte,50,,44,,53,,57,3,102,,90,2,151,,121,6,122,
,,095300 - Drafting Technology                     ,,,,,,,3,,,,6,,,,5,,,
,,"100100 - Fine Arts, General                      ",304,,255,131,287,,238,129,258,,266,112,248,,253,154,258,
,,100200 - Art                                     ,22,,32,,24,,36,,33,,46,,41,,33,,31,
,,100210 - Painting and Drawing                    ,90,,57,,90,,57,,101,,73,,95,,73,,77,
,,100400 - Music                                   ,166,,210,103,196,,158,111,206,,175,85,172,,179,113,209,
,,100700 - Dramatic Arts                           ,49,,26,,63,,60,,54,,71,,56,,57,,68,
,,110500 - Spanish                                 ,40,,51,22,37,,48,48,35,,118,114,87,,119,92,85,
,,123010 - Registered Nursing                      ,267,,303,10,279,,254,19,347,,329,23,395,,371,28,353,
,,123030 - Certified Nurse Assistant               ,,,,,,,14,26,,,,29,,,,,,
,,125000 - Emergency Medical Services              ,32,,16,23,28,,19,31,43,,66,12,48,,48,32,50,
,,125100 - Paramedic                               ,51,,36,,41,,48,,54,,54,27,58,,56,,56,
,,"126000 - Health Professions, Transfer Core Curric",107,,93,,94,,93,,103,,84,,84,,101,,223,
,,127000 - Kinesiology                             ,,,33,,,,40,,,,41,,,,33,,,
,,129900 - Other Health Occupations                ,11,,8,,1,,2,,1,,2,25,1,,1,,3,
,,130500 - Child Development/Early Care and Educati,356,,295,46,358,,340,162,454,,297,189,385,,344,211,433,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",31,,,,51,,,,55,,70,76,222,,179,93,212,
