,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
West LA Total,,,"18,981","4,370","16,896","7,139","17,473","3,626","17,165","7,476","18,587","3,951","17,764","5,809","18,811","4,358","17,765","8,316","18,617","4,650"
,Credit - Degree Applicable                         Total,,"18,981","4,370","16,896","7,139","17,473","3,626","17,165","7,476","18,587","3,951","17,764","5,809","18,811","4,358","17,765","8,316","18,617","4,650"
,,030100 - Environmental Science                   ,57,,65,,58,,69,,58,,126,,72,,166,,99,
,,"040100 - Biology, General                        ",448,77,451,224,228,108,209,134,319,174,211,168,239,137,187,306,244,197
,,040300 - MicroBiology                            ,232,143,235,93,102,38,123,70,138,64,156,71,176,38,113,85,127,68
,,041000 - Anatomy and Physiology                  ,595,140,464,257,203,111,213,268,350,172,370,240,514,209,400,330,378,230
,,043000 - Biotechnology and Biomedical Technology ,16,,8,,37,,17,,33,,36,,47,,25,,33,
,,050200 - Accounting                              ,320,130,367,122,301,102,292,60,251,124,290,53,195,103,227,137,170,101
,,050400 - Banking and Finance                     ,64,18,58,25,29,,24,18,31,,22,,15,,,32,19,
,,050500 - Business Administration                 ,613,140,477,289,546,153,559,234,520,140,398,88,437,180,333,219,475,141
,,050600 - Business Management                     ,127,20,98,37,105,34,169,13,175,35,208,11,100,,52,63,128,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,37,,43,,35,
,,050900 - Marketing and Distribution              ,62,49,66,49,64,33,98,65,51,33,175,24,117,,122,73,158,
,,051100 - Real Estate                             ,432,54,406,270,502,55,436,287,410,33,505,61,253,53,373,163,298,114
,,051400 - Office Technology/Office Computer Applic,30,,65,,34,,39,,20,,20,,23,,23,,20,
,,061210 - Film History and Criticism              ,231,32,243,76,258,29,225,138,296,50,189,57,305,38,200,104,229,49
,,061220 - Film Production                         ,447,132,430,234,639,147,600,230,769,106,743,290,686,113,560,191,513,28
,,061400 - Digital Media                           ,25,,,,,,,,44,,,8,41,,,,,
,,061420 - Electronic Game Design                  ,,,,,,,,,,,,,,,12,,15,
,,"070100 - Information Technology, General         ",314,69,291,139,340,68,294,97,238,69,207,63,172,57,131,62,128,58
,,070200 - Computer Information Systems            ,18,,12,,18,,23,,68,,26,,59,,54,,43,
,,070600 - Computer Science (Transfer)             ,84,,72,,95,,62,,73,,85,,72,,92,,42,
,,070710 - Computer Programming                    ,143,,173,57,164,,160,63,87,,192,43,135,,139,,149,
,,070730 - Computer Systems Analysis               ,65,,26,,36,,63,,39,,87,,40,,86,,79,
,,070800 - Computer Infrastructure and Support     ,174,,116,,179,,134,,186,,139,,186,,108,,178,
,,070810 - Computer Networking                     ,44,,78,,88,,81,,78,,68,,87,,55,,59,
,,070900 - World Wide Web Administration           ,68,,70,20,68,,123,,87,,38,,20,,54,,,
,,"080100 - Education, General                      ",19,,14,,21,,36,,27,,21,,28,,21,,16,
,,080900 - Special Education                       ,128,,22,49,298,,51,65,135,,28,26,100,,46,49,131,
,,083500 - Physical Education                      ,286,35,251,87,262,25,215,60,273,37,176,66,201,67,145,54,146,67
,,083550 - Intercollegiate Athletics               ,350,91,202,158,284,91,203,140,308,84,207,115,260,105,220,142,301,91
,,083700 - Health Education                        ,368,69,269,186,346,99,383,255,497,83,423,154,403,105,383,309,388,101
,,085010 - Sign Language Interpreting              ,,,23,,,,57,,24,,34,,12,,29,,8,
,,"090100 - Engineering, General (requires Calculus)",67,,11,,27,,27,,72,,31,,64,,34,,74,
,,093400 - Electronics and Electric Technology     ,,,,,,,,,,,12,,,,,,12,
,,095000 - Aeronautical and Aviation Technology    ,,,,,,,,,220,,135,54,167,,176,49,309,
,,095020 - Aviation Powerplant Mechanics           ,609,6,583,249,573,,649,384,537,17,604,349,646,,736,425,709,
,,095300 - Drafting Technology                     ,,,17,,,,13,,,,21,,,,35,,,
,,095600 - Manufacturing and Industrial Technology ,,,,,,,9,6,10,,,8,,,,,23,
