,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Yuba Total,,,"12,696",,"11,009","3,533","13,037",,"12,054","3,789","14,136",,"13,248","4,465","15,228",,"14,344","5,087","13,818",
,Credit - Degree Applicable                         Total,,"12,495",,"10,899","3,533","12,806",,"11,882","3,726","13,935",,"13,163","4,402","15,042",,"14,203","5,024","13,601",
,,"010100 - Agriculture Technology and Sciences, Gen",12,,,,29,,,,16,,,,32,,13,,22,
,,010200 - Animal Science                          ,22,,28,,35,,37,,35,,39,,38,,132,,104,
,,010210 - Veterinary Technician (Licensed)        ,383,,319,101,309,,278,66,250,,240,74,332,,370,81,304,
,,010300 - Plant Science                           ,36,,38,,60,,69,,86,,71,,63,,103,,165,
,,"011200 - Agriculture Business, Sales and Service ",,,11,,,,17,,,,12,,,,16,,9,
,,011500 - Natural Resources                       ,,,,,,,,,,,9,,,,10,,,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,,,,,,,14,,,,,
,,019900 - Other Agriculture and Natural Resources ,,,,,,,,,,,,,,,9,,,
,,"040100 - Biology, General                        ","1,049",,887,422,824,,865,352,981,,"1,027",534,"1,271",,"1,158",598,"1,286",
,,"050100 - Business and Commerce, General          ",,,,,27,,,,20,,,,,,,,101,
,,050200 - Accounting                              ,303,,212,,193,,164,,233,,219,22,224,,232,,176,
,,050600 - Business Management                     ,180,,143,3,176,,201,2,165,,220,2,227,,146,32,236,
,,050640 - Small Business and Entrepreneurship     ,,,25,,,,26,,18,,22,,25,,29,,18,
,,051400 - Office Technology/Office Computer Applic,185,,119,51,161,,157,41,262,,146,46,244,,160,60,249,
,,"060100 - Media and Communications, General       ",,,,,,,,,57,,35,,64,,28,,50,
,,060400 - Radio and Television                    ,56,,59,18,93,,63,,43,,25,,40,,26,,36,
,,061000 - Mass Communications                     ,31,,38,,24,,31,,25,,25,,24,,41,,27,
,,070600 - Computer Science (Transfer)             ,26,,,,25,,,,30,,,,35,,,,30,
,,070700 - Computer Software Development           ,,,,,,,,,,,12,,21,,,,17,
,,070710 - Computer Programming                    ,101,,119,34,163,,135,34,132,,120,35,128,,152,31,140,
,,070720 - Database Design and Administration      ,,,,,,,,,,,,,,,6,,,
,,"080100 - Education, General                      ",18,,33,,41,,49,,23,,33,,25,,35,,19,
,,083500 - Physical Education                      ,274,,178,84,264,,184,57,293,,246,67,264,,173,50,206,
,,083510 - Physical Fitness and Body Movement      ,,,,,12,,,,,,,,,,,,13,
,,083550 - Intercollegiate Athletics               ,242,,158,114,271,,193,186,242,,172,138,261,,139,77,312,
,,083580 - Adapted Physical Education              ,14,,9,,,,17,,13,,8,,7,,6,,7,
,,083700 - Health Education                        ,404,,389,155,425,,350,168,464,,358,188,448,,379,205,400,
,,085000 - Sign Language                           ,104,,68,27,111,,86,60,92,,94,65,123,,100,58,112,
,,094700 - Diesel Technology                       ,,,,,,,,,22,,,,26,,,,15,
,,094800 - Automotive Technology                   ,60,,88,,141,,155,,144,,183,,159,,164,,184,
,,094840 - Alternative Fuels and Advanced Transport,10,,,,13,,,,20,,,,22,,,,20,
,,094900 - Automotive Collision Repair             ,10,,,,,,,,,,,,,,,,,
,,095310 - Architectural Drafting                  ,15,,8,,17,,14,,21,,15,,17,,10,,16,
,,095630 - Machining and Machine Tools             ,25,,29,,21,,29,,36,,51,,24,,50,,24,
,,095650 - Welding Technology                      ,68,,64,,55,,81,12,79,,104,13,133,,104,9,118,
,,100200 - Art                                     ,163,,208,73,192,,275,112,190,,338,131,227,,350,181,347,
,,100210 - Painting and Drawing                    ,2,,3,,2,,2,,3,,2,,2,,8,,1,
,,100230 - Ceramics                                ,2,,4,,1,,3,,3,,,,,,,,,
,,100400 - Music                                   ,307,,369,195,389,,398,189,376,,435,114,279,,361,118,275,
