,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Allan Hancock Total,,"3,776",,"3,865",,"4,192",,"4,347","1,399","4,132",72,"4,972","1,818","5,209",137,"5,294","2,080","5,500",223
,010910 - Landscape Design and Maintenance        ,22,,21,,19,,15,,,,10,,,,,,,
,010920 - Floriculture / Floristry                ,67,,38,,,,,,,,,,,,40,38,60,
,050210 - Tax Studies                             ,,,113,,,,155,,,,160,,,,185,,,
,051400 - Office Technology/Office Computer Applic,55,,89,,59,,57,21,54,,52,16,40,,23,10,52,
,"070100 - Information Technology, General         ",114,,167,,171,,228,70,143,,149,26,150,,108,54,137,
,070210 - Software Applications                   ,38,,40,,37,,20,,68,,38,19,95,,60,37,76,
,083500 - Physical Education                      ,132,,79,,45,,56,,31,,40,,68,,64,,142,
,083510 - Physical Fitness and Body Movement      ,58,,20,,46,,80,49,96,,113,44,79,,121,24,120,
,083700 - Health Education                        ,21,,28,,94,,133,52,81,,96,23,72,,104,37,88,
,089900 - Other Education                         ,23,,,,,,,37,,,,35,,,,77,,
,094750 - Truck and Bus Driving                   ,22,,19,,,,30,17,48,,55,105,180,60,259,147,266,67
,095650 - Welding Technology                      ,,,16,,,,,,,,,,,,,,,
,100200 - Art                                     ,8,,,,,,,,,,,,18,,16,,19,
,100210 - Painting and Drawing                    ,108,,103,,117,,120,77,150,,184,52,206,,220,105,201,
,100230 - Ceramics                                ,24,,18,,11,,,,,,31,,5,,9,,,
,100400 - Music                                   ,7,,10,,16,,17,,21,,49,,53,,65,,79,
,100910 - Jewelry                                 ,27,,27,,30,,32,30,54,,58,44,50,,54,44,52,
,101200 - Applied Photography                     ,,,,,26,,,,,,,,,,24,,,
,123000 - Nursing                                 ,,,,,,,,,,,9,5,,,,9,,
,130300 - Fashion                                 ,297,,299,,388,,387,162,301,,289,155,340,,345,224,380,
,130330 - Fashion Production                      ,20,,19,,25,,,,,,,,,,,,,
,130500 - Child Development/Early Care and Educati,76,,24,,86,,85,,65,,83,38,118,,80,26,78,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,,,,,,,23,,39,,21,
,150100 - English                                 ,220,,192,,439,,245,,455,,302,49,392,,302,23,433,
,"170100 - Mathematics, General                    ",478,,417,,683,,633,132,755,,746,116,735,,652,134,717,
,213300 - Fire Technology                         ,,,,,,,,,,,17,20,34,,32,19,95,
,493009 - Supervised Tutoring                     ,102,,99,,100,,116,,,,154,,137,,191,,219,
,493012 - Job Seeking/Changing Skills             ,15,,28,,,,,,,34,,146,,,,184,,
,493013 - Academic Guidance                       ,,,,,90,,,56,17,,,59,14,,,,36,
,493014 - Study Skills                            ,205,,145,,223,,141,19,175,17,90,18,162,31,63,18,143,10
,"493031 - Living Skills, Handicapped              ",,,,,,,,,,,,,,,,,,94
,493060 - Elementary Education (Grades 1-8)       ,15,,,,,,,16,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,270,,205,,194,,202,35,77,,103,56,194,,267,120,227,
,493084 - English as a Second Language - Writing  ,,,,,5,,29,,18,,26,,31,,39,,34,
,493085 - English as a Second Language - Reading  ,,,,,21,,17,,39,,35,,46,,18,,26,
,493086 - English as a Second Language - Listening,199,,260,,209,,364,158,284,21,488,179,475,46,312,199,324,52
,493087 - English as a Second Language - Integrate,"1,072",,"1,311",,982,,"1,120",443,"1,072",,"1,399",562,"1,296",,"1,385",511,"1,348",
,493090 - Citizenship / ESL Civics                ,67,,65,,76,,65,25,83,,144,22,124,,159,24,90,
,493100 - Vocational ESL                          ,,,,,,,,,45,,52,29,72,,58,16,37,
,499900 - Other Interdisciplinary Studies         ,14,,13,,,,,,,,,,,,,,,
