,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Bakersfield Total,,"3,978",,"2,296","6,352","3,655",,"3,783","6,556","4,470",,"4,255","7,209","4,406",,"4,029","6,761","4,007",
,010900 - Horticulture                            ,,,,26,25,,14,11,21,,27,20,22,,45,38,43,
,011600 - Agricultural Power Equipment Technology ,,,,,,,14,,,,99,,,,51,,,
,"050100 - Business and Commerce, General          ",138,,40,28,31,,41,20,39,,47,29,36,,35,78,54,
,050200 - Accounting                              ,45,,,62,73,,57,20,69,,62,62,60,,69,68,47,
,050400 - Banking and Finance                     ,,,,13,14,,14,,,,,,,,,,,
,050500 - Business Administration                 ,50,,13,26,20,,44,37,32,,59,38,44,,55,56,53,
,050600 - Business Management                     ,141,,23,20,15,,21,,22,,16,,,,,18,,
,050640 - Small Business and Entrepreneurship     ,668,,172,182,279,,202,414,559,,466,277,430,,368,331,397,
,050900 - Marketing and Distribution              ,59,,,36,90,,47,22,50,,30,81,42,,49,49,56,
,050910 - Advertising                             ,,,,,10,,,,,,,15,,,,,,
,050940 - Sales and Salesmanship                  ,161,,,,22,,,,,,16,,,,,,,
,051000 - Logistics and Materials Transportation  ,,,,,,,,4,,,70,,,,22,,,
,051400 - Office Technology/Office Computer Applic,40,,94,58,101,,67,20,138,,100,48,97,,120,124,228,
,051410 - Legal Office Technology                 ,,,,,,,,,,,9,,,,,,,
,051800 - Customer Service                        ,124,,41,28,25,,43,24,41,,44,27,31,,33,77,54,
,086000 - Educational Technology                  ,233,,36,14,17,,16,11,21,,31,,6,,,3,75,
,089900 - Other Education                         ,,,,,39,,9,16,18,,25,,14,,7,8,12,
,094600 - Environmental Control Technology        ,,,,14,,,,10,,,,6,17,,10,,,
,094610 - Energy Systems Technology               ,,,,,6,,,,,,,,6,,,,,
,094800 - Automotive Technology                   ,,,,35,58,,31,129,37,,83,119,96,,135,152,113,
,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,,5,,,
,095650 - Welding Technology                      ,16,,21,,33,,,10,17,,,15,11,,10,,21,
,095670 - Industrial and Occupational Safety and H,,,7,9,8,,11,8,38,,28,12,7,,27,17,24,
,100400 - Music                                   ,,,,,,,,,,,,,,,,,6,
,100500 - Commercial Music                        ,,,,24,,,,,,,,28,,,,32,,
,100600 - Technical Theater                       ,,,,9,,,,18,,,,8,,,,10,,
,"120100 - Health Occupations, General             ",,,84,88,,,99,141,,,124,143,,,109,137,,
,122500 - Radiologic Technology                   ,,,,23,,,,11,,,,,,,8,,,
,123000 - Nursing                                 ,,,,,,,,49,,,,22,,,,16,,
,123010 - Registered Nursing                      ,,,75,46,,,81,144,32,,150,165,25,,121,185,47,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,,54,60,
,125000 - Emergency Medical Services              ,,,,,,,10,17,8,,1,11,36,,8,17,9,
,125100 - Paramedic                               ,,,10,15,26,,23,6,19,,26,10,52,,37,12,21,
,126100 - Community Health Care Worker            ,,,,,,,9,22,,,5,,,,,,,
,129900 - Other Health Occupations                ,,,16,,,,,,40,,12,,14,,7,12,3,
,130500 - Child Development/Early Care and Educati,30,,,46,93,,183,,56,,86,,90,,89,,25,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,,,,,,,,,,,,,12,
,130630 - Culinary Arts                           ,,,,55,,,,,,,,30,,,,13,,
,150100 - English                                 ,48,,4,121,56,,,35,,,14,41,,,39,25,16,
,170200 - Mathematics Skills                      ,,,12,98,66,,78,51,55,,67,16,1,,91,25,136,
,493009 - Supervised Tutoring                     ,"1,909",,"1,193",329,"1,858",,"1,922",471,"2,573",,"1,996",501,"2,633",,"2,063",390,"1,795",
,493010 - Career Guidance and Orientation         ,83,,22,28,45,,49,,36,,31,6,47,,56,264,58,
,493012 - Job Seeking/Changing Skills             ,41,,41,4,37,,25,,99,,38,,45,,48,7,53,
,493013 - Academic Guidance                       ,,,218,"4,814",250,,371,"4,707",100,,,"5,297",151,,,"4,435",207,
,493014 - Study Skills                            ,,,,,91,,43,,53,,73,,143,,112,23,83,
,493072 - Leadership Skills Development           ,36,,59,50,55,,62,53,44,,42,34,35,,26,10,29,
,493084 - English as a Second Language - Writing  ,156,,103,51,170,,157,75,136,,122,62,142,,115,75,166,
,493085 - English as a Second Language - Reading  ,,,12,,,,,,,,,,,,7,,,
,493087 - English as a Second Language - Integrate,,,,,42,,40,,117,,256,86,73,,52,,104,
