,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Berkeley City Total,,904,,630,24,989,,919,147,"1,120",,"1,058",169,937,,878,28,682,
,061410 - Multimedia                              ,18,,56,,24,,34,,19,,29,,21,,26,,14,
,061440 - Animation                               ,81,,48,,79,,68,,40,,43,,45,,69,,52,
,061450 - Desktop Publishing                      ,9,,21,,40,,31,,29,,29,,37,,26,,24,
,061460 - Computer Graphics and Digital Imagery   ,85,,88,,88,,74,,62,,39,,46,,60,,38,
,080200 - Educational Aide (Teacher Assistant)    ,104,,93,,57,,45,,81,,74,,70,,66,,,
,"120100 - Health Occupations, General             ",53,,105,,,,,,,,,,,,,,,
,126100 - Community Health Care Worker            ,,,,,,,,,,,,,57,,24,15,,
,150100 - English                                 ,455,,116,,311,,268,,472,,314,,309,,256,,432,
,"170100 - Mathematics, General                    ",,,,,,,,,,,44,,28,,44,,,
,210400 - Human Services                          ,,,,,215,,192,102,230,,180,112,87,,78,,16,
,493009 - Supervised Tutoring                     ,,,,,,,,19,24,,87,3,62,,55,13,,
,493014 - Study Skills                            ,,,,,8,,7,,9,,11,,,,3,,,
,493084 - English as a Second Language - Writing  ,16,,25,,38,,38,,19,,25,,21,,25,,15,
,493086 - English as a Second Language - Listening,30,,33,24,59,,75,26,74,,88,54,78,,75,,47,
,493087 - English as a Second Language - Integrate,53,,45,,70,,87,,61,,95,,76,,71,,44,
