,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cabrillo Total,,"1,901",,"2,141",616,"2,936",,"3,151",793,"3,762",,"4,610",328,"1,905",,"4,741",770,"4,872",
,010300 - Plant Science                           ,,,,,,,,,,,,,,,6,,,
,010900 - Horticulture                            ,,,,,,,,5,,,,,,,,,,
,043000 - Biotechnology and Biomedical Technology ,16,,18,,,,,,,,,,,,,,,
,050200 - Accounting                              ,,,,,,,,,11,,16,,9,,5,,7,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,18,,5,,9,,,,,
,050900 - Marketing and Distribution              ,,,,,,,,,,,6,,8,,,,,
,050970 - E-Commerce (Business emphasis)          ,,,,,,,,,,,,,6,,,,,
,051400 - Office Technology/Office Computer Applic,599,,549,198,50,,55,86,95,,123,62,88,,106,73,102,
,061220 - Film Production                         ,,,,,,,,,,,,,,,,,2,
,061400 - Digital Media                           ,,,,,11,,32,,13,,17,,,,,,,
,061430 - Website Design and Development          ,,,,,,,,,,,,,1,,10,,3,
,070210 - Software Applications                   ,,,12,,16,,23,2,10,,8,3,7,,1,1,1,
,070800 - Computer Infrastructure and Support     ,,,,,8,,68,44,26,,21,,39,,27,,22,
,070810 - Computer Networking                     ,,,17,,,,9,,,,9,,,,,,,
,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,,,,,1,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,,,,,,18,
,083570 - Aquatics and Lifesaving                 ,14,,12,,,,28,,25,,27,12,,,42,,19,
,094600 - Environmental Control Technology        ,,,,,,,,,,,,,,,,30,,
,094610 - Energy Systems Technology               ,,,,,,,,,1,,,,,,,,,
,095500 - Laboratory Science Technology           ,,,,,19,,15,,11,,21,,16,,34,,,
,095700 - Civil and Construction Management Techno,,,,,,,,23,2,,17,19,,,10,,7,
,100400 - Music                                   ,182,,251,,248,,267,12,284,,347,40,,,368,10,307,
,100500 - Commercial Music                        ,,,,,,,,,16,,21,,,,32,,46,
,100700 - Dramatic Arts                           ,19,,8,9,16,,15,17,9,,8,,,,20,15,18,
,101200 - Applied Photography                     ,,,,,21,,19,,27,,85,,53,,69,,37,
,103000 - Graphic Art and Design                  ,,,,,,,,,,,,,9,,11,,10,
,109900 - Other Fine and Applied Arts             ,,,,,,,,,,,7,,,,18,,17,
,124000 - Dental Occupations                      ,74,,,15,33,,33,,35,,46,,,,,,,
,125000 - Emergency Medical Services              ,,,,,,,,,,,32,,34,,,,,
,126100 - Community Health Care Worker            ,6,,,,6,,4,,4,,3,,11,,4,,,
,130500 - Child Development/Early Care and Educati,,,,,,,,,,,,,,,,,11,
,130540 - Preshool Age Children                   ,,,,,,,,,33,,8,,,,13,,,
,130590 - Infants and Toddlers                    ,,,,,,,,,30,,12,,,,13,,,
,130630 - Culinary Arts                           ,,,28,,,,,,,,,,,,,,,
,150100 - English                                 ,134,,307,50,29,,171,30,28,,194,28,27,,186,25,31,
,"170100 - Mathematics, General                    ",507,,330,137,109,,126,,,,,,,,,,,
,170200 - Mathematics Skills                      ,100,,193,13,363,,320,,253,,223,,,,190,,147,
,210400 - Human Services                          ,,,,,,,,14,,,,,8,,5,,,
,210500 - Administration of Justice               ,,,,,,,10,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,,,,,"1,697",,"1,422",316,"2,282",,"2,634",,"1,295",,"3,123",447,"3,610",
,493011 - Interpersonal Skills                    ,71,,173,59,28,,103,51,137,,89,,83,,105,18,75,
,493012 - Job Seeking/Changing Skills             ,11,,43,51,43,,133,53,95,,311,31,120,,83,23,99,
,493086 - English as a Second Language - Listening,,,,,,,,26,,,,27,,,,30,,
,493087 - English as a Second Language - Integrate,143,,165,84,176,,239,103,270,,269,106,23,,218,98,219,
,493100 - Vocational ESL                          ,25,,35,,63,,59,11,47,,51,,59,,42,,49,
,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,14,
