,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cerritos Total,,"3,727",,"4,087","2,086","4,055",,"4,409","3,195","5,729",,"6,116","3,512","12,904",,"5,245","5,645","5,272",
,050640 - Small Business and Entrepreneurship     ,73,,28,,60,,101,52,68,,62,50,68,,36,20,43,
,083700 - Health Education                        ,"1,331",,"1,929","1,218","1,502",,"1,811","1,630","2,102",,"2,163","1,999","2,352",,"2,312","2,219","2,499",
,094610 - Energy Systems Technology               ,30,,32,,71,,52,41,58,,76,29,42,,78,76,90,
,095220 - Electrical                              ,76,,68,24,114,,116,,198,,72,41,12,,184,,102,
,"095270 - Painting, Decorating, and Flooring      ",210,,50,,100,,46,82,98,,,,190,,216,,244,
,095650 - Welding Technology                      ,360,,366,78,142,,192,185,68,,,,,,,,,
,095670 - Industrial and Occupational Safety and H,69,,123,36,130,,105,,38,,18,32,40,,126,82,82,
,"130100 - Family and Consumer Sciences, General   ",222,,231,108,281,,308,181,251,,263,132,264,,253,115,290,
,150100 - English                                 ,57,,54,14,223,,189,86,318,,321,107,224,,383,46,286,
,150700 - Creative Writing                        ,37,,37,22,57,,38,22,31,,33,30,,,,,,
,"170100 - Mathematics, General                    ",84,,31,19,61,,96,31,49,,35,77,83,,39,14,46,
,493009 - Supervised Tutoring                     ,,,,,,,,,942,,"1,465",147,"7,128",,,28,17,
,493012 - Job Seeking/Changing Skills             ,77,,87,34,90,,64,58,43,,64,60,134,,134,52,65,
,493014 - Study Skills                            ,32,,48,18,39,,26,19,46,,44,26,24,,37,37,47,
,493060 - Elementary Education (Grades 1-8)       ,106,,111,10,83,,75,17,73,,70,48,38,,,52,,
,493062 - Secondary Education (Grades 9-12) and G.,299,,326,203,398,,383,284,427,,427,260,"1,229",,432,"2,423",448,
,493072 - Leadership Skills Development           ,115,,113,,66,,64,,109,,120,,99,,146,,183,
,493084 - English as a Second Language - Writing  ,35,,23,,27,,,,44,,55,,40,,95,,48,
,493087 - English as a Second Language - Integrate,387,,302,244,504,,574,390,589,,639,396,764,,599,328,606,
,493090 - Citizenship / ESL Civics                ,86,,86,20,47,,92,65,84,,91,53,115,,95,114,121,
,493100 - Vocational ESL                          ,41,,42,38,60,,77,52,93,,98,25,58,,80,39,55,
