,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cerro Coso Total,,,,12,,,,36,3,76,,90,18,107,,187,10,124,
,094730 - Heavy Equipment Operation               ,,,,,,,,,,,,,8,,8,,,
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,,,,,,2,1,
,100200 - Art                                     ,,,1,,,,3,,4,,,,5,,7,,,
,100210 - Painting and Drawing                    ,,,,,,,,,,,10,,2,,,,8,
,100220 - Sculpture                               ,,,,,,,1,,1,,,,,,5,,5,
,100230 - Ceramics                                ,,,11,,,,5,,10,,22,9,39,,49,8,53,
,100400 - Music                                   ,,,,,,,,,19,,33,,33,,37,,27,
,"120100 - Health Occupations, General             ",,,,,,,,,12,,2,,,,5,,,
,210500 - Administration of Justice               ,,,,,,,,,,,,,,,49,,7,
,493062 - Secondary Education (Grades 9-12) and G.,,,,,,,27,3,30,,23,9,20,,27,,23,
