,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Chabot Hayward Total,,274,,360,40,383,,577,88,697,,858,147,"1,400",,"1,379",280,"2,004",
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,,325,,,,339,
,083580 - Adapted Physical Education              ,,,,,,,,,,,,,75,,,,115,
,083700 - Health Education                        ,101,,90,,74,,156,6,34,,269,30,23,,323,,5,
,089900 - Other Education                         ,,,,,,,,,,,12,,,,,,,
,093400 - Electronics and Electric Technology     ,,,,,,,2,,,,,,,,10,9,1,
,094800 - Automotive Technology                   ,14,,,,,,9,,2,,1,,,,23,7,17,
,100210 - Painting and Drawing                    ,4,,12,,9,,10,,12,,13,,14,,23,1,16,
,100220 - Sculpture                               ,17,,16,,8,,23,,21,,28,,23,,29,,31,
,100400 - Music                                   ,11,,18,,12,,9,,11,,12,,12,,13,,17,
,130590 - Infants and Toddlers                    ,,,,,,,,,,,,,16,,6,,15,
,150100 - English                                 ,127,,154,,165,,129,14,241,,126,,210,,179,6,389,
,"170100 - Mathematics, General                    ",,,,,2,,3,,7,,12,,7,,4,,3,
,170200 - Mathematics Skills                      ,,,,17,,,6,51,35,,6,39,247,,248,80,358,
,"493032 - Learning Skills, Learning Disabled      ",,,,,8,,16,,,,,,,,16,,10,
,493062 - Secondary Education (Grades 9-12) and G.,,,,,,,,,,,,,,,11,,17,
,493084 - English as a Second Language - Writing  ,,,22,,30,,44,17,48,,90,,76,,82,,120,
,493085 - English as a Second Language - Reading  ,,,24,,,,32,,77,,63,15,100,,84,26,109,
,493086 - English as a Second Language - Listening,,,24,23,44,,74,,106,,136,63,158,,184,151,291,
,493087 - English as a Second Language - Integrate,,,,,31,,64,,103,,90,,114,,144,,151,
