,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Coastline Total,,"1,186",,"1,232",747,"1,373",,"1,703","1,061","1,775",,"2,381","1,254","2,270",,"2,149","1,162","2,099",
,"010100 - Agriculture Technology and Sciences, Gen",,,,,,,,,,,9,,39,,39,,41,
,010200 - Animal Science                          ,11,,11,,10,,7,,4,,15,,13,,13,,14,
,010900 - Horticulture                            ,5,,4,,6,,3,,5,,9,,9,,7,,7,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,,,,,87,
,050650 - Retail Store Operations and Management  ,,,,,,,,,,,,,,,,,6,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,127,,33,,,,56,
,060420 - Television (including combined TV/Film/V,,,,,,,5,,5,,5,,5,,12,,10,
,060700 - Technical Communication                 ,,,4,,,,,,,,,,,,,,,
,070210 - Software Applications                   ,,,,,,,,,,,39,,9,,,,20,
,083580 - Adapted Physical Education              ,298,,346,400,435,,511,519,549,,646,613,677,,638,568,657,
,100500 - Commercial Music                        ,,,8,,8,,8,,5,,8,,8,,7,,7,
,100600 - Technical Theater                       ,,,,,,,,,,,,,8,,,,,
,109900 - Other Fine and Applied Arts             ,,,,,,,,,9,,8,,,,8,,11,
,130630 - Culinary Arts                           ,5,,,,9,,8,,11,,11,,10,,9,,8,
,130700 - Hospitality                             ,,,,,,,,,4,,,,,,,,7,
,150100 - English                                 ,18,,,,,,,16,28,,178,34,137,,186,,,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,16,,23,,13,
,309900 - Other Commercial Services               ,,,,,6,,5,,,,,,12,,7,,,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,142,,,,99,33,,
,493010 - Career Guidance and Orientation         ,,,10,,,,,,6,,5,,,,,,,
,493011 - Interpersonal Skills                    ,39,,46,,53,,47,,44,,54,,57,,45,,46,
,493012 - Job Seeking/Changing Skills             ,79,,91,,90,,107,,76,,84,,106,,94,,91,
,493013 - Academic Guidance                       ,,,,,,,13,7,9,,,29,,,,,,
,"493030 - Learning Skills, Handicapped            ",307,,308,25,248,,306,11,214,,274,8,261,,258,4,266,
,"493031 - Living Skills, Handicapped              ",37,,37,,33,,38,,39,,37,,45,,35,,27,
,"493033 - Learning Skills, Speech Impaired        ",14,,13,,8,,22,,22,,19,,19,,19,,17,
,493084 - English as a Second Language - Writing  ,44,,43,,57,,43,,79,,62,,78,,64,31,84,
,493085 - English as a Second Language - Reading  ,20,,15,,22,,29,26,41,,33,63,28,,52,45,67,
,493086 - English as a Second Language - Listening,181,,173,129,263,,317,226,378,,345,308,425,,326,254,353,
,493087 - English as a Second Language - Integrate,128,,123,193,125,,234,256,247,,271,199,275,,208,227,204,
