,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Desert Total,,"1,724",49,"2,320","4,993","2,662",346,"2,456","4,796","2,285",341,"2,700","2,145","2,842",145,"2,974","1,087","1,967",
,"050100 - Business and Commerce, General          ",,,,,,,,,,,14,,70,,202,78,106,
,051800 - Customer Service                        ,5,,30,3,,,53,,,,37,,,,,,,
,061460 - Computer Graphics and Digital Imagery   ,,,,,,,,,3,,2,,1,,,,,
,"070100 - Information Technology, General         ",,,,,,,,,,,2,,,,1,,,
,079900 - Other Information Technology            ,,,,,5,,,,1,,,,1,,,,,
,083610 - Recreation Assistant                    ,,,,11,,,,,,,,,,,,,,
,094800 - Automotive Technology                   ,,23,,,,,,,,9,,,,,,,,
,094840 - Alternative Fuels and Advanced Transport,2,,,,,,,,,,,,,,,,,
,100200 - Art                                     ,,,,,14,,,,,,29,,,,,,,
,129900 - Other Health Occupations                ,136,2,131,5,180,,193,31,,,177,42,273,,304,28,360,
,130630 - Culinary Arts                           ,,,28,32,88,20,91,105,198,46,177,114,170,36,181,122,137,
,152000 - Reading                                 ,43,,,,55,,40,29,84,,81,32,88,,56,,,
,"170100 - Mathematics, General                    ",68,14,43,24,49,,52,14,58,,108,38,128,9,157,,30,
,493009 - Supervised Tutoring                     ,330,10,367,68,477,,65,,,,,,,,,,,
,493014 - Study Skills                            ,,,,"4,451",,326,,"4,080",,286,15,"1,327",2,100,,437,18,
,"493030 - Learning Skills, Handicapped            ",,,,,,,,,10,,34,,37,,25,,3,
,"493031 - Living Skills, Handicapped              ",,,6,,27,,19,,,,29,27,27,,26,,44,
,493062 - Secondary Education (Grades 9-12) and G.,232,,77,96,203,,293,160,345,,367,175,278,,302,,,
,493084 - English as a Second Language - Writing  ,28,,27,,34,,23,,24,,21,,50,,62,,,
,493086 - English as a Second Language - Listening,284,,454,226,442,,465,292,417,,466,295,452,,505,348,442,
,493087 - English as a Second Language - Integrate,557,,"1,102",77,"1,058",,"1,130",85,"1,086",,"1,109",86,"1,224",,"1,119",66,808,
,493090 - Citizenship / ESL Civics                ,6,,12,,9,,17,,21,,11,,12,,9,,,
,493100 - Vocational ESL                          ,33,,43,,21,,15,,38,,21,9,29,,25,8,19,
