,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Evergreen Valley Total,,189,,416,,135,,,225,784,,840,171,"1,045",,"1,161",158,799,
,050200 - Accounting                              ,,,,,,,,,,,,,,,24,,,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,10,,6,9,23,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,82,108,,102,85,129,,98,46,100,
,086000 - Educational Technology                  ,,,,,,,,,,,,,,,,17,58,
,150100 - English                                 ,,,,,,,,,,,,,,,,45,,
,300500 - Custodial Services                      ,,,,,,,,,,,,,11,,,,8,
,493009 - Supervised Tutoring                     ,189,,357,,135,,,81,465,,462,38,579,,735,41,382,
,493086 - English as a Second Language - Listening,,,,,,,,,,,116,48,220,,135,,104,
,493087 - English as a Second Language - Integrate,,,59,,,,,62,211,,130,,96,,150,,124,
,493090 - Citizenship / ESL Civics                ,,,,,,,,,,,30,,,,13,,,
