,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Gavilan Total,,"1,400",,"1,261",664,"1,310",,"1,356",578,"2,111",,"2,045",585,"2,224",,"2,157",669,"2,246",
,050600 - Business Management                     ,,,,,7,,,,,,30,,12,,21,,15,
,050640 - Small Business and Entrepreneurship     ,,,,,5,,,,,,12,,12,,15,,9,
,083580 - Adapted Physical Education              ,42,,39,33,37,,34,35,43,,69,41,43,,99,34,38,
,083700 - Health Education                        ,,,3,5,,,,,,,,,,,,,,
,095650 - Welding Technology                      ,8,,5,,,,,,,,,,,,,,8,
,120500 - Medical Laboratory Technology           ,,,,,,,,,,,,,,,,,22,
,130630 - Culinary Arts                           ,,,,,,,,,,,,,,,,,22,
,150100 - English                                 ,136,,67,31,61,,61,41,79,,94,22,99,,53,44,49,
,213300 - Fire Technology                         ,,,,8,,,,,,,,20,,,,18,,
,493009 - Supervised Tutoring                     ,,,,,,,,,397,,302,,534,,518,,538,
,493012 - Job Seeking/Changing Skills             ,354,,329,211,347,,301,181,316,,292,160,339,,334,235,325,
,493013 - Academic Guidance                       ,33,,23,24,36,,31,21,33,,32,23,24,,34,19,20,
,493084 - English as a Second Language - Writing  ,62,,17,,21,,25,11,11,,26,,23,,14,,22,
,493085 - English as a Second Language - Reading  ,24,,,,,,,,,,,,,,,,,
,493086 - English as a Second Language - Listening,193,,183,44,175,,151,22,197,,178,,212,,229,,231,
,493087 - English as a Second Language - Integrate,504,,549,291,584,,709,254,987,,955,279,886,,807,282,901,
,493090 - Citizenship / ESL Civics                ,44,,46,17,37,,44,13,48,,55,40,40,,33,37,46,
