,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Golden West Total,,758,,905,307,"1,240",,"1,140",443,"1,565",,"1,484",472,"1,474",,"1,449",663,"1,667",
,051400 - Office Technology/Office Computer Applic,,,,,,,,,104,,42,27,75,,65,26,33,
,051410 - Legal Office Technology                 ,,,,,,,,,,,28,,,,17,,,
,094800 - Automotive Technology                   ,,,13,73,52,,41,48,67,,49,31,16,,32,38,49,
,100230 - Ceramics                                ,,,,,,,,,,,,,12,,14,,18,
,100400 - Music                                   ,,,,,,,,,,,,,6,,10,,20,
,100700 - Dramatic Arts                           ,,,,,,,,,,,,,23,,29,,33,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,47,,85,,79,
,130900 - Gerontology                             ,,,,,,,,115,173,,111,110,142,,132,260,122,
,"170100 - Mathematics, General                    ",,,,,,,,,,,,,,,14,,66,
,210500 - Administration of Justice               ,,,,,,,,,,,,,,,,,133,
,219900 - Other Public and Protective Services    ,,,,,,,,,,,32,,28,,18,,,
,493062 - Secondary Education (Grades 9-12) and G.,14,,28,4,59,,47,,101,,87,,85,,52,,105,
,493084 - English as a Second Language - Writing  ,,,,,,,,,89,,80,,58,,51,,62,
,493086 - English as a Second Language - Listening,21,,31,25,47,,49,34,112,,140,33,112,,94,36,99,
,493087 - English as a Second Language - Integrate,723,,833,205,"1,082",,"1,003",246,919,,915,271,870,,836,303,848,
