,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Grossmont Total,,64,,56,,4,,60,,137,,,,417,,516,31,695,
,070200 - Computer Information Systems            ,,,,,,,,,,,,,,,,,15,
,095000 - Aeronautical and Aviation Technology    ,,,,,,,58,,60,,,,63,,58,,74,
,100400 - Music                                   ,64,,56,,4,,,,71,,,,89,,61,,38,
,121000 - Respiratory Care/Therapy                ,,,,,,,,,,,,,,,,14,50,
,121800 - Occupational Therapy Technology         ,,,,,,,,,,,,,,,,,50,
,123010 - Registered Nursing                      ,,,,,,,,,,,,,140,,,,144,
,"170100 - Mathematics, General                    ",,,,,,,,,,,,,,,,,177,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,,,215,,,
,493010 - Career Guidance and Orientation         ,,,,,,,,,6,,,,,,13,12,,
,493085 - English as a Second Language - Reading  ,,,,,,,1,,,,,,,,169,5,,
,493086 - English as a Second Language - Listening,,,,,,,1,,,,,,125,,,,147,
