,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Hartnell Total,,649,,557,174,399,,754,314,346,,295,117,244,,445,267,"1,282",
,051400 - Office Technology/Office Computer Applic,,,,2,3,,2,1,4,,4,,6,,8,3,8,
,095600 - Manufacturing and Industrial Technology ,,,10,,,,,,,,,,,,,,,
,100400 - Music                                   ,62,,73,,76,,70,,55,,63,,27,,52,,42,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,,,,,,118,921,
,493062 - Secondary Education (Grades 9-12) and G.,46,,52,7,74,,73,9,59,,50,14,37,,135,17,94,
,493084 - English as a Second Language - Writing  ,,,,,,,,,19,,37,,46,,61,,29,
,493085 - English as a Second Language - Reading  ,,,,,,,,,3,,6,,,,13,,,
,493086 - English as a Second Language - Listening,,,,,,,,,113,,50,79,38,,97,107,83,
,493087 - English as a Second Language - Integrate,541,,422,165,246,,609,304,93,,85,24,90,,79,22,105,
