,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Imperial Total,,808,97,899,,995,,"1,081",,"1,172",,"1,070",,"1,237",,967,256,,
,050900 - Marketing and Distribution              ,,,25,,,,,,,,,,,,,,,
,"070100 - Information Technology, General         ",,,,,53,,91,,85,,52,,107,,63,21,,
,083700 - Health Education                        ,66,,58,,66,,87,,67,,86,,97,,87,43,,
,100400 - Music                                   ,77,,65,,60,,66,,50,,33,,25,,31,,,
,122200 - Physical Therapist Assistant            ,13,,15,,18,,16,,17,,18,,21,,23,,,
,"170100 - Mathematics, General                    ",6,,18,,5,,,,10,,,,,,,,,
,493084 - English as a Second Language - Writing  ,112,12,127,,120,,90,,125,,129,,162,,127,19,,
,493086 - English as a Second Language - Listening,144,37,128,,119,,173,,125,,192,,185,,139,46,,
,493087 - English as a Second Language - Integrate,228,48,351,,400,,411,,529,,391,,510,,365,127,,
,493090 - Citizenship / ESL Civics                ,162,,112,,154,,147,,164,,169,,130,,132,,,
