,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Harbor Total,,528,13,453,336,892,84,917,414,874,93,748,413,846,101,707,357,766,80
,050200 - Accounting                              ,49,,20,31,44,,75,28,29,,49,26,68,,32,33,21,
,050900 - Marketing and Distribution              ,,,,,,,,,,,30,28,9,,58,,51,
,070710 - Computer Programming                    ,,,,,,,,,,,,,19,,17,,,
,100500 - Commercial Music                        ,9,,11,,11,,9,,9,,10,,14,,13,47,19,
,100700 - Dramatic Arts                           ,86,,73,,49,,42,,39,,37,,20,,34,,32,
,125000 - Emergency Medical Services              ,,,,,,,,16,,,,18,,11,,20,,16
,130630 - Culinary Arts                           ,58,,,20,81,,80,39,107,,106,41,83,,89,30,142,
,210400 - Human Services                          ,,,12,,10,,18,32,16,,16,23,18,,19,13,29,
,493009 - Supervised Tutoring                     ,11,,,,48,,,,9,,,,21,,,,5,1
,493014 - Study Skills                            ,,,14,28,47,9,65,36,37,,23,16,30,,30,15,22,
,493060 - Elementary Education (Grades 1-8)       ,,,5,1,62,,40,,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,42,,37,65,72,11,73,50,94,14,85,81,96,19,30,62,60,21
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,11,,,,9,,15,
,493086 - English as a Second Language - Listening,,,,,,,,,,,,,,,,,20,
,493087 - English as a Second Language - Integrate,273,13,281,191,468,64,515,213,534,79,381,180,468,71,376,137,350,42
