,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Lake Tahoe Total,,619,562,570,242,710,627,792,345,897,"1,065",943,434,"1,032","1,038",932,,"1,032","1,025"
,083510 - Physical Fitness and Body Movement      ,249,272,342,242,412,425,503,345,491,649,534,417,600,690,578,,592,631
,100230 - Ceramics                                ,,,,,,,,,,1,6,,2,7,9,,12,13
,100400 - Music                                   ,,7,9,,3,10,11,,5,16,12,,6,12,17,,16,16
,100700 - Dramatic Arts                           ,,,,,,,,,,8,,,,,,,,
,130560 - Parenting and Family Education          ,25,28,27,,25,27,28,,28,30,27,,33,28,30,,32,30
,130630 - Culinary Arts                           ,12,,11,,2,,11,,4,8,9,,16,,14,,5,
,"170100 - Mathematics, General                    ",,,,,,,,,,1,,,,1,,,,2
,210440 - Alcohol and Controlled Substances       ,,,,,,,,,1,1,2,,,,,,2,1
,213300 - Fire Technology                         ,,,,,,,,,,,,17,,,7,,,
,213350 - Fire Academy                            ,,,,,,,,,,,,,,,,,,4
,220610 - Geographic Information Systems          ,,1,17,,16,,26,,15,4,18,,,2,13,,7,
,493009 - Supervised Tutoring                     ,280,212,60,,178,126,131,,218,193,158,,228,179,124,,277,251
,"493031 - Living Skills, Handicapped              ",,,,,,,9,,13,21,19,,15,11,17,,14,16
,493084 - English as a Second Language - Writing  ,,,14,,,,5,,,,,,,,,,,
,493086 - English as a Second Language - Listening,12,11,38,,12,10,10,,,,,,,,,,,
,493087 - English as a Second Language - Integrate,36,31,52,,58,29,58,,116,133,148,,132,108,105,,75,61
,493090 - Citizenship / ESL Civics                ,5,,,,4,,,,6,,10,,,,18,,,
