,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Mission Total,,764,118,797,658,"1,286",191,"1,925","1,568","3,258",402,"3,624","1,698","4,333",445,"2,804","1,269","4,391",608
,043000 - Biotechnology and Biomedical Technology ,,,,11,,,,,,,,12,,,,,,
,050640 - Small Business and Entrepreneurship     ,,,,,2,,,,,,,,,,,,,
,051400 - Office Technology/Office Computer Applic,,,,15,,,,,42,,,,26,,,,,
,061400 - Digital Media                           ,,,,,,,,17,9,,,,,,,,,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,,,,,,,,,63,64,
,"120100 - Health Occupations, General             ",,,,,,,,,,,38,,21,24,24,28,60,20
,120510 - Phlebotomy                              ,,,,,,,,,27,,27,,21,,34,,35,
,121500 - Electrocardiography                     ,,,,,,,,,13,,20,,25,20,19,21,21,33
,123020 - Licensed Vocational Nursing             ,,,,,,,,,,,,,,,,,19,
,126100 - Community Health Care Worker            ,,,,,,,,,,,,,,,,,24,
,150100 - English                                 ,,,13,,,,,,,,,,,,,,,
,"170100 - Mathematics, General                    ",9,,28,160,15,,,41,28,,32,15,15,,17,,,
,170200 - Mathematics Skills                      ,25,,20,11,12,,4,8,22,,1,5,,,,,,
,210400 - Human Services                          ,,,,,3,,,31,68,,33,33,32,27,58,18,39,44
,493009 - Supervised Tutoring                     ,282,28,94,6,168,18,195,205,429,44,580,102,"1,055",48,,,837,
,493010 - Career Guidance and Orientation         ,,,,,,,,,14,,23,24,41,9,60,16,40,14
,493012 - Job Seeking/Changing Skills             ,,,6,,,,11,36,14,,10,,,,,,,
,493014 - Study Skills                            ,,,,276,,,17,550,28,20,73,677,25,,,126,,38
,493060 - Elementary Education (Grades 1-8)       ,15,,15,,,,,23,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,189,20,281,112,457,79,408,262,517,21,555,101,532,9,504,79,647,87
,493084 - English as a Second Language - Writing  ,18,,23,14,31,,70,10,102,,65,,68,,54,19,61,
,493085 - English as a Second Language - Reading  ,16,,24,,20,,61,17,84,,79,,69,,58,,54,
,493086 - English as a Second Language - Listening,16,,24,,28,,476,204,669,232,734,178,772,258,631,202,781,332
,493087 - English as a Second Language - Integrate,194,70,269,53,550,94,683,164,"1,192",85,"1,354",551,"1,631",50,"1,345",697,"1,709",40
