,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Laney Total,,544,,807,137,600,,701,94,707,,812,160,840,,672,191,705,
,043000 - Biotechnology and Biomedical Technology ,,,,,,,1,,,,,,,,,,,
,060420 - Television (including combined TV/Film/V,,,,,8,,3,,8,,12,,14,,4,,4,
,100400 - Music                                   ,2,,3,,1,,1,,2,,1,,3,,7,,7,
,103000 - Graphic Art and Design                  ,83,,80,,,,56,,97,,88,,88,,79,,111,
,150100 - English                                 ,142,,134,22,,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,28,,86,,,,4,,4,,64,14,57,,30,14,49,
,493012 - Job Seeking/Changing Skills             ,,,,,,,15,,,,,,,,,,,
,493014 - Study Skills                            ,4,,4,16,14,,10,,9,,13,12,118,,46,52,35,
,493086 - English as a Second Language - Listening,36,,81,25,95,,88,,91,,104,,101,,95,25,118,
,493087 - English as a Second Language - Integrate,231,,396,74,473,,491,94,456,,508,134,454,,407,100,381,
,493100 - Vocational ESL                          ,18,,23,,9,,32,,40,,22,,5,,4,,,
