,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Pierce Total,,"5,097","1,397","4,843","1,910","4,447","1,457","4,513","3,065","5,772","1,309","4,392","3,298","5,985","1,468","4,024","2,414","5,766","1,314"
,010910 - Landscape Design and Maintenance        ,,,,,,,,,,,,,23,,,,,
,050200 - Accounting                              ,,15,4,18,7,11,11,,11,13,10,,12,,14,,,
,050400 - Banking and Finance                     ,55,,63,,64,,62,,39,,33,,28,,25,,14,
,"070100 - Information Technology, General         ",69,29,80,40,104,16,47,36,72,37,43,23,71,23,53,27,75,19
,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,,,,,72,18
,083510 - Physical Fitness and Body Movement      ,"1,154",346,"1,190",479,"1,177",345,"1,077",460,"1,096",314,"1,129",399,"1,108",312,"1,070",395,"1,169",368
,083700 - Health Education                        ,201,,149,,179,,133,,155,,142,,145,,121,,131,
,089900 - Other Education                         ,,,,,,,80,,97,,,15,100,16,95,17,35,
,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,39,,,,
,"100100 - Fine Arts, General                      ",895,374,917,357,788,376,844,329,722,277,614,247,517,198,434,255,443,190
,100200 - Art                                     ,169,312,138,302,127,276,132,248,122,235,141,221,150,199,128,177,125,210
,100210 - Painting and Drawing                    ,700,,643,,600,,597,,529,,525,,396,,379,,389,
,100400 - Music                                   ,848,144,667,271,563,114,556,249,583,86,529,147,454,82,473,161,471,80
,100700 - Dramatic Arts                           ,,,,,,,,,23,,28,,52,,32,,17,
,120800 - Medical Assisting                       ,28,13,66,87,25,18,35,44,15,20,41,28,27,36,35,9,5,7
,120810 - Clinical Medical Assisting              ,,23,14,15,18,6,5,12,13,13,15,14,,,15,11,,
,121000 - Respiratory Care/Therapy                ,,,,,,,,7,,,,23,,,5,17,,
,126100 - Community Health Care Worker            ,,,,,6,41,,9,,,5,,,,,,,
,129900 - Other Health Occupations                ,,,,12,,,,,27,,,,,,,,10,
,130900 - Gerontology                             ,686,118,662,188,548,115,555,140,634,112,665,165,697,98,655,193,601,149
,150100 - English                                 ,135,,121,,95,,101,,54,,56,,65,,62,,82,
,300500 - Custodial Services                      ,,,,,,,,,13,,8,,,,,,,
,493009 - Supervised Tutoring                     ,,,,,,,,"1,174",990,,,"1,552","1,634",194,,503,"1,536",
,493012 - Job Seeking/Changing Skills             ,102,23,53,41,25,78,48,24,97,2,13,,43,,,,18,
,493014 - Study Skills                            ,,,,,,,,,,,,,,,,345,,
,493060 - Elementary Education (Grades 1-8)       ,34,,27,44,50,36,73,56,87,30,64,31,48,11,47,20,60,
,493062 - Secondary Education (Grades 9-12) and G.,21,,15,,71,,113,114,122,,3,,,,,,70,
,493086 - English as a Second Language - Listening,,,,,,,,,134,170,169,433,152,260,154,,184,273
,493087 - English as a Second Language - Integrate,,,34,56,,25,44,163,137,,159,,263,,227,284,241,
,493200 - General Work Experience                 ,,,,,,,,,,,,,,,,,18,
