,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Swest Total,,915,187,"1,009",410,"1,459",412,"1,807",652,"1,809",357,"2,088","1,109","2,464",289,"1,990",984,"1,468",246
,"070100 - Information Technology, General         ",,,,,,,,,,,,,,,,50,,23
,070200 - Computer Information Systems            ,,,,,,,,,,,19,,,,,,,
,070210 - Software Applications                   ,,,14,,,,29,,43,,52,,38,,42,,58,
,083570 - Aquatics and Lifesaving                 ,,26,13,,,,,,,,,,,,,,,
,095200 - Construction Crafts Technology          ,24,26,29,37,,55,21,20,23,,59,21,29,,62,25,27,
,095210 - Carpentry                               ,48,,32,,,14,,,,,,,,,,,,
,095280 - Drywall and Insulation                  ,,,,,,14,,,,,,,,,,,,
,095670 - Industrial and Occupational Safety and H,24,,80,38,190,12,263,214,315,75,312,205,326,,347,214,202,
,"120100 - Health Occupations, General             ",,,,,,,,,,,,30,,20,,35,,
,120800 - Medical Assisting                       ,,,,,,,,,,,,63,25,23,23,98,36,14
,126100 - Community Health Care Worker            ,,,,,,,,,,,,15,60,,,,,
,129900 - Other Health Occupations                ,51,,91,48,54,,23,22,,,44,,64,6,14,16,,
,210400 - Human Services                          ,,,,,,,46,21,24,,64,25,30,,62,27,27,
,493009 - Supervised Tutoring                     ,16,18,,,,,,,,,,,,,,,,
,493010 - Career Guidance and Orientation         ,24,24,50,38,69,13,68,50,70,16,77,94,127,,82,69,39,
,493012 - Job Seeking/Changing Skills             ,219,76,250,110,244,70,159,61,141,,258,109,507,,271,86,137,
,493013 - Academic Guidance                       ,,,,,,,,,,,,13,,,,42,,
,493062 - Secondary Education (Grades 9-12) and G.,91,17,33,17,55,8,63,20,106,,93,,81,,86,17,66,
,493086 - English as a Second Language - Listening,,,,,104,,,,,,,97,69,83,79,305,138,82
,493087 - English as a Second Language - Integrate,418,,417,69,743,112,"1,135",144,"1,059",120,"1,110",404,"1,020",85,922,,726,77
,493090 - Citizenship / ESL Civics                ,,,,,,15,,,,,,33,88,,,,8,
,493100 - Vocational ESL                          ,,,,53,,99,,100,28,146,,,,72,,,4,50
