,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Trade Total,,905,297,"1,268",950,"1,580",565,"1,681",888,"1,757",335,"1,357","1,148","1,844",341,"1,542","1,171","2,119",398
,050640 - Small Business and Entrepreneurship     ,,,5,,,,,,,,,,,,,,,
,083570 - Aquatics and Lifesaving                 ,,,,,,225,419,,,,107,12,,,,92,,
,094700 - Diesel Technology                       ,,,,,,,,18,34,,,,,,61,,56,30
,094740 - Railroad and Light Rail Operations      ,24,50,51,17,,45,56,14,,,,60,,,,,,
,094800 - Automotive Technology                   ,18,,8,14,12,,18,15,27,,26,55,20,,19,,15,
,095200 - Construction Crafts Technology          ,31,,11,,148,,21,20,111,,75,,24,,69,,25,
,095670 - Industrial and Occupational Safety and H,,,,,145,,44,10,55,,,40,,,42,,84,
,123000 - Nursing                                 ,,,,,,,,,,,,,,,,,73,
,130310 - Fashion Design                          ,,,13,,,,,10,,,49,21,78,,53,16,144,
,130320 - Fashion Merchandising                   ,,,,,,,,,,,,,,,1,,,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,,23,,,29,36,8,11,26,17,15,15,17,34,35
,130630 - Culinary Arts                           ,,,,,13,,,18,16,,11,,14,,22,17,40,16
,150100 - English                                 ,68,12,167,76,160,27,144,77,160,27,165,97,158,31,59,73,88,21
,"170100 - Mathematics, General                    ",20,24,149,44,92,37,103,53,88,32,104,75,128,14,121,66,128,22
,210400 - Human Services                          ,,,,,,,,,,,,,,9,,,,
,493009 - Supervised Tutoring                     ,414,33,139,234,246,55,213,41,314,50,,103,272,60,,110,249,48
,493010 - Career Guidance and Orientation         ,,,22,45,,,,9,,,,37,,,,9,,
,493011 - Interpersonal Skills                    ,,,50,,65,,,,33,,,,37,,62,,13,
,493012 - Job Seeking/Changing Skills             ,12,17,,,,,,14,,,,20,,,,,,
,493013 - Academic Guidance                       ,20,,42,68,28,,36,58,80,,34,76,,,,,,
,493014 - Study Skills                            ,153,20,133,70,168,59,174,64,195,53,168,100,212,65,144,39,97,66
,493062 - Secondary Education (Grades 9-12) and G.,87,49,182,195,102,32,33,110,119,,110,72,173,,136,72,241,18
,493072 - Leadership Skills Development           ,,7,,,,7,,,24,,13,31,69,7,45,348,65,
,493086 - English as a Second Language - Listening,,,7,,102,69,137,149,122,145,48,110,253,123,329,80,388,129
,493087 - English as a Second Language - Integrate,58,85,237,161,276,9,283,177,343,20,436,210,389,17,364,232,379,13
,493200 - General Work Experience                 ,,,52,26,,,,2,,,,3,,,,,,
