,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Valley Total,,"1,851",555,"1,938",947,"3,134","1,107","3,572","2,023","3,682","1,468","3,205","2,115","4,327","1,833","3,301","2,247","4,125","1,251"
,051200 - Insurance                               ,,,29,,,,18,,,,,,,,,,,
,051400 - Office Technology/Office Computer Applic,225,114,229,114,314,143,334,258,287,173,401,222,386,151,435,205,347,135
,060200 - Journalism                              ,,,,,,,,,,,,,,,,,17,
,060400 - Radio and Television                    ,,,,,,,,,,,,,13,,10,,6,
,060410 - Radio                                   ,,,,,,,,,,,,,44,,26,25,38,34
,060420 - Television (including combined TV/Film/V,,,,,,,,,,,,,15,,14,,38,
,061220 - Film Production                         ,,,,,,,,,,,62,,109,,,,98,
,061400 - Digital Media                           ,,,,,,,,,,,,,24,,,,41,
,069900 - Other Media and Communications          ,30,,7,,4,,12,,14,,6,,13,,,,,
,093420 - Industrial Electronics                  ,23,,13,,,,,,,,,,,,,,,
,100400 - Music                                   ,21,,10,,24,,79,,65,,57,,72,,21,,79,
,101200 - Applied Photography                     ,,,,,,,,,,,21,,31,,59,,63,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,,,27,
,126100 - Community Health Care Worker            ,,,,,103,,89,,43,,95,61,24,,139,22,23,
,130560 - Parenting and Family Education          ,7,,7,,1,,7,,,,5,,6,,6,,34,
,150100 - English                                 ,,,,,,,,,,19,,,,,,,,
,210400 - Human Services                          ,,,,,,,,,45,,,,,,3,,,
,493009 - Supervised Tutoring                     ,661,48,701,54,"1,000",188,765,141,774,100,,127,826,73,,124,655,
,493012 - Job Seeking/Changing Skills             ,74,,86,,200,,61,,30,,120,16,48,16,11,22,33,
,493060 - Elementary Education (Grades 1-8)       ,,,,4,,,,,,,,,,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,,,,,,,,,,4,,217,34,,,503,49,
,493084 - English as a Second Language - Writing  ,,,,,,,69,,57,,27,,51,59,58,,58,62
,493086 - English as a Second Language - Listening,,,,,,,,,67,,115,6,231,115,256,,353,84
,493087 - English as a Second Language - Integrate,810,393,856,775,"1,488",776,"2,138","1,624","2,300","1,172","2,296","1,466","2,400","1,419","2,263","1,346","2,166",936
