,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Los Medanos Total,,373,,406,99,484,,369,102,469,,483,152,501,,561,117,510,
,094800 - Automotive Technology                   ,,,,,,,,,,,,,,,47,,35,
,095000 - Aeronautical and Aviation Technology    ,19,,24,,34,,23,,37,,36,,8,,7,,15,
,095200 - Construction Crafts Technology          ,21,,4,,23,,23,,19,,27,,27,,32,,31,
,095670 - Industrial and Occupational Safety and H,35,,5,,,,,,27,,,,,,,,,
,170200 - Mathematics Skills                      ,8,,12,,9,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,154,,209,36,229,,151,32,171,,126,31,120,,123,25,153,
,493013 - Academic Guidance                       ,5,,7,11,32,,32,23,34,,29,26,36,,33,19,28,
,493084 - English as a Second Language - Writing  ,47,,40,,49,,36,11,42,,79,,65,,59,,57,
,493085 - English as a Second Language - Reading  ,28,,27,,40,,8,16,43,,18,,46,,66,,44,
,493086 - English as a Second Language - Listening,40,,55,52,28,,75,12,70,,102,,103,,156,,104,
,493087 - English as a Second Language - Integrate,16,,23,,40,,21,8,26,,66,95,96,,38,73,43,
