,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Merced Total,,"2,854",,"3,528","1,292","3,749",,"3,459",753,"3,124",,"2,795",596,"3,084",,"2,817",771,"2,309",
,051400 - Office Technology/Office Computer Applic,70,,73,48,65,,54,29,54,,68,52,85,,103,90,88,
,"070100 - Information Technology, General         ",36,,33,33,50,,43,11,20,,45,22,39,,22,35,50,
,083700 - Health Education                        ,48,,80,7,10,,14,9,10,,10,10,11,,15,13,15,
,089900 - Other Education                         ,34,,49,12,73,,36,7,39,,68,6,38,,61,14,79,
,094750 - Truck and Bus Driving                   ,,,33,6,28,,49,1,44,,71,5,47,,42,,34,
,100400 - Music                                   ,59,,95,,121,,110,,112,,114,,89,,115,,110,
,100700 - Dramatic Arts                           ,7,,9,,10,,19,,17,,12,,11,,31,,10,
,"120100 - Health Occupations, General             ",,,,,,,98,67,139,,155,66,172,,172,102,112,
,120800 - Medical Assisting                       ,60,,58,45,53,,49,45,58,,47,34,40,,45,45,54,
,130300 - Fashion                                 ,28,,28,22,36,,,,,,,,,,,,,
,152000 - Reading                                 ,21,,13,11,15,,13,7,16,,15,7,18,,18,8,16,
,170200 - Mathematics Skills                      ,16,,3,,29,,22,,43,,21,,,,44,,,
,214000 - Legal and Community Interpretation      ,,,,,,,,,4,,5,,,,4,,,
,219900 - Other Public and Protective Services    ,10,,20,,15,,20,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,,,,,,,,,,,"1,176",70,"1,631",,"1,030",109,"1,064",
,493012 - Job Seeking/Changing Skills             ,8,,,,20,,11,,17,,38,,23,,22,21,64,
,493014 - Study Skills                            ,"1,657",,"2,269",487,"2,490",,"2,082",231,"1,753",,103,,15,,53,,16,
,"493031 - Living Skills, Handicapped              ",382,,361,301,272,,238,174,225,,207,108,230,,212,112,191,
,493060 - Elementary Education (Grades 1-8)       ,45,,23,13,27,,27,7,23,,16,8,17,,30,8,20,
,493062 - Secondary Education (Grades 9-12) and G.,64,,70,57,71,,72,32,61,,79,18,83,,68,31,52,
,493087 - English as a Second Language - Integrate,289,,284,237,346,,475,133,448,,507,179,499,,699,177,300,
,493090 - Citizenship / ESL Civics                ,20,,27,13,18,,27,,41,,38,11,36,,31,6,34,
