,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Merritt Total,,705,,581,100,555,,913,102,685,,666,62,887,,576,53,366,
,010900 - Horticulture                            ,34,,,29,34,,38,28,29,,30,27,28,,28,35,,
,"070100 - Information Technology, General         ",194,,339,,38,,276,,93,,57,,307,,130,,355,
,120800 - Medical Assisting                       ,,,,,,,,,,,,,7,,,,,
,130590 - Infants and Toddlers                    ,25,,,,,,,,,,,,,,,,,
,493009 - Supervised Tutoring                     ,249,,86,54,292,,329,48,353,,285,35,222,,206,18,,
,493014 - Study Skills                            ,,,,,,,73,,52,,80,,119,,93,,,
,"493030 - Learning Skills, Handicapped            ",,,2,,15,,2,,6,,,,6,,10,,10,
,"493032 - Learning Skills, Learning Disabled      ",7,,11,,4,,5,,5,,4,,5,,4,,1,
,493087 - English as a Second Language - Integrate,172,,143,17,172,,190,26,147,,210,,193,,105,,,
,493100 - Vocational ESL                          ,24,,,,,,,,,,,,,,,,,
