,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Modesto Total,,"3,322",,"3,020","1,409","3,858",,"3,352",887,"4,044",,"3,086",953,"3,586",,"3,871",817,"2,463",
,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,36,,31,5,27,,25,,34,
,083580 - Adapted Physical Education              ,,,47,,37,,19,,80,,69,6,91,,94,,98,
,100400 - Music                                   ,11,,35,,57,,63,,63,,68,,61,,71,,47,
,122100 - Pharmacy Technology                     ,,,,,,,,,,,,,,,,,21,
,123010 - Registered Nursing                      ,,,112,,148,,146,,9,,,,228,,276,,166,
,170200 - Mathematics Skills                      ,525,,478,250,175,,175,131,59,,,,,,,,,
,493009 - Supervised Tutoring                     ,748,,657,182,913,,822,214,797,,949,193,"1,049",,"1,091",212,864,
,493014 - Study Skills                            ,"1,370",,992,586,"1,565",,"1,167",118,"1,892",,836,251,"1,079",,962,,,
,"493030 - Learning Skills, Handicapped            ",39,,,8,27,,18,,46,,25,,48,,33,,46,
,493084 - English as a Second Language - Writing  ,66,,134,37,61,,61,53,86,,32,,24,,16,16,36,
,493085 - English as a Second Language - Reading  ,14,,30,,9,,,,,,,,,,,,,
,493086 - English as a Second Language - Listening,,,,,,,,,19,,32,,55,,55,,56,
,493087 - English as a Second Language - Integrate,522,,493,346,840,,859,371,957,,"1,044",484,924,,"1,248",589,"1,043",
,493090 - Citizenship / ESL Civics                ,27,,42,,26,,22,,,,,14,,,,,,
,493100 - Vocational ESL                          ,,,,,,,,,,,,,,,,,52,
