,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Moorpark Total,,374,,452,110,398,,317,37,243,,223,24,196,,181,294,173,
,100600 - Technical Theater                       ,2,,10,5,2,,3,,3,,6,,2,,3,1,3,
,103000 - Graphic Art and Design                  ,,,117,90,80,,57,11,50,,28,,57,,73,33,64,
,150100 - English                                 ,145,,166,12,132,,121,26,82,,78,24,43,,72,20,64,
,"170100 - Mathematics, General                    ",20,,18,,14,,19,,,,,,,,,,,
,170200 - Mathematics Skills                      ,180,,117,,128,,78,,27,,29,,,,,,,
,493009 - Supervised Tutoring                     ,,,,3,,,,,,,,,,,,240,,
,493013 - Academic Guidance                       ,9,,8,,13,,7,,17,,13,,23,,,,28,
,493086 - English as a Second Language - Listening,,,,,,,,,,,9,,,,,,,
,493087 - English as a Second Language - Integrate,18,,16,,29,,32,,64,,60,,71,,33,,14,
