,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Moreno Valley Total,,45,4,73,8,111,25,227,83,147,,214,67,175,18,203,75,112,23
,"050100 - Business and Commerce, General          ",9,,,,,,,,,,,,,,,,,
,050210 - Tax Studies                             ,,,,,,25,,,,,,,,18,,,,23
,050630 - Management Development and Supervision  ,,,52,,,,189,,,,110,,,,32,,,
,059900 - Other Business and Management           ,25,,6,,77,,9,,48,,5,,42,,,,19,
,070700 - Computer Software Development           ,,,,2,,,,,,,,,,,,12,,
,070710 - Computer Programming                    ,,,,6,,,,,,,,,,,,21,,
,070800 - Computer Infrastructure and Support     ,,,,,,,,17,,,,11,,,,,,
,070810 - Computer Networking                     ,,,,,,,,17,,,,10,,,,,,
,070820 - Computer Support                        ,,,,,,,,18,,,,12,,,,,,
,100400 - Music                                   ,,,,,,,,,,,,,,,5,,9,
,124010 - Dental Assistant                        ,,,,,,,,,,,,34,14,,46,42,,
,130580 - Child Development Administration and Man,,,2,,,,,31,,,21,,,,17,,,
,219900 - Other Public and Protective Services    ,,,,,,,,,46,,41,,66,,52,,23,
,493087 - English as a Second Language - Integrate,11,,13,,34,,29,,53,,37,,53,,51,,61,
,493100 - Vocational ESL                          ,,4,,,,,,,,,,,,,,,,
