,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mt San Antonio Total,,"22,963","11,807","24,786","39,488","32,403","15,707","31,954","41,977","35,347","16,439","31,240","46,913","36,627","19,868","38,877","56,688","43,094","22,634"
,"010100 - Agriculture Technology and Sciences, Gen",260,272,437,351,411,398,381,377,434,401,501,438,109,92,111,71,23,
,010300 - Plant Science                           ,,,1,,2,,1,,1,,1,,3,,,,,
,010900 - Horticulture                            ,,,,,,,,,,,1,,358,241,238,184,270,198
,010910 - Landscape Design and Maintenance        ,,,1,,2,,2,,1,,5,,7,,1,,2,
,010920 - Floriculture / Floristry                ,43,,53,,65,,84,,73,,82,,69,,,,72,
,010930 - Nursery Technology                      ,,,,,,,,,,,1,,,,,,,
,010940 - Turfgrass Technology                    ,,,,,,,,,,,1,,,,,,,
,011500 - Natural Resources                       ,,,,,,,,,,,,,66,66,47,,40,19
,011600 - Agricultural Power Equipment Technology ,,,,,,,,,2,,1,,,,1,,1,
,020100 - Architecture and Architectural Technolog,1,,,,3,,3,,1,,6,,2,,2,1,4,2
,050200 - Accounting                              ,40,,1,1,80,49,59,119,100,50,110,62,182,39,146,110,225,93
,050400 - Banking and Finance                     ,1,,,,,,,,,,,,,,,,,
,050600 - Business Management                     ,3,,5,2,8,1,8,3,6,3,5,1,10,2,6,2,5,1
,050640 - Small Business and Entrepreneurship     ,23,,26,16,20,9,23,30,58,22,40,64,50,15,31,32,61,
,050650 - Retail Store Operations and Management  ,,,,2,,,,,,,,,,,1,,1,
,050800 - International Business and Trade        ,1,,1,1,1,,1,2,1,,2,,,,1,1,1,
,050900 - Marketing and Distribution              ,1,,2,,,,1,,6,1,2,41,28,3,4,1,4,
,050910 - Advertising                             ,,,,,,,,,,,,,,,1,,1,
,051000 - Logistics and Materials Transportation  ,,,,,,,,26,,,1,36,,,,,,
,051100 - Real Estate                             ,,,,,,,,,,,,,75,,67,80,81,
,051400 - Office Technology/Office Computer Applic,"1,105",682,"1,054",531,"1,078",593,"1,198",688,"1,099",695,"1,004",688,"1,136",742,"1,369",671,"1,222",677
,051600 - Labor and Industrial Relations          ,,2,4,1,2,1,,,,,4,1,3,1,3,1,3,
,"070100 - Information Technology, General         ",135,182,196,127,183,194,122,104,230,49,144,95,91,63,36,58,92,50
,070200 - Computer Information Systems            ,,,,,,,,,,,,,130,40,69,26,55,1
,070210 - Software Applications                   ,,,,,,,,,2,,,,,,,,,1
,080200 - Educational Aide (Teacher Assistant)    ,29,,39,,31,,,,33,,,,,,,,,
,083700 - Health Education                        ,"3,888","3,275","4,315","4,832","5,781","5,062","5,551","5,032","5,771","4,794","5,591","5,437","7,761","5,801","7,498","6,012","8,391","6,519"
,089900 - Other Education                         ,,,,,,,,,,,,,,,,46,,
,093400 - Electronics and Electric Technology     ,42,,59,,69,2,106,,95,8,63,,106,4,82,1,91,16
