,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Norco Total,,299,,287,120,552,,332,178,412,120,944,86,234,35,179,10,204,114
,"050100 - Business and Commerce, General          ",17,,,,107,,,,,,,,,,,,,
,050200 - Accounting                              ,10,,50,,,,182,,131,65,188,,53,23,38,,50,36
,050210 - Tax Studies                             ,,,,,,,,,,,,,,,,,,14
,050630 - Management Development and Supervision  ,17,,25,11,70,,67,20,54,29,43,,53,9,21,,,
,050640 - Small Business and Entrepreneurship     ,,,,91,,,8,127,,,,70,27,,29,,33,
,050940 - Sales and Salesmanship                  ,3,,,,,,,,,,,,,,,,,
,059900 - Other Business and Management           ,8,,7,5,37,,10,9,113,9,26,,39,,12,,22,52
,093400 - Electronics and Electric Technology     ,,,,,,,,,,,1,,1,,,6,4,3
,093420 - Industrial Electronics                  ,,,,,,,4,,,7,3,,,,,,,
,093430 - Telecommunications Technology           ,,,,,,,,,,,,,,,,,23,
,095300 - Drafting Technology                     ,,,,,,,9,22,34,10,15,16,16,3,15,4,17,9
,095310 - Architectural Drafting                  ,,,,,,,,,10,,,,,,3,,6,
,095600 - Manufacturing and Industrial Technology ,,,,,,,,,10,,6,,1,,,,,
,099900 - Other Engineering and Related Industrial,,,,,,,,,,,2,,,,2,,,
,150100 - English                                 ,,,,,5,,6,,3,,4,,3,,1,,,
,219900 - Other Public and Protective Services    ,,,,,5,,10,,8,,,,,,13,,4,
,493009 - Supervised Tutoring                     ,227,,172,13,278,,,,,,610,,,,,,,
,493087 - English as a Second Language - Integrate,17,,33,,50,,36,,49,,46,,41,,45,,45,
