,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Ohlone Total,,573,,210,5,482,,526,254,"1,598",,115,66,"2,001",,"1,060",105,"1,628",
,030300 - Environmental Technology                ,,,,,,,,,,,,,,,,,15,
,050400 - Banking and Finance                     ,,,,,,,,,21,,,,20,,,,,
,050630 - Management Development and Supervision  ,,,8,,10,,14,,,,,,,,,,,
,050640 - Small Business and Entrepreneurship     ,,,13,,13,,12,,,,,,,,,,,
,050900 - Marketing and Distribution              ,,,,,,,35,7,7,,,,,,,,,
,051100 - Real Estate                             ,18,,,,,,,,,,,,,,,,,
,051400 - Office Technology/Office Computer Applic,,,,,,,28,,,,,,,,,,,
,051800 - Customer Service                        ,15,,5,,,,,,,,,,,,,,,
,061400 - Digital Media                           ,17,,,,4,,25,,8,,30,2,8,,28,9,15,
,061410 - Multimedia                              ,69,,17,5,24,,70,17,56,,36,20,97,,47,27,97,
,061430 - Website Design and Development          ,4,,5,,9,,,,5,,4,,8,,4,,7,
,061440 - Animation                               ,13,,,,5,,10,1,2,,11,3,14,,13,9,22,
,095300 - Drafting Technology                     ,9,,,,11,,,,,,,,,,,,,
,095600 - Manufacturing and Industrial Technology ,,,,,,,,,59,,,,,,95,60,200,
,103000 - Graphic Art and Design                  ,34,,,,,,,,,,,,,,,,,
,150100 - English                                 ,27,,,,,,,,32,,,,31,,,,22,
,"170100 - Mathematics, General                    ",,,,,,,,,,,,,,,32,,70,
,170200 - Mathematics Skills                      ,64,,26,,115,,40,26,211,,13,18,369,,187,,367,
,493009 - Supervised Tutoring                     ,18,,,,31,,13,,553,,,,630,,,,,
,493010 - Career Guidance and Orientation         ,11,,,,10,,,,9,,,,20,,,,,
,493012 - Job Seeking/Changing Skills             ,,,20,,,,24,,,,21,,,,15,,,
,493014 - Study Skills                            ,27,,,,23,,,26,32,,,23,31,,10,,67,
,493086 - English as a Second Language - Listening,75,,31,,72,,82,76,227,,,,325,,329,,403,
,493087 - English as a Second Language - Integrate,172,,85,,155,,173,101,376,,,,448,,300,,343,
