,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Orange Coast Total,,"1,351",,"1,640",369,"1,456",,"1,318",516,"1,569",,"2,077",873,"2,961",,"2,720",838,"3,215",
,020100 - Architecture and Architectural Technolog,10,,41,,22,,48,19,21,,29,16,77,,57,12,52,
,051400 - Office Technology/Office Computer Applic,14,,17,21,54,,65,14,47,,61,25,79,,73,41,96,
,080200 - Educational Aide (Teacher Assistant)    ,26,,7,,42,,,,32,,,,58,,21,,38,
,083570 - Aquatics and Lifesaving                 ,,,,18,,,,16,,,,,,,,14,,
,095200 - Construction Crafts Technology          ,,,,,,,,,,,,,,,,4,6,
,095210 - Carpentry                               ,,,,,,,,,,,,,,,,,1,
,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,,,,,,,,,,,,,,,2,
,095280 - Drywall and Insulation                  ,,,,,,,,,,,,,,,,4,,
,100400 - Music                                   ,35,,38,,44,,54,,56,,57,,62,,70,,82,
,122100 - Pharmacy Technology                     ,,,,,,,,,,,,,,,,,296,
,126100 - Community Health Care Worker            ,,,,,,,,,26,,37,59,11,,66,21,,
,129900 - Other Health Occupations                ,43,,36,,,,,,38,,43,32,58,,51,56,46,
,130110 - Consumer Services                       ,,,,,,,,,44,,45,36,27,,29,29,24,
,130200 - Interior Design and Merchandising       ,,,,,,,,,,,,,,,15,,,
,130560 - Parenting and Family Education          ,,,,,,,,,,,,,,,2,,,
,130700 - Hospitality                             ,,,,,,,,,,,8,,10,,10,,14,
,150100 - English                                 ,64,,40,30,16,,20,16,34,,18,25,10,,8,,,
,170200 - Mathematics Skills                      ,14,,5,,7,,5,,,,37,,486,,475,102,570,
,192000 - Ocean Technology                        ,,,,,,,,,,,,,,,,,3,
,493009 - Supervised Tutoring                     ,126,,272,,456,,264,130,217,,605,115,888,,612,87,959,
,"493032 - Learning Skills, Learning Disabled      ",,,,,,,,,,,,,86,,78,,94,
,493062 - Secondary Education (Grades 9-12) and G.,653,,806,78,270,,246,,177,,106,18,119,,103,,76,
,493084 - English as a Second Language - Writing  ,27,,18,38,21,,50,31,73,,66,38,44,,56,24,50,
,493085 - English as a Second Language - Reading  ,13,,9,,12,,8,,12,,10,,13,,37,11,11,
,493086 - English as a Second Language - Listening,91,,95,79,172,,217,164,248,,350,275,329,,356,306,346,
,493087 - English as a Second Language - Integrate,235,,256,105,340,,341,126,544,,605,234,604,,601,127,449,
