,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Oxnard Total,,248,,179,62,321,,320,136,455,,454,156,511,,570,136,628,
,"050100 - Business and Commerce, General          ",,,,,,,,,,,,,4,,24,,60,
,050640 - Small Business and Entrepreneurship     ,,,25,7,,,32,12,22,,36,17,24,,28,12,12,
,051400 - Office Technology/Office Computer Applic,19,,,,26,,,,10,,11,,19,,26,,15,
,070210 - Software Applications                   ,12,,,,,,,,,,27,,4,,17,,13,
,"130100 - Family and Consumer Sciences, General   ",103,,83,25,76,,66,43,102,,57,12,24,,93,13,140,
,213350 - Fire Academy                            ,,,,,,,,11,,,,19,,,,22,,
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,,,,,9,
,493085 - English as a Second Language - Reading  ,15,,,,16,,,22,34,,36,33,41,,57,26,30,
,493086 - English as a Second Language - Listening,,,,,26,,27,,48,,38,,65,,36,,66,
,493087 - English as a Second Language - Integrate,71,,53,30,70,,133,35,152,,132,59,168,,134,44,169,
,493090 - Citizenship / ESL Civics                ,28,,18,,107,,62,13,87,,117,16,162,,155,19,114,
