,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Porterville Total,,99,,65,23,114,,91,49,175,,141,59,332,,214,352,299,
,050200 - Accounting                              ,,,,,,,,,,,10,,,,12,,,
,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,125,,41,73,27,
,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,,,13,6,
,100400 - Music                                   ,,,,,,,,,6,,12,,9,,11,,10,
,129900 - Other Health Occupations                ,,,,,,,,,,,,,,,,4,8,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,,,,10,
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,2,,,,,,,
,493014 - Study Skills                            ,,,,,,,,,,,,,38,,30,212,91,
,493084 - English as a Second Language - Writing  ,35,,30,11,45,,17,,37,,51,,66,,59,,101,
,493086 - English as a Second Language - Listening,18,,12,,32,,37,,81,,15,,72,,61,,33,
,493087 - English as a Second Language - Integrate,46,,23,12,37,,30,49,51,,51,59,22,,,50,13,
,493100 - Vocational ESL                          ,,,,,,,7,,,,,,,,,,,
