,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Reedley College Total,,907,,207,95,"1,457",,"1,277",100,"1,658",,"1,530",146,"1,790",,"1,697",327,"1,964",
,"010100 - Agriculture Technology and Sciences, Gen",,,4,,9,,7,,,,24,,,,,,,
,010240 - Equine Science                          ,3,,,,2,,,,,,,,1,,3,,1,
,010300 - Plant Science                           ,,,,,8,,,,18,,,,,,,,,
,010900 - Horticulture                            ,13,,15,16,15,,16,16,24,,18,28,19,,17,20,13,
,010920 - Floriculture / Floristry                ,,,,,,,,,,,,,,,4,,,
,011400 - Forestry                                ,,,,,,,,7,1,,3,6,,,7,6,,
,011500 - Natural Resources                       ,,,,4,,,,,2,,5,,1,,8,,4,
,011600 - Agricultural Power Equipment Technology ,9,,,,,,,,,,,,,,,,,
,019900 - Other Agriculture and Natural Resources ,,,,,,,,,,,,,126,,113,43,146,
,050200 - Accounting                              ,,,,,,,3,,4,,3,,8,,9,,5,
,050210 - Tax Studies                             ,,,,,3,,,,,,,,,,,,,
,050500 - Business Administration                 ,,,,,1,,6,,8,,3,,8,,7,6,6,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,,,1,,,
,050900 - Marketing and Distribution              ,,,,,,,,,,,,,2,,,1,1,
,051400 - Office Technology/Office Computer Applic,,,,,84,,97,,83,,45,,33,,43,3,35,
,051420 - Medical Office Technology               ,,,,,1,,5,,3,,1,,,,1,1,1,
,"070100 - Information Technology, General         ",,,,,,,11,1,13,,1,4,5,,4,7,8,
,070700 - Computer Software Development           ,,,,,1,,4,,8,,5,,6,,6,,3,
,070800 - Computer Infrastructure and Support     ,,,,,,,,,,,,,,,5,,,
,070810 - Computer Networking                     ,,,,,,,,,,,,,1,,2,,1,
,079900 - Other Information Technology            ,,,,,,,,,,,,,,,,,4,
,083500 - Physical Education                      ,,,,,12,,7,,11,,,,20,,43,17,61,
,083510 - Physical Fitness and Body Movement      ,12,,10,,11,,14,,10,,23,,25,,12,,10,
,089900 - Other Education                         ,,,,,,,,48,10,,39,68,37,,32,149,20,
,094800 - Automotive Technology                   ,,,1,,1,,,,2,,,1,2,,4,3,,
,095000 - Aeronautical and Aviation Technology    ,,,,,,,,,,,,,,,,10,,
,095650 - Welding Technology                      ,,,33,39,43,,66,,67,,64,,82,,74,,81,
,095730 - Surveying                               ,,,,,,,,,13,,49,,24,,30,1,25,
,100210 - Painting and Drawing                    ,,,,,,,,,,,,,2,,8,,7,
,100220 - Sculpture                               ,,,,,,,,,,,,,,,,,4,
,100230 - Ceramics                                ,,,,,,,,,5,,4,,3,,4,,5,
,100400 - Music                                   ,38,,44,,48,,54,,59,,57,,55,,55,,73,
,110500 - Spanish                                 ,,,,,,,,,,,,,,,1,,1,
,"130100 - Family and Consumer Sciences, General   ",,,,,,,,,3,,3,,,,8,,7,
,130500 - Child Development/Early Care and Educati,,,,,,,3,,1,,,,,,4,,,
,130520 - Children with Special Needs             ,,,,,,,1,,1,,1,1,2,,8,3,3,
,130560 - Parenting and Family Education          ,,,,,,,3,,2,,1,,3,,3,,3,
,150300 - Comparative Literature                  ,,,,,,,,,,,,,,,2,,,
,150700 - Creative Writing                        ,,,,,,,4,,3,,6,,5,,7,,,
,213300 - Fire Technology                         ,,,,5,,,24,,,,39,,,,15,28,35,
,213310 - Wildland Fire Technology                ,,,,,,,,,,,,,,,8,,,
,214000 - Legal and Community Interpretation      ,,,,,,,,,,,,,1,,2,,,
,493009 - Supervised Tutoring                     ,832,,,,"1,033",,790,,"1,103",,977,,"1,046",,908,,"1,132",
,493010 - Career Guidance and Orientation         ,,,,,6,,7,,11,,14,,10,,14,,20,
,493011 - Interpersonal Skills                    ,,,,,,,5,,,,,,,,5,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,,,12,,1,6,28,
,493014 - Study Skills                            ,,,,,,,3,,24,,8,4,32,,10,,3,
,493072 - Leadership Skills Development           ,,,,,,,11,,,,,,,,10,,,
,493086 - English as a Second Language - Listening,,,56,16,93,,59,18,82,,80,20,128,,81,13,121,
,493087 - English as a Second Language - Integrate,,,44,15,86,,77,10,87,,57,14,91,,118,10,97,
