,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Rio Hondo Total,,"1,355",,"1,382","1,786","1,944",577,"2,132","7,505","2,529",58,"1,858","8,375","2,894",117,"1,783","13,978","2,688",
,051100 - Real Estate                             ,158,,239,102,181,,245,113,191,,209,97,186,,139,65,259,
,051400 - Office Technology/Office Computer Applic,60,,91,22,34,,112,71,103,,93,96,126,,120,132,127,
,061000 - Mass Communications                     ,,,,,9,,9,,12,,14,1,13,,11,7,10,
,083510 - Physical Fitness and Body Movement      ,234,,220,242,367,,407,409,514,,484,349,419,,410,406,461,
,089900 - Other Education                         ,,,,,,,,,,,,,,,,,50,
,095300 - Drafting Technology                     ,63,,48,3,65,,100,5,47,,,14,123,,61,11,56,
,095310 - Architectural Drafting                  ,1,,1,,1,,,,,,6,,,,,,2,
,095340 - Mechanical Drafting                     ,3,,,1,,,7,2,6,,4,,6,,5,,,
,095650 - Welding Technology                      ,3,,13,17,12,,10,14,3,,17,23,1,,2,16,4,
,100200 - Art                                     ,,,,,131,,162,167,184,,237,178,220,,243,213,281,
,100210 - Painting and Drawing                    ,133,,130,108,,,,,,,,,,,,,,
,100400 - Music                                   ,23,,31,,42,,25,,48,,39,,52,,42,,48,
,100600 - Technical Theater                       ,,,,,2,,,,,,,2,,,,,,
,103000 - Graphic Art and Design                  ,42,,31,13,17,,31,28,38,,70,45,65,,33,,,
,"120100 - Health Occupations, General             ",7,,22,16,15,,40,,40,,34,33,76,,52,26,49,
,120820 - Administrative Medical Assisting        ,15,,18,32,29,,53,52,82,,84,54,90,,86,46,97,
,123000 - Nursing                                 ,95,,80,10,59,,131,42,153,,,,141,,51,,66,
,210400 - Human Services                          ,,,,,,,30,,,,,11,15,,21,,11,
,210500 - Administration of Justice               ,121,,,,451,64,161,87,470,,196,21,363,101,174,58,155,
,213300 - Fire Technology                         ,35,,149,32,245,513,367,10,423,48,157,15,326,8,75,127,261,
,493009 - Supervised Tutoring                     ,57,,70,,58,,,291,,,,461,1,,,727,,
,493010 - Career Guidance and Orientation         ,46,,48,18,46,,88,16,30,,33,42,28,,50,14,64,
,493014 - Study Skills                            ,,,,,,,,943,,10,,"1,201",428,8,28,"1,508",432,
,493062 - Secondary Education (Grades 9-12) and G.,,,,"1,052",,,,"5,173",,,,"5,660",,,,"10,529",,
,493086 - English as a Second Language - Listening,,,,,,,,,,,,,,,32,29,53,
,493087 - English as a Second Language - Integrate,243,,185,111,180,,154,82,185,,181,72,215,,148,64,202,
,493090 - Citizenship / ESL Civics                ,16,,6,7,,,,,,,,,,,,,,
