,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Saddleback Total,,"13,133",,"13,532","7,172","12,897",,"15,509","9,104","15,994",,"17,167","10,040","17,445",,"18,405","11,402","15,030",
,"040100 - Biology, General                        ",262,,246,156,232,,313,147,297,,256,74,299,,231,103,275,
,"050100 - Business and Commerce, General          ",,,,,,,,,,,,,6,,16,,,
,050200 - Accounting                              ,468,,453,338,390,,535,306,546,,574,330,558,,618,312,629,
,050400 - Banking and Finance                     ,,,,,,,,,,,,,13,,10,,15,
,050600 - Business Management                     ,90,,152,,115,,20,,18,,27,,13,,34,,,
,050630 - Management Development and Supervision  ,,,22,,,,,,,,,,1,,3,,,
,070200 - Computer Information Systems            ,195,,172,69,169,,170,148,193,,207,159,187,,238,240,181,
,070210 - Software Applications                   ,4,,,,11,,,,9,,,,13,,14,,,
,070810 - Computer Networking                     ,2,,,,,,,,8,,,,10,,,,,
,083580 - Adapted Physical Education              ,4,,4,,2,,2,,,,12,,1,,3,,,
,083700 - Health Education                        ,"4,251",,"3,988","2,922","4,096",,"4,377","3,688","4,472",,"4,901","3,881","4,691",,"5,050","4,422","3,279",
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,,,,,,,49,
,"100100 - Fine Arts, General                      ",399,,365,118,273,,147,75,164,,158,151,171,,112,152,128,
,100200 - Art                                     ,127,,74,75,94,,199,158,165,,176,133,176,,200,155,195,
,100210 - Painting and Drawing                    ,"1,427",,"1,401",816,"1,356",,"1,387","1,004","1,317",,"1,425","1,006","1,505",,"1,663","1,047","1,346",
,100220 - Sculpture                               ,15,,,,,,26,,,,,,,,19,,20,
,100230 - Ceramics                                ,97,,232,135,226,,201,130,231,,214,161,201,,139,214,232,
,100400 - Music                                   ,490,,381,194,353,,449,284,485,,516,281,536,,527,317,591,
,100700 - Dramatic Arts                           ,21,,46,,32,,41,,73,,72,55,70,,66,56,98,
,100900 - Applied Design                          ,173,,197,92,180,,202,151,190,,197,196,173,,168,201,160,
,101100 - Photography                             ,233,,227,138,251,,278,204,297,,299,235,305,,304,229,252,
,110200 - French                                  ,,,,,,,,,,,,,,,121,102,129,
,110400 - Italian                                 ,,,,,,,,,,,,,,,91,79,140,
,110500 - Spanish                                 ,431,,462,230,422,,438,211,398,,444,233,456,,391,306,382,
,"120100 - Health Occupations, General             ",48,,37,38,,,62,52,22,,90,30,,,13,75,12,
,120510 - Phlebotomy                              ,86,,90,,82,,97,37,105,,150,82,171,,213,118,70,
,123010 - Registered Nursing                      ,75,,39,52,25,,194,49,48,,15,,95,,71,,80,
,123030 - Certified Nurse Assistant               ,6,,14,14,70,,49,60,52,,68,86,136,,193,167,192,
,125000 - Emergency Medical Services              ,,,,,,,,,,,,,,,,24,24,
,125100 - Paramedic                               ,,,,,,,,,5,,,,11,,,,,
,126100 - Community Health Care Worker            ,,,,,,,,,,,,,,,37,,18,
,130300 - Fashion                                 ,244,,230,112,260,,256,231,278,,251,131,288,,313,207,263,
,130500 - Child Development/Early Care and Educati,,,17,,26,,18,,10,,,,,,,,,
,130630 - Culinary Arts                           ,3,,,,,,4,,,,2,,,,,,,
,130900 - Gerontology                             ,112,,141,,151,,182,,74,,128,,105,,91,18,72,
,150300 - Comparative Literature                  ,538,,522,422,452,,423,258,448,,415,270,379,,430,231,396,
,150400 - Classics                                ,,,231,,,,217,,,,211,,,,253,,,
,150700 - Creative Writing                        ,116,,88,76,118,,131,53,133,,124,93,121,,166,78,168,
,150900 - Philosophy                              ,94,,53,,58,,37,,37,,36,40,26,,44,45,42,
,151000 - Religious Studies                       ,124,,84,,82,,147,,125,,122,89,123,,112,70,56,
,152000 - Reading                                 ,204,,97,25,104,,91,24,,,,,30,,18,6,33,
,170200 - Mathematics Skills                      ,,,,,,,,,,,,,,,86,,139,
,220500 - History                                 ,36,,83,31,121,,115,123,130,,125,149,162,,178,137,159,
,220700 - Political Science                       ,207,,224,89,206,,246,81,231,,206,78,178,,177,134,165,
,300700 - Cosmetology and Barbering               ,,,,,,,,,419,,652,429,722,,785,497,795,
,493009 - Supervised Tutoring                     ,396,,952,109,543,,"1,434",224,"1,763",,"1,402",181,"1,884",,"1,515",186,"1,556",
,493012 - Job Seeking/Changing Skills             ,181,,187,34,203,,257,,286,,257,,266,,362,30,325,
,"493030 - Learning Skills, Handicapped            ",,,,,,,,,28,,,,25,,9,,,
,493062 - Secondary Education (Grades 9-12) and G.,504,,522,222,565,,651,345,619,,597,257,565,,499,206,513,
,493084 - English as a Second Language - Writing  ,102,,86,29,90,,80,22,126,,132,26,164,,116,78,3,
,493085 - English as a Second Language - Reading  ,27,,52,39,25,,46,44,34,,80,45,39,,76,34,1,
,493086 - English as a Second Language - Listening,210,,260,106,232,,415,196,398,,461,199,377,,412,153,280,
,493087 - English as a Second Language - Integrate,"1,039",,"1,020",450,"1,220",,"1,492",752,"1,712",,"2,114",919,"2,137",,"2,143",924,"1,541",
,493090 - Citizenship / ESL Civics                ,92,,81,41,62,,80,47,48,,51,41,56,,75,49,26,
