,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Ana Total,,"15,762","9,851","15,315","10,381","16,763","17,481","24,575","13,036","20,792","22,166","28,597","13,941","23,099","25,141","33,718","7,790","13,792","14,663"
,043000 - Biotechnology and Biomedical Technology ,14,,2,,2,,7,,10,,,,,,1,,,
,050200 - Accounting                              ,41,63,176,84,104,69,202,121,138,137,237,100,184,134,284,16,9,14
,050640 - Small Business and Entrepreneurship     ,102,47,70,19,68,71,105,47,88,129,175,63,124,122,209,,24,36
,050800 - International Business and Trade        ,,,,,,,,,,,,,,,,7,,
,051400 - Office Technology/Office Computer Applic,380,396,838,483,807,848,"1,042",623,763,749,"1,022",587,"1,241","1,514","1,747",353,776,962
,051800 - Customer Service                        ,38,23,62,15,21,24,99,45,147,138,141,32,49,80,149,,,10
,059900 - Other Business and Management           ,,,,,,,,,,,,,,,,,80,118
,060420 - Television (including combined TV/Film/V,,,,,,,,,,,,,,,,,2,
,061400 - Digital Media                           ,,,,,,,,,,,,,7,5,2,,,
,061410 - Multimedia                              ,48,17,72,23,62,75,108,57,83,79,65,19,101,180,164,10,34,41
,061430 - Website Design and Development          ,5,5,6,4,7,10,4,5,6,,,2,2,,,,,
,061450 - Desktop Publishing                      ,32,39,71,31,49,104,121,38,66,58,60,32,38,45,125,4,5,6
,061460 - Computer Graphics and Digital Imagery   ,95,68,94,60,77,147,196,95,86,109,137,97,87,125,132,41,33,25
,"070100 - Information Technology, General         ",133,97,257,123,323,280,427,215,544,481,536,,22,64,52,,36,14
,070210 - Software Applications                   ,322,273,376,206,382,491,559,231,412,345,570,305,482,538,562,97,124,191
,070820 - Computer Support                        ,,47,77,38,36,49,52,30,37,66,119,78,87,182,193,32,37,37
,083510 - Physical Fitness and Body Movement      ,691,435,474,,,,,,,,,,,,,,,
,083700 - Health Education                        ,,,421,486,872,957,"1,455","1,047","1,448","1,453","1,694","1,498","1,560","1,483","1,668",899,"1,347","1,324"
,089900 - Other Education                         ,,,,,,,,,,,,,,,6,8,,
,093400 - Electronics and Electric Technology     ,38,36,44,11,31,50,47,20,22,44,30,,,,,,,
,093410 - Computer Electronics                    ,20,,,,,,,,,,,,,,,,,
,094600 - Environmental Control Technology        ,,,,,,,,,,,21,,29,48,60,34,35,66
,094700 - Diesel Technology                       ,,,,,,,3,,,,5,,44,,1,1,,
,094750 - Truck and Bus Driving                   ,,,,,,,,,,,20,,24,24,44,,,17
,094800 - Automotive Technology                   ,26,,26,13,23,30,47,17,46,61,44,16,48,66,27,28,45,79
,095200 - Construction Crafts Technology          ,76,,26,,60,17,47,32,74,56,68,,31,15,26,46,126,104
,095630 - Machining and Machine Tools             ,,,,,,,3,,,,,,,,2,,2,
,095650 - Welding Technology                      ,,,1,,1,,6,1,,,6,,3,,2,,,
,"100100 - Fine Arts, General                      ",,,153,321,478,388,414,266,438,483,515,498,553,553,578,202,306,391
,100400 - Music                                   ,431,390,532,302,458,454,633,514,599,639,718,412,733,653,740,199,526,406
,100600 - Technical Theater                       ,,,,,,,,,6,,3,,,,,,,
,"120100 - Health Occupations, General             ",,,,,,,,,,,,,,,25,30,,
,122100 - Pharmacy Technology                     ,9,,,,2,,,,,,4,,6,,,,,
,123030 - Certified Nurse Assistant               ,30,74,13,,41,22,15,71,127,32,120,52,215,26,544,15,215,90
,129900 - Other Health Occupations                ,,,,2,,,,,,,24,,,,58,19,31,
,130300 - Fashion                                 ,,,,,,,3,,,,,,4,,3,,1,
,130310 - Fashion Design                          ,,,,,,,3,,,,2,,3,,,,,
,130500 - Child Development/Early Care and Educati,43,49,73,28,58,75,41,24,36,54,28,12,49,67,76,18,23,39
,130560 - Parenting and Family Education          ,,,,,,,,,,,14,6,6,11,5,,,
,"130600 - Nutrition, Foods, and Culinary Arts     ",50,113,116,80,111,111,158,172,172,175,136,109,96,92,138,,93,95
,130630 - Culinary Arts                           ,18,,69,30,100,99,175,59,161,95,205,80,209,212,370,86,157,99
,130700 - Hospitality                             ,4,,,,,,54,34,36,13,71,24,31,27,68,,,
,130900 - Gerontology                             ,"1,165",505,,,,,,,,,,,,,,,,
,493010 - Career Guidance and Orientation         ,34,,147,,46,,137,,92,,275,8,75,31,389,44,133,64
,493012 - Job Seeking/Changing Skills             ,186,89,292,152,176,137,411,248,286,294,517,274,651,563,"2,431",58,92,112
,"493031 - Living Skills, Handicapped              ",23,39,27,,,13,25,,29,38,36,,47,51,34,,45,51
,493060 - Elementary Education (Grades 1-8)       ,695,495,411,458,639,776,"1,156",459,"1,176","1,076","1,101",454,802,998,"1,022",166,259,383
,493062 - Secondary Education (Grades 9-12) and G.,"5,787","2,687","6,814","3,482","6,249","3,699","8,035","4,074","7,466","5,838","9,804","4,256","8,397","6,644","11,323","2,935","4,961","3,936"
,493084 - English as a Second Language - Writing  ,62,44,82,38,34,52,78,67,62,59,118,55,138,256,245,,,
,493086 - English as a Second Language - Listening,728,579,537,503,600,971,914,352,690,998,909,355,718,"1,144","1,066",177,500,637
,493087 - English as a Second Language - Integrate,"4,012","2,948","2,663","3,085","4,499","6,992","7,280","3,714","4,941","7,831","8,217","4,098","5,678","8,666","8,459","2,097","3,513","5,098"
,493090 - Citizenship / ESL Civics                ,424,293,293,304,347,470,513,358,505,636,830,419,525,522,688,168,222,218
