,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Monica Total,,"2,896","2,959","4,668","3,350","5,183","3,058","5,612","3,990","6,232","4,056","6,543","4,340","7,371","3,981","6,643","4,204","7,554","4,429"
,030300 - Environmental Technology                ,22,,16,,,,,,,,19,,,,,,,
,"050100 - Business and Commerce, General          ",12,,,,,,,,,,,,43,,46,,45,
,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,56,,42,,70,
,051800 - Customer Service                        ,18,,18,,23,,36,,,,,,35,,41,,46,
,080900 - Special Education                       ,15,,13,13,13,,11,,,,16,,18,,18,,21,
,083510 - Physical Fitness and Body Movement      ,,,,,,,,31,52,42,66,29,89,80,99,60,93,94
,083700 - Health Education                        ,685,845,"1,190",954,"1,100",907,"1,191","1,018","1,231","1,061","1,204","1,066","1,031",858,953,858,"1,052",948
,089900 - Other Education                         ,385,489,497,464,393,389,450,400,466,376,451,348,554,249,277,145,367,235
,099900 - Other Engineering and Related Industrial,,,31,,52,,35,,16,,30,,31,,33,17,54,
,"100100 - Fine Arts, General                      ",168,,188,,185,,130,,131,,136,,100,,113,71,114,
,100200 - Art                                     ,53,65,167,114,152,79,217,172,206,85,190,137,188,67,166,77,211,92
,100210 - Painting and Drawing                    ,195,375,455,277,509,376,475,343,605,338,550,298,477,362,384,345,569,401
,100400 - Music                                   ,84,345,378,269,453,335,500,462,540,420,512,410,561,283,536,463,647,451
,100700 - Dramatic Arts                           ,232,220,373,352,428,231,394,343,422,341,400,393,618,507,530,485,583,508
,101100 - Photography                             ,,32,,40,41,40,43,55,56,48,57,55,49,51,54,,59,56
,101200 - Applied Photography                     ,28,27,30,30,26,24,31,23,28,24,13,31,,25,,25,,27
,109900 - Other Fine and Applied Arts             ,,,,,,,,,,,,,,,,,64,
,"120100 - Health Occupations, General             ",,,,,,,,77,48,,72,105,83,,93,116,104,
,121800 - Occupational Therapy Technology         ,30,,,,9,,,,49,,38,,,,64,,68,
,123000 - Nursing                                 ,96,,123,,60,,59,,71,,95,,120,,126,,157,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,19,,,
,123080 - Home Health Aide                        ,,,,,31,,,,24,,,,37,,,,35,
,130300 - Fashion                                 ,17,20,44,43,57,24,58,50,73,27,56,49,51,17,31,63,61,17
,130500 - Child Development/Early Care and Educati,232,,162,,170,,141,,96,,120,,129,,136,,145,
,"130600 - Nutrition, Foods, and Culinary Arts     ",18,15,12,13,14,,23,26,26,30,33,27,44,29,29,34,38,38
,130800 - Family Studies                          ,5,5,5,4,5,2,6,1,8,,5,,9,,9,,14,
,130900 - Gerontology                             ,62,17,51,,66,23,55,,59,24,63,24,27,25,25,,23,26
,139900 - Other Family and Consumer Sciences      ,37,29,58,32,54,33,64,45,73,52,69,67,34,43,32,51,30,54
,150100 - English                                 ,81,116,248,221,315,196,325,239,329,217,335,218,349,200,296,170,317,215
,150110 - Linguistics                             ,,,14,10,56,39,41,39,53,37,42,38,58,33,45,35,51,31
,150700 - Creative Writing                        ,186,116,220,161,227,110,238,181,268,142,233,161,269,94,211,163,245,147
,"200100 - Psychology, General                     ",11,45,47,43,41,38,41,36,46,49,47,45,43,41,30,35,34,39
,220700 - Political Science                       ,,,,,,,50,43,48,27,40,18,46,215,242,229,248,237
,493010 - Career Guidance and Orientation         ,,,,,,,,,,,11,,,,,,,
,493013 - Academic Guidance                       ,,,,,,,,,,,13,,,,,,,
,"493031 - Living Skills, Handicapped              ",84,73,91,63,100,59,101,60,83,65,109,72,113,80,112,79,99,89
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,9,,8,,9,,6,
,493085 - English as a Second Language - Reading  ,,14,,,95,,115,,292,189,331,250,546,245,415,187,411,245
,493086 - English as a Second Language - Listening,51,111,109,247,384,153,429,346,467,439,782,469,"1,045",454,905,477,941,453
,493087 - English as a Second Language - Integrate,89,,128,,124,,353,,366,,374,,472,,486,,503,
,493090 - Citizenship / ESL Civics                ,,,,,,,,,,23,22,30,38,23,36,19,29,26
