,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Rosa Total,,"7,038",,"7,682","4,822","9,461",,"10,112","5,608","10,791",,"11,573","5,223","11,489",,"11,519","5,627","11,668",
,010300 - Plant Science                           ,16,,,,,,,,,,,,,,,,,
,010910 - Landscape Design and Maintenance        ,19,,,,,,62,,48,,,,,,11,14,36,
,"050100 - Business and Commerce, General          ",106,,34,,110,,49,106,128,,155,90,219,,228,83,137,
,050210 - Tax Studies                             ,,,,,73,,59,,111,,105,,85,,66,,84,
,050640 - Small Business and Entrepreneurship     ,55,,61,,75,,51,,100,,149,,92,,116,,80,
,"070100 - Information Technology, General         ",327,,455,124,378,,514,192,493,,422,140,308,,309,112,319,
,070200 - Computer Information Systems            ,58,,27,,47,,24,23,36,,37,,19,,34,,29,
,083500 - Physical Education                      ,44,,53,19,67,,69,32,60,,72,31,77,,85,63,80,
,083700 - Health Education                        ,"1,254",,"1,183","1,048","1,622",,"1,509","1,278","1,382",,"1,331","1,281","1,238",,"1,305","1,135","1,162",
,086000 - Educational Technology                  ,,,,,,,,,66,,,,9,,55,,62,
,095200 - Construction Crafts Technology          ,47,,16,,89,,37,,72,,43,,132,,138,,187,
,095670 - Industrial and Occupational Safety and H,21,,13,,21,,69,,89,,42,,60,,121,34,87,
,100200 - Art                                     ,499,,490,419,578,,625,445,525,,622,390,586,,701,499,715,
,100400 - Music                                   ,15,,19,21,16,,19,49,54,,90,54,71,,107,142,112,
,101200 - Applied Photography                     ,,,,,,,,,,,,,,,4,,,
,"120100 - Health Occupations, General             ",,,41,,,,76,13,68,,55,29,40,,23,52,52,
,"130100 - Family and Consumer Sciences, General   ",987,,951,862,850,,834,788,849,,782,761,835,,888,828,859,
,130310 - Fashion Design                          ,9,,20,,12,,28,,17,,31,,29,,30,,33,
,130500 - Child Development/Early Care and Educati,94,,66,,,,66,,63,,,,36,,,,45,
,130700 - Hospitality                             ,47,,,,,,28,,,,26,,,,25,,,
,150100 - English                                 ,,,,9,311,,259,13,182,,355,,497,,390,10,542,
,150200 - Language Arts                           ,653,,674,308,758,,659,289,737,,611,529,787,,869,731,860,
,150700 - Creative Writing                        ,141,,140,123,188,,227,204,254,,284,215,235,,255,191,298,
,"170100 - Mathematics, General                    ",29,,334,107,591,,635,112,750,,849,166,930,,843,144,900,
,213350 - Fire Academy                            ,,,,,40,,30,,52,,59,11,52,,57,,44,
,493009 - Supervised Tutoring                     ,497,,626,126,"1,235",,"1,424",221,"1,791",,"2,176",242,"2,286",,"2,023",187,"1,983",
,493011 - Interpersonal Skills                    ,,,,89,,,,,,,,,,,,,,
,493012 - Job Seeking/Changing Skills             ,,,19,,37,,37,11,39,,38,18,36,,37,24,,
,"493031 - Living Skills, Handicapped              ",136,,142,93,162,,149,122,173,,178,119,185,,187,64,171,
,493060 - Elementary Education (Grades 1-8)       ,,,,,,,,,,,,,27,,,,,
,493062 - Secondary Education (Grades 9-12) and G.,653,,723,780,501,,717,835,615,,704,387,834,,752,462,658,
,493086 - English as a Second Language - Listening,160,,189,358,202,,228,422,284,,331,339,158,,182,412,228,
,493087 - English as a Second Language - Integrate,"1,132",,"1,366",296,"1,468",,"1,572",410,"1,726",,"1,984",381,"1,622",,"1,665",359,"1,890",
,493100 - Vocational ESL                          ,39,,40,40,30,,56,43,27,,42,40,4,,13,81,15,
