,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Barbara Total,,"1,601",,"9,134","8,309","11,183",,"12,752","8,756","12,857",,"16,334","8,496","15,633",,"15,777","8,860","12,783",
,010900 - Horticulture                            ,,,46,41,63,,86,48,98,,146,76,111,,130,76,143,
,010910 - Landscape Design and Maintenance        ,35,,34,29,35,,44,57,65,,55,27,40,,61,20,43,
,"050100 - Business and Commerce, General          ",,,,,15,,,,19,,,,,,,,9,
,050200 - Accounting                              ,29,,93,44,71,,111,88,111,,101,101,108,,129,90,114,
,050630 - Management Development and Supervision  ,90,,87,187,341,,434,213,345,,496,130,329,,503,128,258,
,050900 - Marketing and Distribution              ,13,,,,18,,37,,10,,15,,,,37,,,
,051400 - Office Technology/Office Computer Applic,136,,328,326,485,,520,411,647,,834,431,653,,679,313,722,
,059900 - Other Business and Management           ,,,,,,,,,,,,,,,14,,,
,061200 - Film Studies                            ,,,,,,,,,,,39,52,84,,112,127,170,
,061400 - Digital Media                           ,82,,189,142,145,,181,135,168,,239,180,165,,200,99,288,
,061460 - Computer Graphics and Digital Imagery   ,,,,4,,,28,,,,30,5,,,,,,
,"070100 - Information Technology, General         ",11,,26,36,49,,70,34,31,,69,32,42,,36,46,53,
,070200 - Computer Information Systems            ,,,10,,,,,,,,,,,,,,,
,070820 - Computer Support                        ,,,11,,,,20,,,,,23,,,,,,
,083700 - Health Education                        ,90,,122,83,143,,215,53,165,,272,105,206,,259,171,348,
,089900 - Other Education                         ,,,4,,74,,74,,39,,74,,51,,81,,58,
,095200 - Construction Crafts Technology          ,13,,15,,117,,72,12,97,,211,61,213,,182,104,159,
,095340 - Mechanical Drafting                     ,,,,,2,,,,,,,,,,,,,
,"100100 - Fine Arts, General                      ",269,,301,133,329,,337,168,344,,349,133,324,,275,136,363,
,100200 - Art                                     ,81,,103,126,114,,122,47,162,,154,73,156,,130,47,133,
,100210 - Painting and Drawing                    ,,,"1,028",796,"1,093",,"1,385",856,"1,353",,"1,341",805,"1,469",,"1,524",969,"1,411",
,100220 - Sculpture                               ,,,35,,38,,40,,40,,22,,47,,46,,52,
,100230 - Ceramics                                ,,,710,854,767,,967,886,929,,"1,010",808,"1,089",,"1,209",972,890,
,100400 - Music                                   ,102,,502,215,477,,553,295,640,,722,404,789,,"1,602","1,299","1,298",
,100700 - Dramatic Arts                           ,,,72,21,95,,91,32,106,,110,31,116,,101,35,107,
,100900 - Applied Design                          ,,,384,609,783,,810,708,730,,815,734,807,,776,702,881,
,100910 - Jewelry                                 ,,,43,240,338,,341,263,492,,609,433,541,,611,303,509,
,101200 - Applied Photography                     ,,,,,,,,,,,,,,,,,23,
,120800 - Medical Assisting                       ,23,,71,,50,,77,,47,,65,,42,,74,,67,
,125000 - Emergency Medical Services              ,6,,,,38,,,,25,,,,40,,,,33,
,130300 - Fashion                                 ,267,,180,161,331,,405,181,458,,484,241,518,,514,149,425,
,130330 - Fashion Production                      ,,,,,,,57,,50,,64,,73,,80,,49,
,130500 - Child Development/Early Care and Educati,,,,,89,,111,,110,,233,,238,,190,,515,
,130540 - Preshool Age Children                   ,,,35,,67,,50,34,83,,119,54,78,,53,20,61,
,130560 - Parenting and Family Education          ,,,238,,,,259,,,,174,,,,246,,,
,130590 - Infants and Toddlers                    ,60,,35,,158,,170,68,194,,175,78,174,,158,49,151,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,,21,64,,43,30,58,,61,22,47,,23,,,
,150300 - Comparative Literature                  ,,,72,80,92,,85,85,105,,102,61,122,,72,110,85,
,150400 - Classics                                ,,,,,,,,,21,,,,,,,,,
,150700 - Creative Writing                        ,,,249,191,214,,267,206,330,,364,213,315,,303,218,354,
,160200 - Library Technician (Aide)               ,,,,,,,,,9,,,,,,,,,
,"200100 - Psychology, General                     ",,,"2,488","2,351","2,516",,"2,581","2,313","2,579",,"2,408","1,932","2,433",,"1,553","1,235","1,217",
,493009 - Supervised Tutoring                     ,,,,,,,,,,,"2,012",,"2,187",,"2,091",620,25,
,493010 - Career Guidance and Orientation         ,10,,9,,,,,,9,,6,,,,,,,
,493011 - Interpersonal Skills                    ,71,,58,7,47,,62,29,103,,27,,12,,,,51,
,493012 - Job Seeking/Changing Skills             ,6,,,5,,,22,16,12,,4,,5,,,,14,
,493062 - Secondary Education (Grades 9-12) and G.,207,,360,521,377,,424,253,406,,506,368,483,,262,288,376,
,493086 - English as a Second Language - Listening,,,347,161,365,,380,218,395,,467,227,348,,337,98,295,
,493087 - English as a Second Language - Integrate,,,849,899,"1,144",,"1,198","1,002","1,264",,"1,350",656,"1,178",,"1,124",436,"1,015",
,493100 - Vocational ESL                          ,,,,26,39,,23,15,8,,,,,,,,18,
