,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Shasta Total,,958,,"1,488",197,"1,624",,"1,729",206,"1,804",,"1,922",57,527,,842,94,408,
,011400 - Forestry                                ,,,151,,92,,191,,161,,211,,136,,232,,138,
,050600 - Business Management                     ,,,2,,3,,3,,3,,8,,8,,8,,,
,050640 - Small Business and Entrepreneurship     ,9,,3,,20,,36,,,,21,,11,,58,,19,
,051800 - Customer Service                        ,,,,,,,,,,,1,,,,1,,,
,100400 - Music                                   ,,,135,,170,,172,,123,,195,,128,,182,,,
,100700 - Dramatic Arts                           ,,,2,,6,,6,49,,,3,,3,,11,32,,
,120800 - Medical Assisting                       ,,,10,,,,5,,,,,,,,,,,
,122300 - Health Information Technology           ,,,,,,,23,,,,9,,,,17,,,
,125000 - Emergency Medical Services              ,,,,,,,,,,,26,,,,41,,,
,130500 - Child Development/Early Care and Educati,,,,,,,,,,,,,,,10,,,
,"130600 - Nutrition, Foods, and Culinary Arts     ",,,13,,,,24,,,,22,,,,24,9,,
,130630 - Culinary Arts                           ,,,,,26,,,,32,,,,32,,,,,
,139900 - Other Family and Consumer Sciences      ,,,,,,,,,,,,,,,,,9,
,150700 - Creative Writing                        ,,,6,,,,,,,,,,,,,,,
,152000 - Reading                                 ,5,,4,,5,,6,,7,,8,,6,,10,,8,
,210550 - Police Academy                          ,14,,1,,14,,16,,,,,,,,,,,
,213300 - Fire Technology                         ,44,,,34,,,,,39,,,38,30,,,38,42,
,220500 - History                                 ,,,,,23,,,,,,,,,,,,,
,220610 - Geographic Information Systems          ,,,,,,,,,,,,,,,18,,,
,493009 - Supervised Tutoring                     ,808,,"1,030",138,"1,133",,"1,110",141,"1,277",,"1,255",,,,51,,,
,493012 - Job Seeking/Changing Skills             ,,,,,,,,,28,,,,,,,,,
,493060 - Elementary Education (Grades 1-8)       ,1,,4,,3,,13,,10,,15,,28,,24,,30,
,493062 - Secondary Education (Grades 9-12) and G.,2,,9,,8,,14,,20,,17,,20,,20,,27,
,493086 - English as a Second Language - Listening,,,,25,,,,16,,,,19,,,,15,,
,493087 - English as a Second Language - Integrate,73,,114,,118,,106,,102,,129,,124,,133,,135,
,493090 - Citizenship / ESL Civics                ,2,,4,,3,,4,,2,,2,,1,,2,,,
