,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Sierra Total,,"1,783",,"2,003",341,"1,961",,818,459,"3,305",,"3,626",761,"1,434",,"3,779",631,"2,803",
,"050100 - Business and Commerce, General          ",29,,1,,7,,49,,11,,17,,30,,29,,5,
,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,22,,21,,,
,051400 - Office Technology/Office Computer Applic,14,,,,11,,,,,,,,,,,,,
,051800 - Customer Service                        ,,,,,,,,,,,,,4,,4,,,
,083580 - Adapted Physical Education              ,49,,43,,48,,40,,63,,57,,60,,63,,48,
,094610 - Energy Systems Technology               ,,,,,,,,,,,,,,,19,,15,
,094800 - Automotive Technology                   ,,,,,,,1,,7,,10,,3,,11,,4,
,095200 - Construction Crafts Technology          ,47,,108,,79,,93,,50,,117,24,106,,96,23,112,
,095220 - Electrical                              ,,,,,,,,,,,,,,,38,,29,
,095630 - Machining and Machine Tools             ,12,,,,14,,12,21,29,,19,19,31,,18,16,35,
,095650 - Welding Technology                      ,,,,,,,,,,,,,,,,,5,
,"100100 - Fine Arts, General                      ",,,69,28,,,,,,,,34,79,,77,46,103,
,100400 - Music                                   ,,,18,,,,,,,,,31,140,,140,31,135,
,150100 - English                                 ,,,48,21,,,,,,,,11,12,,59,17,49,
,"170100 - Mathematics, General                    ",25,,52,21,37,,34,24,68,,60,19,49,,36,,,
,493009 - Supervised Tutoring                     ,"1,246",,"1,232",174,"1,340",,,353,"2,315",,"2,566",483,,,"2,344",359,"2,038",
,493013 - Academic Guidance                       ,,,,,,,,,,,,,3,,,,,
,493084 - English as a Second Language - Writing  ,,,,,,,,,,,,,25,,25,,,
,493086 - English as a Second Language - Listening,41,,41,59,43,,46,20,61,,83,35,112,,126,33,18,
,493087 - English as a Second Language - Integrate,307,,379,38,371,,531,41,682,,686,105,744,,660,106,202,
,493100 - Vocational ESL                          ,13,,12,,11,,12,,19,,11,,14,,13,,5,
