,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Siskiyous Total,,898,291,551,571,376,167,442,424,"1,070",173,"1,328",712,731,122,617,200,898,87
,050630 - Management Development and Supervision  ,,,,,,,,,9,7,3,,,,,,7,
,051400 - Office Technology/Office Computer Applic,16,,,,6,,,,4,,,,,,,,,
,"070100 - Information Technology, General         ",1,,,,,,,,,,,,,,,,,
,083510 - Physical Fitness and Body Movement      ,86,170,84,122,127,167,97,117,249,166,233,162,234,121,166,128,259,87
,083700 - Health Education                        ,,,,,,,,,,,,,,1,17,8,5,
,095210 - Carpentry                               ,,,14,,,,,,,,,,,,,,,
,095600 - Manufacturing and Industrial Technology ,,,,,,,13,,,,,11,,,,,,
,"100100 - Fine Arts, General                      ",12,,,10,9,,14,,,,8,,,,,,,
,100400 - Music                                   ,13,,48,408,32,,76,1,64,,71,21,78,,67,1,74,
,100700 - Dramatic Arts                           ,8,,6,7,6,,6,,11,,13,3,7,,,,17,
,125000 - Emergency Medical Services              ,8,,,,,,,,,,,,,,,,,
,150700 - Creative Writing                        ,,,,12,24,,27,,,,17,,,,,,,
,213300 - Fire Technology                         ,8,,,,,,,,,,,,,,,,,
,213310 - Wildland Fire Technology                ,8,,,,,,,,,,,,,,,,,
,493014 - Study Skills                            ,144,,93,,144,,91,,169,,141,,177,,139,,210,
,493087 - English as a Second Language - Integrate,594,121,306,12,28,,118,306,564,,842,515,235,,228,63,326,
