,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Southwestern Total,,"1,267",,616,480,"1,340",,"1,523",889,"2,056",,"2,155","1,200","2,311",,"2,358",792,"2,015",
,010900 - Horticulture                            ,,,,,,,,,,,,,,,7,,,
,050210 - Tax Studies                             ,96,,42,28,116,,93,31,113,,113,44,135,,129,67,154,
,050940 - Sales and Salesmanship                  ,88,,,,14,,117,24,36,,70,26,72,,,,215,
,051400 - Office Technology/Office Computer Applic,23,,,22,21,,26,11,46,,38,21,50,,67,,49,
,"070100 - Information Technology, General         ",8,,,,9,,,,3,,13,,22,,8,,,
,070200 - Computer Information Systems            ,30,,12,26,28,,24,,47,,15,20,16,,31,,,
,070210 - Software Applications                   ,4,,,,,,22,13,33,,26,7,44,,40,,32,
,083510 - Physical Fitness and Body Movement      ,90,,51,58,127,,151,118,211,,262,144,226,,217,105,207,
,083570 - Aquatics and Lifesaving                 ,14,,,,,,,,,,,,,,22,,,
,083700 - Health Education                        ,85,,43,,20,,26,16,45,,75,62,74,,45,54,70,
,089900 - Other Education                         ,8,,,,23,,17,,,,16,,57,,49,,35,
,095600 - Manufacturing and Industrial Technology ,,,,,,,,,,,12,,36,,8,,,
,095670 - Industrial and Occupational Safety and H,,,,,,,,57,4,,33,16,,,92,,20,
,100200 - Art                                     ,54,,36,42,107,,139,114,192,,189,116,206,,271,120,195,
,100400 - Music                                   ,149,,55,69,170,,203,67,211,,207,89,185,,161,104,171,
,100900 - Applied Design                          ,,,,,,,,,51,,54,47,53,,20,31,50,
,101200 - Applied Photography                     ,,,,,,,,,,,,,,,8,,,
,109900 - Other Fine and Applied Arts             ,13,,9,11,,,,,18,,21,,16,,14,,16,
,"120100 - Health Occupations, General             ",105,,62,19,58,,102,88,100,,140,86,88,,163,61,137,
,121900 - Optical Technology                      ,36,,21,11,35,,34,40,45,,57,40,65,,56,27,35,
,123030 - Certified Nurse Assistant               ,,,,,,,,,,,,,,,16,,4,
,125000 - Emergency Medical Services              ,68,,35,,68,,51,,34,,64,21,87,,102,63,31,
,125100 - Paramedic                               ,,,,,,,,,,,,,,,,,28,
,"130100 - Family and Consumer Sciences, General   ",,,12,,,,,,17,,30,,22,,10,,18,
,130580 - Child Development Administration and Man,,,,,,,,,28,,,,,,29,,,
,130590 - Infants and Toddlers                    ,209,,31,,73,,85,,,,78,,41,,,,,
,130900 - Gerontology                             ,,,,,,,,,,,11,,,,,,,
,150100 - English                                 ,,,,,,,9,,6,,5,2,6,,9,,2,
,152000 - Reading                                 ,,,,,4,,,,,,1,,,,,,,
,"170100 - Mathematics, General                    ",,,,,,,,,1,,,,,,5,,4,
,170200 - Mathematics Skills                      ,22,,41,70,150,,80,56,161,,116,85,177,,193,,24,
,"200100 - Psychology, General                     ",,,,,,,,,6,,,,,,,,,
,302000 - Aviation and Airport Management and Serv,5,,6,,7,,8,,14,,3,,8,,8,,,
,302020 - Piloting                                ,4,,8,,17,,11,,20,,5,,9,,9,,,
,493010 - Career Guidance and Orientation         ,38,,21,48,15,,27,,18,,24,,26,,9,,7,
,493011 - Interpersonal Skills                    ,8,,,,,,,,24,,9,,28,,16,,16,
,493012 - Job Seeking/Changing Skills             ,,,10,,,,,,,,,,,,,,,
,493013 - Academic Guidance                       ,13,,25,35,27,,28,11,41,,62,30,52,,81,,,
,493086 - English as a Second Language - Listening,10,,28,,22,,21,19,37,,39,15,47,,74,16,36,
,493087 - English as a Second Language - Integrate,87,,68,41,229,,249,224,463,,331,269,397,,341,113,390,
,493100 - Vocational ESL                          ,,,,,,,,,31,,36,60,66,,48,31,69,
