,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Alameda Total,,,667,480,633,574,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,46,33,49,37,
,,Business Administration-050500,28,26,30,25,
,,"Mathematics, General-170100",18,7,19,12,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,66,37,95,42,
,,Anthropology-220200,2,1,3,1,
,,Economics-220400,4,2,51,5,
,,English-150100,2,1,2,,
,,"Fine Arts, General-100100",3,1,1,1,
,,History-220500,1,,1,1,
,,Political Science-220700,2,8,6,4,
,,"Psychology, General-200100",26,11,19,22,
,,Sociology-220800,21,11,8,4,
,,Speech Communication-150600,5,2,4,4,
,Associate of Science (A.S.) degree                           Total,,62,41,59,54,
,,Automotive Collision Repair-094900,2,,,2,
,,Automotive Technology-094800,9,8,9,5,
,,Aviation Airframe Mechanics-095010,10,9,11,8,
,,Aviation Powerplant Mechanics-095020,12,5,13,8,
,,"Biology, General-040100",9,4,3,5,
,,Dental Assistant-124010,8,6,12,13,
,,Diesel Technology-094700,,,2,1,
,,"Mathematics, General-170100",12,9,9,12,
,Associate of Arts (A.A.) degree                              Total,,201,151,157,169,
,,Accounting-050200,7,7,7,3,
,,Anthropology-220200,,1,1,1,
,,Art-100200,5,1,6,1,
,,Computer Information Systems-070200,3,1,1,4,
,,English-150100,1,2,3,,
,,Ethnic Studies-220300,,,2,,
,,Fashion Design-130310,17,6,5,9,
,,Geography-220600,,,1,1,
,,History-220500,,1,3,2,
,,"Liberal Arts and Sciences, General-490100",143,110,100,113,
,,"Media and Communications, General-060100",,,,1,
,,Other Humanities-159900,,,,18,
,,Political Science-220700,1,3,1,1,
,,"Psychology, General-200100",5,11,13,7,
,,Sociology-220800,19,8,11,8,
,,Speech Communication-150600,,,3,,
,Certificate requiring 30 to < 60 semester units              Total,,286,212,268,248,
,,Automotive Technology-094800,22,10,13,12,
,,Aviation Airframe Mechanics-095010,23,35,27,24,
,,Aviation Powerplant Mechanics-095020,25,26,18,25,
,,Dental Assistant-124010,11,10,19,15,
,,Diesel Technology-094700,4,2,5,9,
,,Fashion Design-130310,22,9,7,14,
,,Transfer Studies-490110,179,120,179,149,
,Certificate requiring 16 to fewer than 30 semester units     Total,,5,5,5,24,
,,Automotive Collision Repair-094900,3,2,3,11,
,,"Chemistry, General-190500",,,,5,
,,Computer Information Systems-070200,2,1,1,4,
,,Kinesiology-127000,,2,1,4,
,Certificate requiring 8 to fewer than 16 semester units      Total,,1,,,,
,,Computer Networking-070810,1,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,,1,,,
,,English as a Second Language - Integrated-493087,,1,,,
