,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
American River Total,,,"3,917","3,993","3,816","4,679","4,947",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,414,355,346,246,330,
,,Administration of Justice-210500,54,63,61,35,46,
,,"Biology, General-040100",22,13,20,34,38,
,,Business Administration-050500,259,226,217,93,166,
,,Child Development/Early Care and Education-130500,17,19,15,25,22,
,,Geology-191400,3,1,,1,1,
,,"Mathematics, General-170100",33,22,25,32,31,
,,"Nutrition, Foods, and Culinary Arts-130600",10,5,2,4,6,
,,"Physics, General-190200",16,6,6,22,20,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,393,406,366,416,423,
,,Anthropology-220200,16,15,6,10,17,
,,Art-100200,9,7,7,23,15,
,,Dramatic Arts-100700,6,6,5,9,3,
,,Economics-220400,48,60,70,66,74,
,,English-150100,18,11,23,20,27,
,,"Fine Arts, General-100100",6,5,4,6,4,
,,Geography-220600,3,3,4,4,2,
,,Global Studies-221020,1,2,,,,
,,History-220500,17,20,10,25,14,
,,Journalism-060200,5,8,8,1,8,
,,Kinesiology-127000,18,19,17,15,24,
,,Music-100400,1,9,4,4,4,
,,Philosophy-150900,2,1,3,2,5,
,,Political Science-220700,29,26,17,14,16,
,,"Psychology, General-200100",133,127,115,138,143,
,,Social Justice: Ethnic Studies-220150,,5,6,6,3,
,,Social Justice: Gender Studies-220170,,2,,3,1,
,,Sociology-220800,50,45,41,39,35,
,,Spanish-110500,5,16,6,6,3,
,,Speech Communication-150600,26,19,20,25,25,
,Associate of Science (A.S.) degree                           Total,,862,853,796,989,973,
,,Administration of Justice-210500,18,13,21,5,19,
,,Anthropology-220200,4,11,9,7,5,
,,Automotive Collision Repair-094900,,1,2,2,,
,,Automotive Technology-094800,7,5,10,9,20,
,,Biological and Physical Sciences (and Mathematics)-490200,354,367,295,317,298,
,,Biotechnology and Biomedical Technology-043000,6,6,4,1,3,
,,Business Administration-050500,,,,136,50,
,,Computer Infrastructure and Support-070800,12,13,13,20,28,
,,Computer Networking-070810,16,15,26,10,15,
,,Computer Programming-070710,23,24,26,12,18,
,,Computer Science (Transfer)-070600,43,38,32,41,43,
,,Computer Support-070820,5,10,7,,6,
,,Database Design and Administration-070720,2,8,5,7,2,
,,Diesel Technology-094700,5,1,3,2,3,
,,Electronics and Electric Technology-093400,26,16,16,13,13,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,1,1,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",23,29,22,24,40,
,,Geographic Information Systems-220610,11,6,6,5,5,
,,Geography-220600,,,1,2,1,
,,"Health Professions, Transfer Core Curriculum-126000",,,8,60,92,
,,Horticulture-010900,,,,6,2,
,,"Information Technology, General-070100",,,,12,1,
,,Landscape Design and Maintenance-010910,12,5,6,1,8,
,,"Mathematics, General-170100",9,9,11,8,7,
,,Mortuary Science-125500,20,25,31,15,34,
,,Natural Resources-011500,13,15,11,8,7,
,,Paramedic-125100,8,9,4,4,2,
,,Physical Education-083500,8,10,8,8,5,
,,"Physical Sciences, General-190100",130,109,119,116,105,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,1,,1,
,,Registered Nursing-123010,66,56,64,81,74,
,,Respiratory Care/Therapy-121000,16,17,,21,21,
,,Speech/Language Pathology and Audiology-122000,21,25,26,24,32,
,,Welding Technology-095650,4,10,8,11,11,
,Associate of Arts (A.A.) degree                              Total,,988,956,920,866,816,
,,Accounting-050200,51,59,44,35,45,
,,Advertising-050910,,,,,1,
,,Alcohol and Controlled Substances-210440,9,15,12,9,6,
,,Art-100200,8,9,4,6,9,
,,Behavioral Science-200300,24,21,18,27,23,
,,"Business and Commerce, General-050100",29,25,30,29,23,
,,Business Management-050600,19,12,10,7,12,
,,Carpentry-095210,1,,3,4,2,
,,Child Development/Early Care and Education-130500,31,42,44,43,42,
,,Commercial Music-100500,17,17,20,5,18,
,,Construction Crafts Technology-095200,,,,1,1,
,,Dance-100800,6,,3,,1,
,,Digital Media-061400,15,23,10,19,20,
,,Drafting Technology-095300,8,4,7,4,3,
,,Dramatic Arts-100700,4,1,2,2,2,
,,Electrical-095220,1,1,1,1,2,
,,English-150100,11,2,12,5,4,
,,Fashion Design-130310,10,6,3,3,5,
,,Fashion Merchandising-130320,2,4,5,,4,
,,Film Studies-061200,2,7,6,3,3,
,,"Fine Arts, General-100100",2,4,2,4,1,
,,Fire Technology-213300,25,24,18,16,27,
,,"Foreign Languages, General-110100",70,59,42,51,26,
,,Gerontology-130900,6,12,4,4,8,
,,Human Services-210400,14,27,19,13,10,
,,Interior Design and Merchandising-130200,11,8,10,13,11,
,,International Studies-221000,2,3,2,,1,
,,"Liberal Arts and Sciences, General-490100",1,1,,,,
,,Marketing and Distribution-050900,3,3,6,1,4,
,,Music-100400,3,7,2,1,,
,,Office Management-051440,,1,2,1,,
,,Office Technology/Office Computer Applications-051400,5,9,6,1,5,
,,Paralegal-140200,38,46,79,41,43,
,,Political Science-220700,,5,3,5,2,
,,"Psychology, General-200100",40,32,44,45,46,
,,Real Estate-051100,8,13,8,8,9,
,,Recreation-083600,3,1,1,2,2,
,,Restaurant and Food Services and Management-130710,13,15,14,27,22,
,,Retail Store Operations and Management-050650,,,1,,1,
,,Sheet Metal and Structural Metal-095640,1,1,,,2,
,,Sign Language Interpreting-085010,10,3,5,10,6,
,,Sign Language-085000,17,7,8,11,2,
,,Small Business and Entrepreneurship-050640,11,12,11,6,12,
,,"Social Sciences, General-220100",451,411,397,400,350,
,,Software Applications-070210,4,,1,,,
,,Technical Communication-060700,1,,,,,
,,Technical Theater-100600,1,4,1,3,,
,Certificate requiring 60+ semester units                     Total,,,,,11,4,
,,Child Development Administration and Management-130580,,,,11,4,
,Certificate requiring 30 to < 60 semester units              Total,,864,"1,084","1,025","1,702","1,861",
,,Accounting-050200,11,7,5,19,11,
,,Alcohol and Controlled Substances-210440,1,7,8,2,4,
,,Animation-061440,1,,,,,
,,Applied Photography-101200,,1,,1,,
,,Automotive Collision Repair-094900,,,1,,1,
,,Automotive Technology-094800,2,4,5,6,11,
,,Biotechnology and Biomedical Technology-043000,,1,1,,,
,,Business Management-050600,1,,3,,,
,,Carpentry-095210,,9,,476,493,
,,Child Development Administration and Management-130580,2,7,,,,
,,Child Development/Early Care and Education-130500,12,15,11,14,13,
,,Commercial Music-100500,6,10,6,1,9,
,,Computer Graphics and Digital Imagery-061460,2,3,,,1,
,,Computer Infrastructure and Support-070800,,,4,16,19,
,,Computer Software Development-070700,,,,,18,
,,Computer Support-070820,,,3,,1,
,,Culinary Arts-130630,1,6,6,4,6,
,,Drafting Technology-095300,5,3,1,2,5,
,,Drywall and Insulation-095280,,53,,98,206,
,,Electrical-095220,,52,27,27,31,
,,Electronics and Electric Technology-093400,15,8,4,4,3,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,1,,2,
,,Fashion Design-130310,2,1,1,2,1,
,,Fashion Merchandising-130320,,,1,1,,
,,Fire Technology-213300,15,13,9,9,16,
,,Geographic Information Systems-220610,7,11,,,,
,,Gerontology-130900,1,5,,,1,
,,Horticulture-010900,3,1,,1,,
,,Human Services-210400,6,8,9,2,1,
,,Industrial Systems Technology and Maintenance-094500,,2,,11,16,
,,Interior Design and Merchandising-130200,,1,2,2,1,
,,Landscape Design and Maintenance-010910,,2,1,,,
,,Mill and Cabinet Work-095250,,3,,7,5,
,,Paralegal-140200,31,38,34,25,44,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,21,68,28,
,,Real Estate-051100,6,4,2,7,8,
,,Retail Store Operations and Management-050650,1,2,1,,,
,,Sheet Metal and Structural Metal-095640,,10,61,36,44,
,,Sign Language Interpreting-085010,8,7,5,7,8,
,,Sign Language-085000,2,,1,,,
,,Speech/Language Pathology and Audiology-122000,,,7,9,5,
,,Telecommunications Technology-093430,3,2,2,5,4,
,,Transfer Studies-490110,719,787,775,833,837,
,,Welding Technology-095650,1,1,7,7,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,161,140,143,156,194,
,,Accounting-050200,9,12,7,8,8,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,1,,,
,,Animation-061440,4,4,,1,4,
,,Automotive Collision Repair-094900,,,1,,2,
,,Automotive Technology-094800,3,2,4,7,10,
,,Biomedical Instrumentation-093460,28,10,10,9,11,
,,Biotechnology and Biomedical Technology-043000,,,1,1,2,
,,"Business and Commerce, General-050100",2,,1,1,1,
,,Carpentry-095210,1,3,,11,5,
,,Child Development Administration and Management-130580,3,,,3,,
,,Child Development/Early Care and Education-130500,5,2,3,7,2,
,,Children with Special Needs-130520,5,4,2,2,3,
,,Computer Graphics and Digital Imagery-061460,3,6,2,2,3,
,,Computer Infrastructure and Support-070800,1,6,1,,,
,,Computer Networking-070810,5,1,6,1,5,
,,Computer Programming-070710,4,5,3,2,1,
,,Computer Support-070820,1,2,1,,,
,,Culinary Arts-130630,3,7,12,10,17,
,,Database Design and Administration-070720,2,2,,1,1,
,,Diesel Technology-094700,12,3,14,12,21,
,,Dietetic Services and Management-130620,,,,,3,
,,Dramatic Arts-100700,2,,2,,1,
,,Electrical-095220,5,8,4,8,8,
,,Electronics and Electric Technology-093400,17,23,16,15,13,
,,English as a Second Language - Integrated-493087,,1,,1,3,
,,Film Studies-061200,2,4,1,1,2,
,,"Fine Arts, General-100100",4,,2,,,
,,Fitness Trainer-083520,2,,,,,
,,Geographic Information Systems-220610,,,4,5,5,
,,Infants and Toddlers-130590,1,,2,1,3,
,,Legal Office Technology-051410,,,1,,,
,,Natural Resources-011500,4,4,11,13,15,
,,Office Management-051440,,,2,1,,
,,Office Technology/Office Computer Applications-051400,5,3,3,3,4,
,,Other Health Occupations-129900,17,16,4,11,20,
,,"Painting, Decorating, and Flooring-095270",,,,1,1,
,,Restaurant and Food Services and Management-130710,3,5,6,8,4,
,,Retail Store Operations and Management-050650,,,,2,,
,,Small Business and Entrepreneurship-050640,3,2,1,3,5,
,,Software Applications-070210,3,1,4,1,1,
,,Speech/Language Pathology and Audiology-122000,,,4,3,3,
,,Technical Communication-060700,,,,,1,
,,Technical Theater-100600,2,,,,,
,,Website Design and Development-061430,,,,,1,
,,World Wide Web Administration-070900,,4,7,1,5,
,Certificate requiring 8 to fewer than 16 semester units      Total,,157,146,114,263,150,
,,Business Management-050600,16,13,21,17,11,
,,Child Development/Early Care and Education-130500,86,54,44,61,73,
,,Commercial Music-100500,6,10,2,3,9,
,,Computer Infrastructure and Support-070800,5,2,1,1,,
,,Computer Networking-070810,2,8,7,10,7,
,,Diesel Technology-094700,4,7,12,6,3,
,,Digital Media-061400,5,4,6,2,3,
,,Dramatic Arts-100700,3,,1,,1,
,,Drywall and Insulation-095280,,7,,79,14,
,,Electronics and Electric Technology-093400,,,,1,,
,,English as a Second Language - Integrated-493087,,2,,1,3,
,,Fire Academy-213350,,,,40,,
,,Industrial Electronics-093420,1,2,2,2,2,
,,Legal Office Technology-051410,,4,1,,,
,,Marketing and Distribution-050900,4,4,3,1,,
,,"Motorcycle, Outboard and Small Engine Repair-094830",,,,1,1,
,,Small Business and Entrepreneurship-050640,5,4,3,3,2,
,,Tax Studies-050210,4,8,5,11,4,
,,Telecommunications Technology-093430,1,2,2,8,7,
,,Transfer Studies-490110,14,12,1,5,2,
,,Welding Technology-095650,1,3,3,11,8,
,Certificate requiring 6 to < 18 semester units               Total,,78,53,106,19,188,
,,Automotive Collision Repair-094900,,,3,,3,
,,Automotive Technology-094800,,,5,,29,
,,Business Management-050600,,,,,1,
,,Certified Nurse Assistant-123030,32,11,8,16,12,
,,Creative Writing-150700,2,,,,,
,,Drafting Technology-095300,,,,,8,
,,Dramatic Arts-100700,,,,,1,
,,Electro-Mechanical Technology-093500,,,,,3,
