,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Bakersfield Total,,,"8,204","6,817","7,279","7,222",
,Baccalaureate of Science (B.S.) degree                       Total,,15,16,13,28,
,,Chemical Technology-095400,,,,2,
,,Electro-Mechanical Technology-093500,15,16,13,26,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,853,638,766,792,
,,Administration of Justice-210500,174,132,104,142,
,,"Agriculture Business, Sales and Service-011200",100,44,142,88,
,,Animal Science-010200,19,12,15,16,
,,"Biology, General-040100",34,28,30,27,
,,Business Administration-050500,227,189,216,260,
,,"Chemistry, General-190500",8,5,,1,
,,Child Development/Early Care and Education-130500,150,101,112,99,
,,Computer Science (Transfer)-070600,41,37,41,43,
,,Environmental Science-030100,,2,1,1,
,,Geology-191400,,,1,1,
,,"Health Occupations, General-120100",12,9,17,12,
,,"Mathematics, General-170100",54,46,51,61,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,2,
,,"Physics, General-190200",30,25,28,33,
,,Plant Science-010300,4,7,8,6,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,"1,200",967,"1,145","1,163",
,,Anthropology-220200,17,8,11,11,
,,Art-100200,57,47,63,63,
,,Child and Adolescent Development-130510,,9,78,115,
,,Dramatic Arts-100700,16,11,7,20,
,,Economics-220400,29,23,19,15,
,,English-150100,34,27,32,34,
,,"Fine Arts, General-100100",12,11,20,20,
,,History-220500,89,72,102,96,
,,Journalism-060200,11,14,9,13,
,,Kinesiology-127000,30,20,41,11,
,,"Law, General-140100",,1,4,13,
,,Liberal Studies-490120,103,83,87,65,
,,Music-100400,9,5,13,17,
,,Philosophy-150900,14,5,7,7,
,,Political Science-220700,62,35,36,24,
,,"Psychology, General-200100",394,326,354,371,
,,Social Justice Studies-220130,,2,2,2,
,,Sociology-220800,135,123,121,117,
,,Spanish-110500,44,58,66,59,
,,Speech Communication-150600,144,87,73,90,
,Associate of Science (A.S.) degree                           Total,,690,650,688,740,
,,Administration of Justice-210500,,,,1,
,,Agricultural Power Equipment Technology-011600,12,,8,19,
,,Animal Science-010200,18,13,8,8,
,,Architecture and Architectural Technology-020100,8,8,12,10,
,,Automotive Technology-094800,12,13,10,12,
,,"Biology, General-040100",292,265,240,222,
,,Child Development/Early Care and Education-130500,5,5,1,,
,,Civil and Construction Management Technology-095700,3,16,3,9,
,,Construction Crafts Technology-095200,,,1,,
,,Culinary Arts-130630,24,18,15,17,
,,Drafting Technology-095300,2,,3,2,
,,Educational Aide (Teacher Assistant)-080200,1,2,6,9,
,,Electro-Mechanical Technology-093500,29,24,22,54,
,,Electronics and Electric Technology-093400,28,17,21,39,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",31,23,29,25,
,,Environmental Control Technology-094600,5,2,5,6,
,,Fire Technology-213300,,2,1,1,
,,Food Processing and Related Technologies-011300,2,2,1,3,
,,Forestry-011400,12,8,8,6,
,,Health Information Technology-122300,10,10,14,13,
,,Horticulture-010900,1,4,2,3,
