,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Barstow Total,,,662,583,641,"1,021","1,115",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,97,106,82,99,80,
,,Administration of Justice-210500,30,26,15,29,23,
,,"Biology, General-040100",,4,10,9,,
,,Business Administration-050500,51,48,45,41,41,
,,"Chemistry, General-190500",,,3,4,,
,,Child Development/Early Care and Education-130500,16,25,6,10,9,
,,Computer Science (Transfer)-070600,,3,2,5,5,
,,Environmental Science-030100,,,1,,,
,,"Mathematics, General-170100",,,,1,2,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,98,96,85,105,104,
,,Art-100200,1,1,5,7,5,
,,English-150100,1,7,1,7,2,
,,"Fine Arts, General-100100",4,4,2,3,5,
,,History-220500,4,2,4,3,5,
,,Kinesiology-127000,2,4,6,9,3,
,,Liberal Studies-490120,1,3,3,2,1,
,,Philosophy-150900,1,,1,,1,
,,Political Science-220700,3,2,1,5,3,
,,"Psychology, General-200100",60,50,47,45,55,
,,Social Justice Studies-220130,1,1,1,,3,
,,Sociology-220800,20,14,10,16,13,
,,Speech Communication-150600,,8,4,8,8,
,Associate of Science (A.S.) degree                           Total,,199,174,175,196,189,
,,Accounting-050200,22,12,12,15,15,
,,Administration of Justice-210500,15,11,10,18,6,
,,Applied Photography-101200,4,2,,5,4,
,,Automotive Technology-094800,4,7,3,7,6,
,,Biological and Physical Sciences (and Mathematics)-490200,68,64,46,10,2,
,,"Business and Commerce, General-050100",23,14,17,28,23,
,,Business Management-050600,14,14,4,1,2,
,,Child Development/Early Care and Education-130500,17,9,14,9,23,
,,Computer Information Systems-070200,2,8,13,20,25,
,,Cosmetology and Barbering-300700,6,16,14,13,18,
,,Diesel Technology-094700,5,3,4,6,3,
,,"Health Professions, Transfer Core Curriculum-126000",,3,20,51,49,
,,Industrial Systems Technology and Maintenance-094500,9,3,8,6,4,
,,Logistics and Materials Transportation-051000,5,4,3,5,3,
,,Welding Technology-095650,5,4,7,2,6,
,Associate of Arts (A.A.) degree                              Total,,177,104,118,118,96,
,,Humanities-490300,49,28,35,34,34,
,,"Liberal Arts and Sciences, General-490100",,6,40,73,55,
,,"Social Sciences, General-220100",128,70,43,11,7,
,Certificate requiring 30 to < 60 semester units              Total,,33,24,34,44,63,
,,Child Development/Early Care and Education-130500,4,2,1,3,11,
,,Cosmetology and Barbering-300700,25,22,33,41,52,
,,Industrial Systems Technology and Maintenance-094500,4,,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,50,37,64,204,371,
,,Accounting-050200,2,1,2,2,7,
,,Administration of Justice-210500,7,3,2,29,53,
,,Applied Photography-101200,,,1,6,15,
,,Automotive Technology-094800,4,6,7,21,20,
,,Business Management-050600,4,2,3,11,9,
,,Child Development/Early Care and Education-130500,13,3,9,23,115,
,,Computer Information Systems-070200,3,4,14,58,44,
,,Corrections-210510,1,1,3,2,5,
,,Diesel Technology-094700,3,4,4,13,29,
,,Emergency Medical Services-125000,,2,5,5,5,
,,Industrial Systems Technology and Maintenance-094500,5,4,9,10,34,
,,Logistics and Materials Transportation-051000,,3,1,8,14,
,,Office Technology/Office Computer Applications-051400,3,1,,,,
,,Small Business and Entrepreneurship-050640,,1,2,9,6,
,,Welding Technology-095650,5,2,2,7,15,
,Certificate requiring 8 to fewer than 16 semester units      Total,,7,12,23,70,65,
,,Child Development/Early Care and Education-130500,1,,,,,
,,Industrial Systems Technology and Maintenance-094500,2,5,11,18,21,
,,Logistics and Materials Transportation-051000,1,3,1,14,5,
,,Welding Technology-095650,3,4,11,38,39,
,Certificate requiring 6 to < 18 semester units               Total,,1,6,23,23,23,
,,Electronics and Electric Technology-093400,1,2,12,13,16,
,,Industrial Systems Technology and Maintenance-094500,,4,11,10,7,
,Noncredit award requiring from 144 to < 192 hours            Total,,,2,1,15,16,
,,English as a Second Language - Integrated-493087,,,,13,16,
,,Industrial Systems Technology and Maintenance-094500,,2,1,2,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,,94,82,
,,Study Skills-493014,,,,94,82,
,Noncredit award requiring from 48 to < 96 hours              Total,,,22,36,53,26,
,,Business Administration-050500,,18,34,45,23,
,,Logistics and Materials Transportation-051000,,4,2,8,3,
