,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Butte Total,,,"1,702","1,806","1,719","2,196",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,181,196,176,227,
,,Administration of Justice-210500,28,31,30,32,
,,"Agriculture Business, Sales and Service-011200",13,20,11,11,
,,"Biology, General-040100",11,9,12,9,
,,Business Administration-050500,73,72,71,82,
,,Child Development/Early Care and Education-130500,9,4,4,11,
,,Computer Science (Transfer)-070600,10,7,9,16,
,,Geology-191400,,1,1,1,
,,"Health Occupations, General-120100",1,10,9,13,
,,"Mathematics, General-170100",13,12,11,18,
,,"Nutrition, Foods, and Culinary Arts-130600",4,2,1,4,
,,"Physics, General-190200",5,7,7,13,
,,Plant Science-010300,7,11,2,4,
,,Television (including combined TV/Film/Video)-060420,7,10,8,13,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,268,305,291,342,
,,Anthropology-220200,12,9,12,12,
,,Art-100200,10,13,20,17,
,,Child and Adolescent Development-130510,23,28,22,31,
,,Dramatic Arts-100700,6,1,1,,
,,Economics-220400,9,11,6,5,
,,English-150100,19,19,19,18,
,,"Fine Arts, General-100100",7,7,6,7,
,,Geography-220600,1,3,2,,
,,History-220500,11,7,15,14,
,,Journalism-060200,,5,6,4,
,,Kinesiology-127000,8,27,19,25,
,,Liberal Studies-490120,21,21,20,18,
,,Music-100400,6,1,3,10,
,,Philosophy-150900,,1,1,4,
,,Political Science-220700,3,5,8,13,
,,"Psychology, General-200100",92,107,104,122,
,,Sociology-220800,10,11,10,14,
,,Spanish-110500,5,5,1,5,
,,Speech Communication-150600,25,24,16,23,
,Associate of Science (A.S.) degree                           Total,,425,436,403,615,
,,Accounting-050200,9,12,7,18,
,,Administration of Justice-210500,16,26,23,33,
,,Agricultural Power Equipment Technology-011600,2,2,3,5,
,,"Agriculture Business, Sales and Service-011200",7,3,8,2,
,,"Agriculture Technology and Sciences, General-010100",2,2,,1,
,,Alcohol and Controlled Substances-210440,,1,,,
,,Applied Photography-101200,5,1,6,3,
,,Automotive Technology-094800,5,6,5,8,
,,"Biology, General-040100",8,5,5,10,
,,Business Administration-050500,18,15,15,28,
,,Business Management-050600,6,6,10,11,
,,"Chemistry, General-190500",4,7,2,2,
,,Child Development/Early Care and Education-130500,36,34,17,21,
,,Commercial Music-100500,2,3,3,5,
,,Computer Information Systems-070200,10,10,5,13,
,,Computer Science (Transfer)-070600,9,10,10,22,
,,Computer Support-070820,3,1,2,4,
,,Construction Crafts Technology-095200,3,2,6,5,
,,Construction Inspection-095720,1,,,,
,,Cosmetology and Barbering-300700,9,11,14,9,
,,Diesel Technology-094700,2,2,1,2,
,,Drafting Technology-095300,1,3,11,5,
,,"Engineering Technology, General (requires Trigonometry)-092400",3,6,4,3,
