,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cabrillo Total,,,"2,319","2,632","3,025","3,049","2,837",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,123,133,122,137,123,
,,Administration of Justice-210500,31,46,34,36,29,
,,"Agriculture Business, Sales and Service-011200",,,,,1,
,,"Biology, General-040100",4,12,3,5,4,
,,Business Administration-050500,64,63,65,73,57,
,,Child Development/Early Care and Education-130500,16,6,13,11,12,
,,Environmental Science-030100,,,,2,3,
,,Geology-191400,,,,,1,
,,"Mathematics, General-170100",5,4,3,5,7,
,,"Physics, General-190200",,1,1,2,2,
,,Plant Science-010300,3,1,3,3,7,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,200,230,151,206,198,
,,Anthropology-220200,12,14,5,10,8,
,,Art-100200,1,8,3,8,12,
,,Dramatic Arts-100700,1,4,,1,4,
,,Economics-220400,7,8,15,19,17,
,,English-150100,7,6,8,11,21,
,,"Fine Arts, General-100100",,,1,1,1,
,,Geography-220600,1,2,,,2,
,,History-220500,5,3,2,4,4,
,,Kinesiology-127000,31,44,6,16,15,
,,Liberal Studies-490120,5,9,5,9,2,
,,Music-100400,,1,4,1,,
,,Philosophy-150900,2,1,1,5,3,
,,Political Science-220700,7,16,5,18,14,
,,"Psychology, General-200100",37,38,36,53,48,
,,Sociology-220800,43,40,26,17,23,
,,Spanish-110500,5,10,9,2,4,
,,Speech Communication-150600,36,26,25,31,20,
,Associate of Science (A.S.) degree                           Total,,460,445,489,426,554,
,,Accounting-050200,23,15,21,18,20,
,,"Agriculture Technology and Sciences, General-010100",,2,,1,2,
,,Astronomy-191100,,3,1,1,1,
,,Biological and Physical Sciences (and Mathematics)-490200,16,15,29,25,30,
,,"Biology, General-040100",25,29,37,25,27,
,,"Business and Commerce, General-050100",,,,,1,
,,Business Management-050600,3,2,,,,
,,"Chemistry, General-190500",15,21,22,10,20,
,,Child Development/Early Care and Education-130500,9,14,13,12,2,
,,Civil and Construction Management Technology-095700,7,9,10,17,9,
,,Commercial Music-100500,,2,5,3,5,
,,Computer Infrastructure and Support-070800,,,3,6,13,
,,Computer Networking-070810,6,4,4,6,4,
,,Computer Science (Transfer)-070600,15,22,22,18,17,
,,Computer Support-070820,2,3,,5,4,
,,Construction Inspection-095720,,1,3,,,
,,Corrections-210510,10,5,1,2,1,
,,Culinary Arts-130630,5,9,8,5,8,
,,Dental Hygienist-124020,15,2,19,,19,
,,Digital Media-061400,5,4,1,,,
,,Energy Systems Technology-094610,,1,1,,,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,5,1,2,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",27,28,32,19,37,
,,Environmental Studies-030200,,,,1,1,
,,Fire Technology-213300,11,12,16,10,17,
,,Geology-191400,1,,1,3,1,
,,Graphic Art and Design-103000,,,4,9,10,
,,Horticulture-010900,4,4,4,3,5,
,,Human Services-210400,17,7,14,10,23,
,,Humanities and Fine Arts-490310,,1,,,,
,,Landscape Design and Maintenance-010910,1,1,3,2,3,
,,"Liberal Arts and Sciences, General-490100",79,71,89,82,109,
,,"Mathematics, General-170100",39,44,37,29,45,
,,Medical Assisting-120800,13,13,14,15,19,
,,Office Technology/Office Computer Applications-051400,3,2,2,1,4,
,,"Physics, General-190200",22,32,23,23,34,
,,Radiologic Technology-122500,13,16,10,16,13,
,,Registered Nursing-123010,68,45,38,47,48,
,,"Viticulture, Enology, and Wine Business-010400",,,,,1,
,,Website Design and Development-061430,4,1,1,,,
,Associate of Arts (A.A.) degree                              Total,,949,"1,066","1,093","1,156","1,236",
,,Anthropology-220200,15,8,10,8,12,
,,Art-100200,15,21,12,24,25,
,,Biological and Physical Sciences (and Mathematics)-490200,3,,,,,
,,"Business and Commerce, General-050100",42,49,54,48,60,
,,"Chemistry, General-190500",4,5,9,9,1,
,,Corrections-210510,,1,,1,,
,,Dance-100800,2,2,4,3,4,
,,Dramatic Arts-100700,4,5,3,5,4,
,,Economics-220400,14,33,35,41,43,
,,English-150100,7,6,10,8,13,
,,Ethnic Studies-220300,2,13,4,5,4,
,,"Fine Arts, General-100100",,8,4,3,4,
,,Fire Technology-213300,6,8,3,1,,
,,Geography-220600,2,2,1,6,2,
,,Health Education-083700,125,124,159,183,197,
,,History-220500,17,12,12,13,5,
,,Journalism-060200,,5,5,1,8,
,,Kinesiology-127000,1,2,21,20,2,
,,"Liberal Arts and Sciences, General-490100",29,636,632,641,718,
,,Liberal Studies-490120,,1,,,,
,,Music-100400,7,10,7,5,18,
,,Philosophy-150900,5,2,1,3,3,
,,Photography-101100,7,3,6,15,8,
,,Political Science-220700,10,13,8,8,10,
,,"Psychology, General-200100",35,44,42,46,44,
,,Sociology-220800,18,13,16,16,16,
,,Spanish-110500,13,15,17,19,12,
,,Speech Communication-150600,23,23,18,20,20,
,,Transfer Studies-490110,541,,,,,
,,Women's Studies-220110,2,2,,4,3,
,Certificate requiring 30 to < 60 semester units              Total,,154,161,136,95,93,
,,"Agriculture Technology and Sciences, General-010100",,1,,2,,
,,Alcohol and Controlled Substances-210440,,,3,3,5,
,,Athletic Training and Sports Medicine-122800,,,,,1,
,,Child Development Administration and Management-130580,4,5,2,1,4,
,,Child Development/Early Care and Education-130500,76,84,77,45,33,
,,Civil and Construction Management Technology-095700,7,9,7,1,8,
,,Commercial Music-100500,,1,,,,
,,Computer Networking-070810,3,3,2,2,5,
,,Computer Programming-070710,5,,,1,,
