,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Canada Total,,,782,639,669,738,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,90,68,74,82,
,,"Biology, General-040100",7,7,7,12,
,,Business Administration-050500,47,38,39,38,
,,Child Development/Early Care and Education-130500,14,7,8,7,
,,Computer Science (Transfer)-070600,11,9,9,13,
,,Environmental Science-030100,1,,1,,
,,"Mathematics, General-170100",5,4,7,8,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,2,1,
,,"Physics, General-190200",4,2,1,3,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,145,132,114,151,
,,Anthropology-220200,1,2,3,3,
,,Art-100200,2,2,2,4,
,,Child and Adolescent Development-130510,,12,,,
,,Dramatic Arts-100700,,2,,,
,,Economics-220400,24,18,19,30,
,,English-150100,,,2,6,
,,"Fine Arts, General-100100",2,1,,1,
,,Geography-220600,1,,,3,
,,History-220500,3,4,2,7,
,,Human Services-210400,5,5,5,4,
,,Kinesiology-127000,10,12,9,12,
,,"Law, General-140100",1,1,1,,
,,Philosophy-150900,1,,2,3,
,,Political Science-220700,,6,3,4,
,,"Psychology, General-200100",58,45,43,45,
,,Sociology-220800,35,22,22,25,
,,Spanish-110500,2,,1,1,
,,Speech Communication-150600,,,,3,
,Associate of Science (A.S.) degree                           Total,,164,127,129,135,
,,Accounting-050200,6,3,12,6,
,,"Biology, General-040100",3,2,1,2,
,,Business Administration-050500,8,4,3,9,
,,Business Management-050600,7,2,2,7,
,,"Chemistry, General-190500",2,2,2,5,
,,Child Development/Early Care and Education-130500,19,18,9,13,
,,"Engineering, General (requires Calculus) (Transfer)-090100",12,4,2,5,
,,Environmental Science-030100,1,,,,
,,Fashion Design-130310,2,2,2,3,
,,Fashion Merchandising-130320,1,1,1,1,
,,Fashion Production-130330,2,1,,1,
,,"Health Professions, Transfer Core Curriculum-126000",43,37,46,43,
,,Interior Design and Merchandising-130200,8,20,13,11,
,,Marketing and Distribution-050900,2,2,2,3,
,,Medical Assisting-120800,24,9,11,13,
,,Office Technology/Office Computer Applications-051400,3,1,1,,
,,Paralegal-140200,4,4,4,6,
,,Radiologic Technology-122500,15,13,14,6,
,,Small Business and Entrepreneurship-050640,2,2,4,1,
,Associate of Arts (A.A.) degree                              Total,,157,95,105,88,
,,Anthropology-220200,,1,,1,
,,Area Studies-221010,1,1,2,,
,,Biological and Physical Sciences (and Mathematics)-490200,27,7,13,14,
,,Economics-220400,20,8,11,14,
,,English-150100,1,,,1,
,,Geography-220600,,,,1,
,,History-220500,,1,2,,
,,Humanities and Fine Arts-490310,6,4,2,2,
,,Kinesiology-127000,3,1,1,2,
,,"Liberal Arts and Sciences, General-490100",53,31,32,20,
,,Multimedia-061410,10,12,7,5,
,,Philosophy-150900,,,,1,
,,Political Science-220700,1,,1,3,
,,"Psychology, General-200100",12,7,9,9,
,,Sociology-220800,7,4,7,7,
,,Spanish-110500,4,7,1,,
,,Speech Communication-150600,12,11,17,8,
,Certificate requiring 60+ semester units                     Total,,7,11,10,11,
,,Interior Design and Merchandising-130200,7,11,10,11,
,Certificate requiring 30 to < 60 semester units              Total,,100,95,112,128,
,,Business Administration-050500,5,1,4,4,
,,Digital Media-061400,,2,3,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",2,,1,1,
,,Fashion Design-130310,2,6,3,4,
,,Fashion Production-130330,1,1,1,2,
,,Interior Design and Merchandising-130200,13,18,9,19,
,,Medical Assisting-120800,11,9,8,11,
,,Multimedia-061410,3,6,10,8,
,,Small Business and Entrepreneurship-050640,,2,1,2,
,,Transfer Studies-490110,63,50,72,76,
,Certificate requiring 16 to fewer than 30 semester units     Total,,94,72,84,98,
,,Accounting-050200,6,8,10,11,
,,Administrative Medical Assisting-120820,8,5,10,7,
,,Business Management-050600,4,3,5,5,
,,Child Development/Early Care and Education-130500,31,19,13,18,
,,Computer Graphics and Digital Imagery-061460,2,,7,5,
,,Computer Science (Transfer)-070600,3,5,7,5,
,,Educational Aide (Teacher Assistant)-080200,,1,,,
,,Fashion Merchandising-130320,,,2,2,
,,General Studies-493000,1,,3,,
,,Health Information Coding-122310,10,5,5,12,
,,Interior Design and Merchandising-130200,8,12,9,8,
,,Marketing and Distribution-050900,2,3,2,6,
,,Medical Assisting-120800,6,3,2,7,
,,Office Technology/Office Computer Applications-051400,3,,,5,
,,Paralegal-140200,10,8,9,7,
,Certificate requiring 8 to fewer than 16 semester units      Total,,25,39,41,45,
,,Accounting-050200,2,2,3,7,
,,Children with Special Needs-130520,5,11,8,7,
,,English as a Second Language - Integrated-493087,6,5,2,2,
,,"Liberal Arts and Sciences, General-490100",12,20,22,26,
,,Office Technology/Office Computer Applications-051400,,1,6,3,
