,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Canyons Total,,,"6,081","5,465","5,288","5,307",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,663,623,554,495,
,,Administration of Justice-210500,66,56,55,39,
,,"Biology, General-040100",40,35,37,48,
,,Business Administration-050500,307,285,229,188,
,,Child Development/Early Care and Education-130500,46,39,35,32,
,,Computer Science (Transfer)-070600,40,46,46,36,
,,Environmental Science-030100,5,5,2,1,
,,Geology-191400,1,1,,,
,,"Health Occupations, General-120100",58,65,53,44,
,,Hospitality-130700,7,6,5,3,
,,"Mathematics, General-170100",53,53,60,61,
,,"Physics, General-190200",40,32,32,43,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,774,623,670,655,
,,Anthropology-220200,11,10,15,7,
,,Art-100200,24,16,37,30,
,,Dramatic Arts-100700,8,9,11,11,
,,Economics-220400,43,63,82,108,
,,English-150100,47,28,19,23,
,,"Fine Arts, General-100100",4,7,8,7,
,,Geography-220600,3,7,2,2,
,,Global Studies-221020,3,5,,2,
,,History-220500,31,30,26,21,
,,Journalism-060200,18,11,12,17,
,,Kinesiology-127000,74,46,53,38,
,,"Law, General-140100",,,4,19,
,,Liberal Studies-490120,24,31,24,17,
,,Music-100400,3,8,5,5,
,,Philosophy-150900,7,,6,4,
,,Political Science-220700,39,36,37,35,
,,"Psychology, General-200100",266,206,207,214,
,,Social Justice Studies-220130,9,2,3,2,
,,Sociology-220800,89,61,65,43,
,,Spanish-110500,10,4,8,2,
,,Speech Communication-150600,61,43,46,48,
,Associate of Science (A.S.) degree                           Total,,542,507,505,489,
,,Accounting-050200,145,134,126,109,
,,Administration of Justice-210500,23,22,18,13,
,,Architectural Drafting-095310,14,17,11,12,
,,Athletic Training and Sports Medicine-122800,3,1,,,
,,Automotive Technology-094800,6,6,5,12,
,,Biological and Physical Sciences (and Mathematics)-490200,9,5,2,5,
,,Business Management-050600,25,13,15,15,
,,Civil and Construction Management Technology-095700,10,9,4,6,
,,Computer Infrastructure and Support-070800,,,,6,
,,Computer Networking-070810,2,3,10,3,
,,Computer Science (Transfer)-070600,14,7,8,4,
,,Construction Crafts Technology-095200,2,2,1,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",10,11,13,10,
,,Fire Technology-213300,28,34,27,30,
,,Hospitality-130700,6,2,1,,
,,Interior Design and Merchandising-130200,10,8,9,10,
,,Lodging Management-130720,1,1,,,
,,Marketing and Distribution-050900,25,27,22,24,
,,"Mathematics, General-170100",47,29,32,28,
,,Medical Laboratory Technology-120500,9,13,24,20,
,,Office Technology/Office Computer Applications-051400,9,6,9,7,
,,Real Estate-051100,3,5,9,12,
,,Registered Nursing-123010,88,93,102,104,
,,Restaurant and Food Services and Management-130710,1,,,,
,,Small Business and Entrepreneurship-050640,19,26,21,18,
,,Surveying-095730,6,7,10,7,
,,Water and Wastewater Technology-095800,15,14,16,15,
,,Website Design and Development-061430,6,4,7,8,
,,Welding Technology-095650,6,8,3,10,
,Associate of Arts (A.A.) degree                              Total,,"1,305","1,278","1,188","1,146",
,,Animation-061440,18,24,21,24,
,,Applied Photography-101200,,,,2,
,,Art-100200,7,15,12,18,
,,Biological and Physical Sciences (and Mathematics)-490200,134,114,100,122,
,,Culinary Arts-130630,11,15,11,16,
,,Digital Media-061400,5,10,6,3,
,,Dramatic Arts-100700,,6,5,9,
,,English-150100,6,5,7,3,
,,Environmental Studies-030200,2,5,1,4,
,,Film Production-061220,22,23,19,27,
,,French-110200,2,1,,,
,,Graphic Art and Design-103000,21,12,30,23,
,,Health Education-083700,398,402,320,318,
,,History-220500,10,4,3,2,
,,Humanities-490300,52,62,61,54,
,,Journalism-060200,1,1,,1,
,,Multimedia-061410,4,,,,
,,Music-100400,6,5,,3,
,,Paralegal-140200,20,24,26,24,
,,Philosophy-150900,1,,,3,
,,Photography-101100,3,8,8,5,
,,Physical Education-083500,7,3,3,2,
,,"Psychology, General-200100",13,16,13,10,
,,Recreation-083600,2,,2,1,
,,Sign Language Interpreting-085010,3,10,1,6,
,,"Social Sciences, General-220100",530,493,527,454,
,,Sociology-220800,13,8,4,3,
,,Spanish-110500,4,4,2,3,
,,Speech Communication-150600,10,6,5,5,
,,Technical Theater-100600,,2,1,1,
,Certificate requiring 30 to < 60 semester units              Total,,"1,704","1,414","1,270","1,280",
,,Animation-061440,9,10,10,7,
,,Automotive Technology-094800,8,4,8,8,
,,Child Development Administration and Management-130580,5,2,1,4,
,,Children with Special Needs-130520,3,,5,1,
,,Computer Networking-070810,2,2,6,6,
,,Graphic Art and Design-103000,14,5,8,7,
,,Paralegal-140200,13,22,23,34,
,,Retail Store Operations and Management-050650,2,2,,,
,,Surveying-095730,8,8,8,8,
,,Transfer Studies-490110,"1,640","1,359","1,201","1,205",
,Certificate requiring 16 to fewer than 30 semester units     Total,,414,355,359,395,
,,Accounting-050200,171,156,158,146,
,,Administration of Justice-210500,13,8,8,9,
,,Applied Photography-101200,,1,1,3,
,,Architectural Drafting-095310,3,4,4,4,
,,Automotive Technology-094800,,,7,5,
,,Business Management-050600,21,10,13,9,
,,Carpentry-095210,,1,,,
,,Civil and Construction Management Technology-095700,11,4,6,9,
,,Construction Crafts Technology-095200,2,2,1,,
,,Construction Inspection-095720,2,3,5,4,
,,Culinary Arts-130630,17,15,18,21,
,,Electrical-095220,1,1,,,
,,Electronic Game Design-061420,,,,3,
,,Fire Technology-213300,18,20,16,24,
,,Infants and Toddlers-130590,20,10,10,22,
,,Interior Design and Merchandising-130200,13,7,17,5,
,,"Law, General-140100",37,24,25,31,
,,Office Technology/Office Computer Applications-051400,8,6,6,2,
,,Other Interdisciplinary Studies-499900,,1,,,
