,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Francisco Total,,,"5,617","6,802","6,404","6,224","6,561",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,207,220,186,192,211,
,,Administration of Justice-210500,34,26,26,17,27,
,,"Biology, General-040100",16,28,14,23,15,
,,Business Administration-050500,77,86,75,82,105,
,,Child Development/Early Care and Education-130500,27,30,22,14,12,
,,Computer Science (Transfer)-070600,2,,,,,
,,"Health Occupations, General-120100",2,2,1,3,3,
,,Hospitality-130700,,,1,2,3,
,,"Mathematics, General-170100",42,31,31,45,33,
,,"Nutrition, Foods, and Culinary Arts-130600",,4,2,1,2,
,,Television (including combined TV/Film/Video)-060420,7,13,14,5,11,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,281,271,223,242,233,
,,Anthropology-220200,8,10,7,1,9,
,,Art-100200,8,8,6,4,5,
,,Child and Adolescent Development-130510,21,17,22,23,15,
,,Dramatic Arts-100700,1,,,,,
,,Economics-220400,24,21,22,31,24,
,,English-150100,10,10,7,5,4,
,,"Fine Arts, General-100100",4,4,5,4,1,
,,Geography-220600,1,,1,1,,
,,History-220500,6,7,5,7,7,
,,Human Services-210400,,10,8,11,19,
,,Journalism-060200,3,7,1,5,1,
,,Kinesiology-127000,,7,11,4,6,
,,Philosophy-150900,,4,1,6,2,
,,Political Science-220700,13,17,17,8,9,
,,"Psychology, General-200100",94,73,64,77,72,
,,Social Justice Studies-220130,4,9,4,5,8,
,,Social Justice: Asian American Studies-220190,,3,1,2,1,
,,Social Justice: Ethnic Studies-220150,12,8,2,4,8,
,,Social Justice: Gender Studies-220170,3,6,1,2,2,
,,Sociology-220800,44,34,21,32,24,
,,Spanish-110500,2,3,1,2,3,
,,Speech Communication-150600,23,13,16,8,13,
,Associate of Science (A.S.) degree                           Total,,"1,079","1,226","1,030","1,002","1,082",
,,Accounting-050200,5,11,10,4,7,
,,Administration of Justice-210500,9,13,8,6,3,
,,Administrative Medical Assisting-120820,1,1,2,,1,
,,Aircraft Electronics (Avionics)-095040,1,,,,,
,,Alcohol and Controlled Substances-210440,,,,6,5,
,,Applied Photography-101200,2,4,7,3,8,
,,Architecture and Architectural Technology-020100,3,16,4,16,11,
,,Automotive Collision Repair-094900,,,2,,2,
,,Automotive Technology-094800,8,3,4,9,,
,,Aviation Airframe Mechanics-095010,3,,2,,2,
,,Aviation Powerplant Mechanics-095020,2,,1,,3,
,,Banking and Finance-050400,5,8,2,,,
,,Biological and Physical Sciences (and Mathematics)-490200,243,208,157,160,167,
,,"Biology, General-040100",36,71,67,67,63,
,,Biotechnology and Biomedical Technology-043000,7,9,7,7,3,
,,"Business and Commerce, General-050100",30,25,37,16,22,
,,Cardiovascular Technician-121300,,8,1,2,7,
,,Child Development/Early Care and Education-130500,37,71,73,67,84,
,,Civil and Construction Management Technology-095700,8,12,12,11,18,
,,Computer Networking-070810,55,58,70,58,77,
,,Computer Science (Transfer)-070600,52,65,51,67,59,
,,Construction Crafts Technology-095200,1,,,1,2,
,,Culinary Arts-130630,15,23,18,16,19,
,,Dental Assistant-124010,6,9,5,2,3,
,,Earth Science-193000,,,1,,,
,,Electrocardiography-121500,,,,,1,
,,Electronics and Electric Technology-093400,2,2,2,2,4,
,,"Engineering Technology, General (requires Trigonometry)-092400",4,2,,1,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",7,4,2,6,5,
,,Environmental Science-030100,,5,,2,,
,,Environmental Studies-030200,3,6,1,3,1,
,,Fashion Design-130310,2,2,1,4,3,
,,Fashion Merchandising-130320,4,9,4,3,1,
,,Film Production-061220,9,6,11,8,8,
,,Fire Technology-213300,13,20,8,14,13,
,,Floriculture / Floristry-010920,1,1,,1,2,
,,Health Education-083700,15,27,20,17,16,
,,Health Information Technology-122300,8,18,9,8,12,
,,Horticulture-010900,1,3,,,1,
,,Hospitality-130700,4,10,5,3,4,
,,Interior Design and Merchandising-130200,6,10,8,6,3,
,,Landscape Design and Maintenance-010910,1,3,1,4,4,
,,"Liberal Arts and Sciences, General-490100",312,291,241,222,259,
,,Library Technician (Aide)-160200,7,16,7,13,14,
,,Management Development and Supervision-050630,9,10,6,5,9,
,,Marketing and Distribution-050900,8,6,9,9,10,
,,"Mathematics, General-170100",,,,12,18,
,,Medical Assisting-120800,10,26,14,20,13,
