,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cerritos Total,,,"5,187","6,325","8,161","9,268",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,460,454,438,475,
,,Administration of Justice-210500,87,76,86,70,
,,"Biology, General-040100",22,15,19,15,
,,Business Administration-050500,191,203,205,237,
,,"Chemistry, General-190500",7,9,9,10,
,,Child Development/Early Care and Education-130500,72,77,73,59,
,,Computer Science (Transfer)-070600,20,21,10,15,
,,Geology-191400,1,2,,1,
,,"Health Occupations, General-120100",,1,1,6,
,,Hospitality-130700,7,5,8,11,
,,"Mathematics, General-170100",30,20,11,30,
,,"Physics, General-190200",10,14,5,10,
,,Television (including combined TV/Film/Video)-060420,13,11,11,11,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,604,608,613,718,
,,Anthropology-220200,5,7,3,3,
,,Art-100200,29,34,34,51,
,,Dramatic Arts-100700,3,7,2,7,
,,Economics-220400,26,28,68,160,
,,English-150100,41,44,34,31,
,,"Fine Arts, General-100100",4,5,1,4,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,2,
,,Geography-220600,7,5,7,6,
,,History-220500,26,29,25,20,
,,Journalism-060200,13,4,12,9,
,,Kinesiology-127000,38,39,36,37,
,,Liberal Studies-490120,51,52,34,42,
,,Music-100400,3,3,,2,
,,Philosophy-150900,7,8,7,2,
,,Political Science-220700,19,20,21,20,
,,"Psychology, General-200100",191,166,185,185,
,,Social Justice: African American Studies-220180,,1,2,2,
,,Sociology-220800,90,103,93,93,
,,Spanish-110500,1,7,3,4,
,,Speech Communication-150600,50,46,46,38,
,Associate of Science (A.S.) degree                           Total,,298,359,314,341,
,,Automotive Technology-094800,2,5,2,1,
,,Biological and Physical Sciences (and Mathematics)-490200,209,249,175,178,
,,Computer Infrastructure and Support-070800,4,8,9,9,
,,Culinary Arts-130630,15,13,22,25,
,,"Engineering, General (requires Calculus) (Transfer)-090100",39,37,16,20,
,,Manufacturing and Industrial Technology-095600,,1,2,1,
,,Mill and Cabinet Work-095250,1,6,5,8,
,,Pharmacy Technology-122100,,,11,10,
,,Restaurant and Food Services and Management-130710,10,4,4,6,
,,Software Applications-070210,,8,7,11,
,,Speech/Language Pathology and Audiology-122000,16,16,29,19,
,,Welding Technology-095650,2,12,32,53,
,Associate of Arts (A.A.) degree                              Total,,"1,238","1,412","1,274","1,958",
,,Accounting-050200,23,8,12,9,
,,Administration of Justice-210500,12,18,9,8,
,,Animation-061440,5,12,10,7,
,,Anthropology-220200,3,1,,,
,,Architecture and Architectural Technology-020100,9,29,8,10,
,,Art-100200,,,1,,
,,Athletic Training and Sports Medicine-122800,3,1,,2,
,,Automotive Collision Repair-094900,,3,2,1,
,,Automotive Technology-094800,19,24,14,15,
,,Biological and Physical Sciences (and Mathematics)-490200,14,10,1,2,
,,"Biology, General-040100",16,11,10,9,
,,Business Administration-050500,80,124,84,86,
,,"Business and Commerce, General-050100",1,2,,,
,,Business Management-050600,32,39,38,42,
,,Ceramics-100230,1,1,2,1,
,,Child Development Administration and Management-130580,3,3,3,3,
,,Child Development/Early Care and Education-130500,53,52,64,38,
,,Chinese-110700,3,2,3,1,
,,Commercial Music-100500,13,6,5,9,
,,Computer Networking-070810,3,3,5,4,
,,Computer Programming-070710,5,2,1,1,
,,Computer Science (Transfer)-070600,13,5,2,2,
,,Computer Systems Analysis-070730,4,1,,,
,,Cosmetology and Barbering-300700,33,26,32,28,
,,Creative Writing-150700,2,,,,
,,Culinary Arts-130630,2,5,,,
,,Dance-100800,5,,3,1,
,,Dental Assistant-124010,10,10,10,16,
,,Dental Hygienist-124020,33,17,21,20,
,,Drafting Technology-095300,19,12,9,8,
,,Dramatic Arts-100700,1,1,,,
,,Economics-220400,4,4,4,6,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,,1,4,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,1,,1,
,,English-150100,,1,,,
,,Ethnic Studies-220300,,3,,,
,,Film Production-061220,22,16,5,7,
,,"Fine Arts, General-100100",2,2,2,,
,,Fitness Trainer-083520,2,3,,,
,,French-110200,2,1,1,1,
,,Graphic Art and Design-103000,13,18,13,15,
,,Health Education-083700,5,2,5,5,
,,Human Services-210400,13,17,20,20,
,,Humanities and Fine Arts-490310,123,164,,,
,,Humanities-490300,7,10,2,4,
,,Industrial Arts (Transfer)-083900,,,,1,
,,Infants and Toddlers-130590,1,,,,
,,International Business and Trade-050800,6,,10,7,
,,International Studies-221000,1,1,1,1,
,,Legal Office Technology-051410,,2,1,,
,,"Liberal Arts and Sciences, General-490100",306,441,568,"1,274",
,,Machining and Machine Tools-095630,4,5,6,1,
,,Management Development and Supervision-050630,36,29,26,31,
,,Manufacturing and Industrial Technology-095600,1,,1,,
,,Marketing and Distribution-050900,16,12,16,18,
,,"Mathematics, General-170100",,1,,,
,,Medical Assisting-120800,13,18,20,14,
,,MicroBiology-040300,1,1,2,,
,,Mill and Cabinet Work-095250,1,5,2,,
,,Office Technology/Office Computer Applications-051400,10,8,8,3,
,,Other Social Sciences-229900,1,2,1,1,
,,Painting and Drawing-100210,3,2,7,3,
,,Paralegal-140200,29,14,23,29,
,,Pharmacy Technology-122100,13,15,9,6,
,,Photography-101100,4,4,3,3,
,,Physical Therapist Assistant-122200,27,31,24,25,
,,Plastics and Composites-095420,2,2,9,,
,,Political Science-220700,,,1,,
,,Real Estate-051100,9,16,12,9,
,,Registered Nursing-123010,50,50,58,62,
,,Religious Studies-151000,,1,1,,
,,Retail Store Operations and Management-050650,30,28,32,48,
,,Sign Language-085000,9,6,7,8,
,,Small Business and Entrepreneurship-050640,13,7,5,8,
,,Software Applications-070210,5,3,1,,
,,Spanish-110500,,2,,,
,,Speech Communication-150600,7,6,6,6,
,,Speech/Language Pathology and Audiology-122000,2,2,,,
,,Welding Technology-095650,9,20,2,,
,,Women's Studies-220110,10,4,3,6,
,,World Wide Web Administration-070900,3,3,7,3,
,,"Zoology, General-040700",1,1,,5,
,Certificate requiring 60+ semester units                     Total,,2,3,6,4,
,,Accounting-050200,2,3,5,4,
,,Machining and Machine Tools-095630,,,1,,
,Certificate requiring 30 to < 60 semester units              Total,,195,213,455,411,
,,Accounting-050200,1,,1,1,
,,Automotive Collision Repair-094900,3,5,10,10,
,,Automotive Technology-094800,20,21,32,42,
,,Child Development Administration and Management-130580,7,8,7,2,
,,Child Development/Early Care and Education-130500,61,78,212,161,
,,Computer Programming-070710,2,,1,1,
,,Computer Systems Analysis-070730,1,,1,1,
,,Cosmetology and Barbering-300700,26,5,14,25,
,,Culinary Arts-130630,11,5,4,9,
,,Dental Assistant-124010,16,20,25,30,
,,Drafting Technology-095300,21,18,34,12,
,,Legal Office Technology-051410,,2,,,
,,Mill and Cabinet Work-095250,1,25,21,32,
,,Pharmacy Technology-122100,20,17,17,18,
,,Software Applications-070210,2,3,1,,
,,Welding Technology-095650,3,6,75,67,
,Certificate requiring 16 to fewer than 30 semester units     Total,,"2,279","3,102","4,424","4,953",
,,Accounting-050200,11,10,7,6,
,,Animation-061440,2,1,1,2,
,,Architecture and Architectural Technology-020100,3,7,7,2,
,,Athletic Training and Sports Medicine-122800,5,1,1,2,
,,Automotive Collision Repair-094900,7,14,17,19,
,,Automotive Technology-094800,4,25,136,138,
,,Biotechnology and Biomedical Technology-043000,,,,5,
,,Business Administration-050500,28,34,55,179,
,,Business Management-050600,244,430,"1,488","1,073",
,,Child Development/Early Care and Education-130500,28,54,146,153,
,,Commercial Dance-100810,1,,1,1,
,,Commercial Music-100500,,,,2,
,,Community Health Care Worker-126100,,1,1,4,
,,Computer Networking-070810,3,7,8,10,
,,Computer Systems Analysis-070730,,1,,5,
,,Cosmetology and Barbering-300700,113,65,101,125,
,,Creative Writing-150700,,,1,,
,,Culinary Arts-130630,26,32,25,45,
,,Dance-100800,,1,2,3,
,,Educational Technology-086000,2,1,4,2,
,,"Engineering Technology, General (requires Trigonometry)-092400",10,7,8,13,
,,Fitness Trainer-083520,2,4,2,1,
,,Human Services-210400,19,30,28,30,
,,Infants and Toddlers-130590,2,,,,
,,International Business and Trade-050800,2,2,14,13,
,,International Studies-221000,1,,2,,
,,Machining and Machine Tools-095630,10,15,25,4,
,,Management Development and Supervision-050630,23,29,74,62,
,,Manufacturing and Industrial Technology-095600,,,2,,
,,Marketing and Distribution-050900,10,9,13,62,
,,Medical Assisting-120800,19,28,49,39,
,,Mill and Cabinet Work-095250,,1,1,2,
,,Office Technology/Office Computer Applications-051400,4,12,16,7,
,,Paralegal-140200,37,26,30,23,
,,Photography-101100,1,,1,1,
,,Plastics and Composites-095420,2,2,2,3,
,,Real Estate-051100,12,22,77,64,
,,Retail Store Operations and Management-050650,162,311,558,567,
,,Small Business and Entrepreneurship-050640,2,6,5,5,
,,Software Applications-070210,1,7,19,25,
,,Spanish-110500,,,1,21,
,,Speech/Language Pathology and Audiology-122000,17,21,49,35,
,,Transfer Studies-490110,"1,387","1,815","1,342","2,042",
,,Welding Technology-095650,79,71,105,158,
,Certificate requiring 8 to fewer than 16 semester units      Total,,111,174,637,408,
,,Architecture and Architectural Technology-020100,3,12,30,16,
,,Athletic Training and Sports Medicine-122800,4,1,,,
,,Child Development/Early Care and Education-130500,61,109,562,273,
,,Computer Infrastructure and Support-070800,5,6,5,12,
,,Creative Writing-150700,2,2,4,3,
,,"Engineering Technology, General (requires Trigonometry)-092400",3,2,4,8,
,,Fitness Trainer-083520,1,1,6,10,
,,Machining and Machine Tools-095630,2,1,1,,
,,Speech Communication-150600,30,40,25,86,
